x  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  
5.000000E-08  3.572915E+08  3.651924E+08  3.488253E+08  3.621468E+08  3.537814E+08  2.858830E+08  4.266485E+08  4.016070E+08  3.027795E+08  3.766278E+08  3.336576E+08  3.577713E+08  3.563335E+08  3.567435E+08  3.580595E+08  3.704636E+08  3.482210E+08  3.857535E+08  3.263615E+08  3.657622E+08  3.526666E+08  3.838208E+08  3.302036E+08  4.542570E+08  2.783060E+08  8.687988E+08  1.182176E+08  3.642932E+08  3.591885E+08  3.609454E+08  3.483584E+08  3.284521E+08  3.734210E+08  3.561650E+08  3.585709E+08  3.489523E+08  3.836678E+08  3.493264E+08  3.666578E+08  3.671480E+08  3.477998E+08  3.248740E+08  4.050528E+08  2.934667E+08  4.375125E+08  3.607305E+08  3.497676E+08  3.440062E+08  3.787464E+08  3.434476E+08  3.644037E+08  
5.780698E-08  2.875459E+08  2.939104E+08  2.807253E+08  2.914490E+08  2.847249E+08  2.306259E+08  3.427853E+08  3.227133E+08  2.442443E+08  3.029432E+08  2.687276E+08  2.879137E+08  2.868143E+08  2.870616E+08  2.882230E+08  2.978982E+08  2.804128E+08  3.098600E+08  2.632517E+08  2.931699E+08  2.846065E+08  3.085669E+08  2.660703E+08  3.639872E+08  2.250831E+08  6.875926E+08  9.765614E+07  2.930639E+08  2.891858E+08  2.902756E+08  2.806123E+08  2.648538E+08  3.001572E+08  2.867155E+08  2.884753E+08  2.810642E+08  3.082149E+08  2.813727E+08  2.948975E+08  2.952380E+08  2.801309E+08  2.632161E+08  3.238440E+08  2.364748E+08  3.516556E+08  2.904958E+08  2.810276E+08  2.770827E+08  3.050210E+08  2.765629E+08  2.932051E+08  
6.683295E-08  2.314151E+08  2.365420E+08  2.259203E+08  2.345526E+08  2.291479E+08  1.860492E+08  2.754064E+08  2.593179E+08  1.970254E+08  2.436745E+08  2.164330E+08  2.316963E+08  2.308580E+08  2.309905E+08  2.320076E+08  2.395468E+08  2.258087E+08  2.488978E+08  2.123457E+08  2.349849E+08  2.296812E+08  2.480678E+08  2.143933E+08  2.916558E+08  1.820384E+08  5.441807E+08  8.067091E+07  2.357619E+08  2.328259E+08  2.334424E+08  2.260410E+08  2.135700E+08  2.412675E+08  2.308081E+08  2.320824E+08  2.263836E+08  2.476006E+08  2.266378E+08  2.371818E+08  2.374124E+08  2.256279E+08  2.132603E+08  2.589168E+08  1.905509E+08  2.826471E+08  2.339359E+08  2.257971E+08  2.231785E+08  2.456467E+08  2.227037E+08  2.359176E+08  
7.726822E-08  1.862414E+08  1.903714E+08  1.818146E+08  1.887636E+08  1.844192E+08  1.500886E+08  2.212718E+08  2.083762E+08  1.589352E+08  1.960014E+08  1.743150E+08  1.864558E+08  1.858185E+08  1.858717E+08  1.867565E+08  1.926250E+08  1.818376E+08  1.999294E+08  1.712835E+08  1.883478E+08  1.853557E+08  1.994304E+08  1.727531E+08  2.336981E+08  1.472256E+08  4.306804E+08  6.663990E+07  1.896640E+08  1.874502E+08  1.877365E+08  1.820823E+08  1.722164E+08  1.939317E+08  1.858022E+08  1.867135E+08  1.823410E+08  1.989069E+08  1.825504E+08  1.907619E+08  1.909125E+08  1.817291E+08  1.727856E+08  2.070068E+08  1.535455E+08  2.271808E+08  1.883882E+08  1.814210E+08  1.797610E+08  1.978300E+08  1.793333E+08  1.898231E+08  
8.933285E-08  1.498859E+08  1.532128E+08  1.463196E+08  1.519134E+08  1.484214E+08  1.210786E+08  1.777780E+08  1.674417E+08  1.282089E+08  1.576551E+08  1.403932E+08  1.500489E+08  1.495661E+08  1.495658E+08  1.503312E+08  1.548942E+08  1.464288E+08  1.605951E+08  1.381618E+08  1.509666E+08  1.495844E+08  1.603290E+08  1.392005E+08  1.872577E+08  1.190703E+08  3.408530E+08  5.504929E+07  1.525795E+08  1.509177E+08  1.509795E+08  1.466724E+08  1.388700E+08  1.558830E+08  1.495722E+08  1.502136E+08  1.468669E+08  1.597894E+08  1.470393E+08  1.534270E+08  1.535202E+08  1.463714E+08  1.399926E+08  1.655041E+08  1.237267E+08  1.825991E+08  1.517088E+08  1.457663E+08  1.447900E+08  1.593212E+08  1.444091E+08  1.527348E+08  
1.032813E-07  1.206272E+08  1.233071E+08  1.177541E+08  1.222570E+08  1.194503E+08  9.767586E+07  1.428334E+08  1.345486E+08  1.034227E+08  1.268110E+08  1.130726E+08  1.207507E+08  1.203863E+08  1.203514E+08  1.210104E+08  1.245539E+08  1.179151E+08  1.289995E+08  1.114449E+08  1.210045E+08  1.207166E+08  1.288941E+08  1.121645E+08  1.500459E+08  9.629944E+07  2.697610E+08  4.547462E+07  1.227460E+08  1.215052E+08  1.214191E+08  1.181487E+08  1.119806E+08  1.252994E+08  1.204067E+08  1.208490E+08  1.182942E+08  1.283649E+08  1.184360E+08  1.233991E+08  1.234516E+08  1.178929E+08  1.134234E+08  1.323223E+08  9.969868E+07  1.467661E+08  1.221709E+08  1.171187E+08  1.166223E+08  1.283083E+08  1.162861E+08  1.228929E+08  
1.194076E-07  9.708001E+07  9.923880E+07  9.476536E+07  9.839014E+07  9.613410E+07  7.879652E+07  1.147577E+08  1.081172E+08  8.342839E+07  1.020013E+08  9.106858E+07  9.717318E+07  9.689946E+07  9.684347E+07  9.740834E+07  1.001567E+08  9.495380E+07  1.036200E+08  8.989435E+07  9.698891E+07  9.741984E+07  1.036225E+08  9.037954E+07  1.202288E+08  7.788324E+07  2.134967E+08  3.756527E+07  9.874581E+07  9.782485E+07  9.764635E+07  9.517204E+07  9.029772E+07  1.007161E+08  9.692832E+07  9.722467E+07  9.528022E+07  1.031203E+08  9.539691E+07  9.924812E+07  9.927221E+07  9.495536E+07  9.189678E+07  1.057931E+08  8.033698E+07  1.179649E+08  9.838405E+07  9.410132E+07  9.393438E+07  1.033323E+08  9.364000E+07  9.888161E+07  
1.380518E-07  7.812938E+07  7.986837E+07  7.626465E+07  7.918253E+07  7.736916E+07  6.356629E+07  9.220059E+07  8.687812E+07  6.729948E+07  8.204550E+07  7.334657E+07  7.819936E+07  7.799477E+07  7.792726E+07  7.840967E+07  8.053827E+07  7.646369E+07  8.323368E+07  7.251112E+07  7.773966E+07  7.861907E+07  8.330576E+07  7.282573E+07  9.633699E+07  6.298893E+07  1.689675E+08  3.103158E+07  7.943830E+07  7.875963E+07  7.852810E+07  7.666372E+07  7.281333E+07  8.095599E+07  7.802802E+07  7.821860E+07  7.674360E+07  8.284046E+07  7.683954E+07  7.982383E+07  7.982865E+07  7.648058E+07  7.445569E+07  8.458274E+07  6.473537E+07  9.481560E+07  7.922854E+07  7.560753E+07  7.566022E+07  8.321798E+07  7.540409E+07  7.956175E+07  
1.596072E-07  6.287802E+07  6.427885E+07  6.137576E+07  6.372461E+07  6.226705E+07  5.127984E+07  7.407738E+07  6.981134E+07  5.428872E+07  6.599389E+07  5.907328E+07  6.293033E+07  6.277831E+07  6.270590E+07  6.311653E+07  6.476266E+07  6.157411E+07  6.685820E+07  5.848936E+07  6.231078E+07  6.344661E+07  6.697241E+07  5.868128E+07  7.719293E+07  5.094300E+07  1.337258E+08  2.563429E+07  6.390594E+07  6.341005E+07  6.315303E+07  6.175476E+07  5.871445E+07  6.507273E+07  6.281314E+07  6.292796E+07  6.181326E+07  6.654887E+07  6.189211E+07  6.420114E+07  6.419333E+07  6.160031E+07  6.032474E+07  6.762481E+07  5.216362E+07  7.620910E+07  6.380263E+07  6.074834E+07  6.094115E+07  6.701908E+07  6.071952E+07  6.401668E+07  
1.845282E-07  5.060383E+07  5.173226E+07  4.939358E+07  5.128437E+07  5.011281E+07  4.136818E+07  5.951652E+07  5.609725E+07  4.379328E+07  5.308265E+07  4.757758E+07  5.064270E+07  5.053051E+07  5.045770E+07  5.080619E+07  5.207713E+07  4.958394E+07  5.370445E+07  4.717904E+07  4.994405E+07  5.120224E+07  5.384147E+07  4.728401E+07  6.185318E+07  4.120071E+07  1.058345E+08  2.117575E+07  5.141058E+07  5.105198E+07  5.078825E+07  4.974517E+07  4.734555E+07  5.230570E+07  5.056505E+07  5.062642E+07  4.978758E+07  5.346121E+07  4.985236E+07  5.163605E+07  5.162035E+07  4.961518E+07  4.887570E+07  5.406676E+07  4.203334E+07  6.125392E+07  5.138018E+07  4.880944E+07  4.908556E+07  5.397339E+07  4.889471E+07  5.150886E+07  
