x  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  
5.000000E-08  3.571577E+08  3.650586E+08  3.486913E+08  3.620128E+08  3.536476E+08  2.857614E+08  4.265054E+08  4.014682E+08  3.026539E+08  3.764718E+08  3.335502E+08  3.576644E+08  3.561463E+08  3.566236E+08  3.579065E+08  3.703507E+08  3.480736E+08  3.855952E+08  3.262525E+08  3.655689E+08  3.525679E+08  3.836989E+08  3.300590E+08  4.541153E+08  2.781847E+08  8.685333E+08  1.181787E+08  3.641508E+08  3.590620E+08  3.608215E+08  3.482145E+08  3.283285E+08  3.732803E+08  3.560410E+08  3.584235E+08  3.488241E+08  3.835208E+08  3.491960E+08  3.665214E+08  3.669867E+08  3.476911E+08  3.247286E+08  4.049668E+08  2.933611E+08  4.373512E+08  3.606258E+08  3.495526E+08  3.438758E+08  3.786175E+08  3.433201E+08  3.642668E+08  
5.780698E-08  2.874463E+08  2.938109E+08  2.806256E+08  2.913493E+08  2.846254E+08  2.305353E+08  3.426788E+08  3.226101E+08  2.441507E+08  3.028272E+08  2.686477E+08  2.878341E+08  2.866750E+08  2.869724E+08  2.881092E+08  2.978143E+08  2.803031E+08  3.097423E+08  2.631705E+08  2.930263E+08  2.845330E+08  3.084763E+08  2.659627E+08  3.638820E+08  2.249927E+08  6.873970E+08  9.762719E+07  2.929580E+08  2.890916E+08  2.901835E+08  2.805052E+08  2.647618E+08  3.000526E+08  2.866232E+08  2.883657E+08  2.809687E+08  3.081055E+08  2.812756E+08  2.947961E+08  2.951180E+08  2.800500E+08  2.631077E+08  3.237803E+08  2.363962E+08  3.515357E+08  2.904179E+08  2.808678E+08  2.769856E+08  3.049251E+08  2.764681E+08  2.931033E+08  
6.683295E-08  2.313415E+08  2.364685E+08  2.258466E+08  2.344790E+08  2.290743E+08  1.859822E+08  2.753278E+08  2.592417E+08  1.969562E+08  2.435888E+08  2.163740E+08  2.316375E+08  2.307550E+08  2.309246E+08  2.319234E+08  2.394848E+08  2.257277E+08  2.488109E+08  2.122857E+08  2.348790E+08  2.296268E+08  2.480008E+08  2.143137E+08  2.915782E+08  1.819715E+08  5.440374E+08  8.064963E+07  2.356836E+08  2.327563E+08  2.333743E+08  2.259619E+08  2.135020E+08  2.411902E+08  2.307399E+08  2.320014E+08  2.263130E+08  2.475199E+08  2.265661E+08  2.371068E+08  2.373237E+08  2.255680E+08  2.131801E+08  2.588698E+08  1.904928E+08  2.825585E+08  2.338783E+08  2.256791E+08  2.231067E+08  2.455758E+08  2.226336E+08  2.358424E+08  
7.726822E-08  1.861875E+08  1.903174E+08  1.817606E+08  1.887095E+08  1.843653E+08  1.500395E+08  2.212142E+08  2.083203E+08  1.588845E+08  1.959385E+08  1.742717E+08  1.864127E+08  1.857430E+08  1.858233E+08  1.866948E+08  1.925796E+08  1.817781E+08  1.998657E+08  1.712395E+08  1.882702E+08  1.853158E+08  1.993813E+08  1.726948E+08  2.336412E+08  1.471765E+08  4.305760E+08  6.662450E+07  1.896066E+08  1.873991E+08  1.876866E+08  1.820243E+08  1.721665E+08  1.938751E+08  1.857523E+08  1.866541E+08  1.822893E+08  1.988477E+08  1.824978E+08  1.907069E+08  1.908476E+08  1.816852E+08  1.727267E+08  2.069724E+08  1.535029E+08  2.271159E+08  1.883460E+08  1.813346E+08  1.797084E+08  1.977781E+08  1.792819E+08  1.897680E+08  
8.933285E-08  1.498467E+08  1.531736E+08  1.462803E+08  1.518741E+08  1.483823E+08  1.210429E+08  1.777361E+08  1.674011E+08  1.281720E+08  1.576095E+08  1.403617E+08  1.500176E+08  1.495113E+08  1.495307E+08  1.502864E+08  1.548612E+08  1.463856E+08  1.605489E+08  1.381298E+08  1.509103E+08  1.495555E+08  1.602934E+08  1.391581E+08  1.872164E+08  1.190347E+08  3.407775E+08  5.503837E+07  1.525378E+08  1.508807E+08  1.509432E+08  1.466302E+08  1.388338E+08  1.558419E+08  1.495359E+08  1.501705E+08  1.468293E+08  1.597465E+08  1.470011E+08  1.533871E+08  1.534730E+08  1.463395E+08  1.399499E+08  1.654792E+08  1.236957E+08  1.825520E+08  1.516781E+08  1.457035E+08  1.447518E+08  1.592834E+08  1.443717E+08  1.526947E+08  
1.032813E-07  1.205991E+08  1.232790E+08  1.177259E+08  1.222289E+08  1.194221E+08  9.765027E+07  1.428034E+08  1.345195E+08  1.033963E+08  1.267782E+08  1.130500E+08  1.207282E+08  1.203470E+08  1.203263E+08  1.209782E+08  1.245303E+08  1.178841E+08  1.289663E+08  1.114220E+08  1.209641E+08  1.206958E+08  1.288685E+08  1.121341E+08  1.500163E+08  9.627391E+07  2.697069E+08  4.546709E+07  1.227161E+08  1.214786E+08  1.213931E+08  1.181184E+08  1.119546E+08  1.252698E+08  1.203807E+08  1.208180E+08  1.182672E+08  1.283340E+08  1.184086E+08  1.233705E+08  1.234177E+08  1.178701E+08  1.133928E+08  1.323044E+08  9.967647E+07  1.467322E+08  1.221489E+08  1.170737E+08  1.165949E+08  1.282812E+08  1.162593E+08  1.228641E+08  
1.194076E-07  9.706013E+07  9.921893E+07  9.474546E+07  9.837024E+07  9.611423E+07  7.877845E+07  1.147364E+08  1.080966E+08  8.340972E+07  1.019782E+08  9.105263E+07  9.715729E+07  9.687165E+07  9.682566E+07  9.738561E+07  1.001399E+08  9.493191E+07  1.035965E+08  8.987816E+07  9.696029E+07  9.740517E+07  1.036044E+08  9.035806E+07  1.202078E+08  7.786525E+07  2.134584E+08  3.756027E+07  9.872467E+07  9.780605E+07  9.762795E+07  9.515066E+07  9.027936E+07  1.006952E+08  9.690990E+07  9.720278E+07  9.526116E+07  1.030985E+08  9.537753E+07  9.922786E+07  9.924827E+07  9.493921E+07  9.187526E+07  1.057804E+08  8.032129E+07  1.179409E+08  9.836849E+07  9.406944E+07  9.391500E+07  1.033131E+08  9.362106E+07  9.886129E+07  
1.380518E-07  7.811558E+07  7.985459E+07  7.625084E+07  7.916873E+07  7.735538E+07  6.355379E+07  9.218583E+07  8.686381E+07  6.728657E+07  8.202943E+07  7.333552E+07  7.818835E+07  7.797548E+07  7.791490E+07  7.839391E+07  8.052664E+07  7.644851E+07  8.321736E+07  7.249992E+07  7.771974E+07  7.860893E+07  8.329319E+07  7.281085E+07  9.632238E+07  6.297653E+07  1.689407E+08  3.102847E+07  7.942363E+07  7.874659E+07  7.851533E+07  7.664890E+07  7.280062E+07  8.094148E+07  7.801525E+07  7.820342E+07  7.673040E+07  8.282530E+07  7.682612E+07  7.980976E+07  7.981203E+07  7.646939E+07  7.444090E+07  8.457389E+07  6.472450E+07  9.479898E+07  7.921775E+07  7.558540E+07  7.564679E+07  8.320472E+07  7.539096E+07  7.954765E+07  
1.596072E-07  6.286870E+07  6.426954E+07  6.136643E+07  6.371528E+07  6.225774E+07  5.127143E+07  7.406738E+07  6.980165E+07  5.428004E+07  6.598301E+07  5.906582E+07  6.292289E+07  6.276528E+07  6.269755E+07  6.310588E+07  6.475479E+07  6.156387E+07  6.684714E+07  5.848182E+07  6.229724E+07  6.343979E+07  6.696391E+07  5.867125E+07  7.718300E+07  5.093471E+07  1.337074E+08  2.563256E+07  6.389602E+07  6.340125E+07  6.314439E+07  6.174476E+07  5.870590E+07  6.506290E+07  6.280452E+07  6.291769E+07  6.180435E+07  6.653859E+07  6.188305E+07  6.419163E+07  6.418208E+07  6.159275E+07  6.031490E+07  6.761878E+07  5.215629E+07  7.619785E+07  6.379535E+07  6.073335E+07  6.093209E+07  6.701012E+07  6.071066E+07  6.400715E+07  
1.845282E-07  5.059776E+07  5.172620E+07  4.938750E+07  5.127830E+07  5.010674E+07  4.136275E+07  5.950998E+07  5.609091E+07  4.378767E+07  5.307556E+07  4.757273E+07  5.063785E+07  5.052204E+07  5.045226E+07  5.079926E+07  5.207200E+07  4.957729E+07  5.369721E+07  4.717417E+07  4.993513E+07  5.119784E+07  5.383591E+07  4.727751E+07  6.184664E+07  4.119541E+07  1.058221E+08  2.117500E+07  5.140411E+07  5.104625E+07  5.078262E+07  4.973868E+07  4.734001E+07  5.229928E+07  5.055944E+07  5.061973E+07  4.978180E+07  5.345449E+07  4.984648E+07  5.162984E+07  5.161301E+07  4.961027E+07  4.886947E+07  5.406277E+07  4.202858E+07  6.124656E+07  5.137544E+07  4.879963E+07  4.907967E+07  5.396757E+07  4.888895E+07  5.150265E+07  
