x  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  
5.000000E-08  2.933584E+08  2.995763E+08  2.867246E+08  2.972800E+08  2.905599E+08  2.349748E+08  3.499101E+08  3.297854E+08  2.484993E+08  3.089779E+08  2.743912E+08  2.937081E+08  2.927081E+08  2.930356E+08  2.938273E+08  3.044187E+08  2.857847E+08  3.174856E+08  2.672328E+08  3.029143E+08  2.885828E+08  3.154324E+08  2.708309E+08  3.747195E+08  2.270299E+08  7.249273E+08  9.097379E+07  2.992800E+08  2.946362E+08  2.973982E+08  2.850482E+08  2.693193E+08  3.070311E+08  2.923794E+08  2.945126E+08  2.860879E+08  3.159194E+08  2.866050E+08  3.012023E+08  3.018390E+08  2.852836E+08  2.651940E+08  3.370587E+08  2.409801E+08  3.583728E+08  2.958827E+08  2.881839E+08  2.818411E+08  3.101341E+08  2.817967E+08  2.992793E+08  
5.780698E-08  2.358425E+08  2.408594E+08  2.304882E+08  2.390024E+08  2.335866E+08  1.893068E+08  2.808889E+08  2.647378E+08  2.002267E+08  2.482562E+08  2.207685E+08  2.360938E+08  2.353804E+08  2.355385E+08  2.362793E+08  2.445184E+08  2.298972E+08  2.547249E+08  2.153544E+08  2.422489E+08  2.328039E+08  2.533344E+08  2.179816E+08  2.999678E+08  1.834053E+08  5.733444E+08  7.514075E+07  2.404885E+08  2.369822E+08  2.389081E+08  2.293735E+08  2.169509E+08  2.465168E+08  2.351352E+08  2.366644E+08  2.302008E+08  2.534893E+08  2.306333E+08  2.419756E+08  2.424449E+08  2.295488E+08  2.149003E+08  2.688268E+08  1.937536E+08  2.879374E+08  2.380763E+08  2.311474E+08  2.267427E+08  2.495920E+08  2.266545E+08  2.405615E+08  
6.683295E-08  1.896032E+08  1.936510E+08  1.852817E+08  1.921494E+08  1.877847E+08  1.525145E+08  2.254824E+08  2.125204E+08  1.613314E+08  1.994678E+08  1.776250E+08  1.897812E+08  1.892805E+08  1.893231E+08  1.900024E+08  1.964047E+08  1.849389E+08  2.043707E+08  1.735472E+08  1.937330E+08  1.878063E+08  2.034615E+08  1.754451E+08  2.401281E+08  1.481633E+08  4.534576E+08  6.206328E+07  1.932462E+08  1.906099E+08  1.919215E+08  1.845730E+08  1.747653E+08  1.979295E+08  1.890987E+08  1.901788E+08  1.852313E+08  2.033962E+08  1.855925E+08  1.943949E+08  1.947381E+08  1.847026E+08  1.741447E+08  2.144074E+08  1.557824E+08  2.313455E+08  1.915635E+08  1.853995E+08  1.824157E+08  2.008685E+08  1.823025E+08  1.933640E+08  
7.726822E-08  1.524296E+08  1.556955E+08  1.489417E+08  1.544812E+08  1.509636E+08  1.228729E+08  1.810051E+08  1.706024E+08  1.299917E+08  1.602675E+08  1.429128E+08  1.525534E+08  1.522094E+08  1.521756E+08  1.527892E+08  1.577583E+08  1.487726E+08  1.639706E+08  1.398561E+08  1.549336E+08  1.515060E+08  1.634068E+08  1.412091E+08  1.922257E+08  1.196931E+08  3.586393E+08  5.126181E+07  1.552843E+08  1.533117E+08  1.541758E+08  1.485228E+08  1.407827E+08  1.589186E+08  1.520756E+08  1.528239E+08  1.490465E+08  1.632022E+08  1.493478E+08  1.561702E+08  1.564187E+08  1.486179E+08  1.411184E+08  1.710042E+08  1.252527E+08  1.858764E+08  1.541379E+08  1.487058E+08  1.467544E+08  1.616565E+08  1.466294E+08  1.554265E+08  
8.933285E-08  1.225442E+08  1.251792E+08  1.197292E+08  1.241973E+08  1.213625E+08  9.899225E+07  1.453011E+08  1.369525E+08  1.047399E+08  1.287711E+08  1.149842E+08  1.226282E+08  1.223987E+08  1.223169E+08  1.228644E+08  1.267163E+08  1.196789E+08  1.315568E+08  1.127056E+08  1.239047E+08  1.222221E+08  1.312375E+08  1.136539E+08  1.538791E+08  9.669365E+07  2.836475E+08  4.234023E+07  1.247798E+08  1.233119E+08  1.238536E+08  1.195138E+08  1.134078E+08  1.275965E+08  1.223011E+08  1.228062E+08  1.199304E+08  1.309511E+08  1.201814E+08  1.254618E+08  1.256396E+08  1.195830E+08  1.143555E+08  1.363873E+08  1.007061E+08  1.493438E+08  1.240241E+08  1.192744E+08  1.180647E+08  1.300991E+08  1.179368E+08  1.249323E+08  
1.032813E-07  9.851818E+07  1.006441E+08  9.624624E+07  9.985019E+07  9.756563E+07  7.975284E+07  1.166398E+08  1.099397E+08  8.439352E+07  1.034644E+08  9.251350E+07  9.857323E+07  9.842658E+07  9.831690E+07  9.880063E+07  1.017824E+08  9.627474E+07  1.055505E+08  9.082582E+07  9.908996E+07  9.859835E+07  1.054013E+08  9.147570E+07  1.231822E+08  7.811360E+07  2.243366E+08  3.497135E+07  1.002677E+08  9.918239E+07  9.949501E+07  9.617078E+07  9.135597E+07  1.024479E+08  9.835607E+07  9.868459E+07  9.650205E+07  1.050733E+08  9.671090E+07  1.007918E+08  1.009170E+08  9.622047E+07  9.266811E+07  1.087780E+08  8.097006E+07  1.199914E+08  9.979359E+07  9.566798E+07  9.498372E+07  1.047021E+08  9.485882E+07  1.004209E+08  
1.194076E-07  7.920269E+07  8.091791E+07  7.736910E+07  8.027596E+07  7.843486E+07  6.425267E+07  9.363216E+07  8.825495E+07  6.799952E+07  8.313115E+07  7.443413E+07  7.923693E+07  7.914946E+07  7.902595E+07  7.944987E+07  8.175476E+07  7.744743E+07  8.468523E+07  7.319362E+07  7.924495E+07  7.954072E+07  8.465134E+07  7.362533E+07  9.860897E+07  6.310378E+07  1.774276E+08  2.888495E+07  8.057080E+07  7.977453E+07  7.992707E+07  7.738702E+07  7.359204E+07  8.225591E+07  7.909919E+07  7.930096E+07  7.765044E+07  8.430934E+07  7.782404E+07  8.097265E+07  8.105917E+07  7.742222E+07  7.509372E+07  8.675772E+07  6.510182E+07  9.640806E+07  8.029699E+07  7.673368E+07  7.641491E+07  8.426296E+07  7.629676E+07  8.071862E+07  
1.380518E-07  6.367420E+07  6.505802E+07  6.219440E+07  6.453899E+07  6.305526E+07  5.176499E+07  7.516284E+07  7.084736E+07  5.479017E+07  6.679386E+07  5.988790E+07  6.369366E+07  6.364781E+07  6.352011E+07  6.388909E+07  6.566793E+07  6.230196E+07  6.794460E+07  5.898440E+07  6.337436E+07  6.416665E+07  6.798636E+07  5.925824E+07  7.893776E+07  5.097815E+07  1.403274E+08  2.385782E+07  6.474323E+07  6.416437E+07  6.420761E+07  6.227204E+07  5.928225E+07  6.604367E+07  6.361257E+07  6.372466E+07  6.248148E+07  6.764862E+07  6.262563E+07  6.505066E+07  6.510884E+07  6.229652E+07  6.085230E+07  6.919508E+07  5.234338E+07  7.745981E+07  6.460942E+07  6.154679E+07  6.147621E+07  6.781377E+07  6.136693E+07  6.488185E+07  
1.596072E-07  5.119023E+07  5.230667E+07  4.999598E+07  5.188703E+07  5.069132E+07  4.170433E+07  6.033666E+07  5.687328E+07  4.414682E+07  5.366724E+07  4.818436E+07  5.119940E+07  5.118220E+07  5.105671E+07  5.137599E+07  5.274650E+07  5.011831E+07  5.451327E+07  4.753364E+07  5.068221E+07  5.176416E+07  5.460214E+07  4.769471E+07  6.319070E+07  4.118251E+07  1.109848E+08  1.970562E+07  5.202487E+07  5.160879E+07  5.157973E+07  5.010927E+07  4.775497E+07  5.302679E+07  5.115803E+07  5.120786E+07  5.027577E+07  5.428029E+07  5.039534E+07  5.225948E+07  5.229712E+07  5.012587E+07  4.931174E+07  5.518771E+07  4.208530E+07  6.223568E+07  5.198673E+07  4.936564E+07  4.945794E+07  5.457567E+07  4.935859E+07  5.215222E+07  
1.845282E-07  4.115387E+07  4.205458E+07  4.019008E+07  4.171531E+07  4.075171E+07  3.359898E+07  4.843501E+07  4.565548E+07  3.557101E+07  4.312032E+07  3.876797E+07  4.115603E+07  4.115802E+07  4.103877E+07  4.131367E+07  4.236761E+07  4.031726E+07  4.373705E+07  3.830584E+07  4.053195E+07  4.175890E+07  4.385283E+07  3.838767E+07  5.058497E+07  3.326913E+07  8.777778E+07  1.627606E+07  4.180495E+07  4.151006E+07  4.143541E+07  4.032209E+07  3.846914E+07  4.257547E+07  4.114193E+07  4.114961E+07  4.045443E+07  4.355373E+07  4.055354E+07  4.198348E+07  4.200641E+07  4.033295E+07  3.995983E+07  4.401589E+07  3.383756E+07  5.000374E+07  4.183012E+07  3.959535E+07  3.978918E+07  4.392182E+07  3.970006E+07  4.192010E+07  
