NNPDF30_nlo_as_0118	 10.0
x	 x*uv	 dx*uv	 x*dv	 dx*dv	 x*(uv-dv)	 dx*(uv-dv)
5.000E-04	5.006E-02	5.382E-03	3.305E-02	6.145E-03	1.701E-02	6.116E-03
1.500E-03	8.117E-02	6.762E-03	4.819E-02	6.985E-03	3.298E-02	7.644E-03
2.500E-03	1.024E-01	8.018E-03	5.750E-02	7.895E-03	4.489E-02	1.005E-02
3.500E-03	1.196E-01	8.344E-03	6.496E-02	8.047E-03	5.466E-02	1.011E-02
4.500E-03	1.345E-01	8.380E-03	7.149E-02	7.975E-03	6.301E-02	9.519E-03
5.500E-03	1.478E-01	8.409E-03	7.743E-02	7.982E-03	7.037E-02	8.851E-03
6.500E-03	1.599E-01	8.601E-03	8.299E-02	8.222E-03	7.689E-02	8.373E-03
7.500E-03	1.709E-01	8.930E-03	8.817E-02	8.649E-03	8.277E-02	8.101E-03
8.500E-03	1.812E-01	9.271E-03	9.313E-02	9.114E-03	8.809E-02	7.915E-03
9.500E-03	1.908E-01	9.500E-03	9.794E-02	9.478E-03	9.290E-02	7.633E-03
1.050E-02	1.999E-01	9.662E-03	1.026E-01	9.781E-03	9.730E-02	7.295E-03
1.150E-02	2.084E-01	9.794E-03	1.070E-01	1.006E-02	1.014E-01	7.028E-03
1.250E-02	2.166E-01	9.909E-03	1.114E-01	1.031E-02	1.052E-01	6.886E-03
1.350E-02	2.244E-01	1.001E-02	1.155E-01	1.054E-02	1.089E-01	6.862E-03
1.450E-02	2.319E-01	1.011E-02	1.196E-01	1.076E-02	1.124E-01	6.933E-03
1.550E-02	2.391E-01	1.021E-02	1.235E-01	1.098E-02	1.156E-01	7.102E-03
1.650E-02	2.461E-01	1.029E-02	1.273E-01	1.118E-02	1.188E-01	7.341E-03
1.750E-02	2.528E-01	1.036E-02	1.310E-01	1.136E-02	1.218E-01	7.612E-03
1.850E-02	2.594E-01	1.039E-02	1.347E-01	1.150E-02	1.248E-01	7.880E-03
1.950E-02	2.659E-01	1.039E-02	1.382E-01	1.162E-02	1.276E-01	8.126E-03
2.050E-02	2.722E-01	1.037E-02	1.418E-01	1.172E-02	1.304E-01	8.363E-03
2.150E-02	2.783E-01	1.035E-02	1.452E-01	1.183E-02	1.331E-01	8.588E-03
2.250E-02	2.843E-01	1.034E-02	1.486E-01	1.193E-02	1.357E-01	8.803E-03
2.350E-02	2.901E-01	1.034E-02	1.519E-01	1.204E-02	1.382E-01	9.004E-03
2.450E-02	2.958E-01	1.035E-02	1.551E-01	1.215E-02	1.407E-01	9.191E-03
2.550E-02	3.013E-01	1.038E-02	1.582E-01	1.227E-02	1.431E-01	9.362E-03
2.650E-02	3.067E-01	1.041E-02	1.612E-01	1.237E-02	1.455E-01	9.515E-03
2.750E-02	3.120E-01	1.045E-02	1.641E-01	1.247E-02	1.479E-01	9.650E-03
2.850E-02	3.171E-01	1.050E-02	1.670E-01	1.257E-02	1.502E-01	9.778E-03
2.950E-02	3.221E-01	1.055E-02	1.698E-01	1.268E-02	1.524E-01	9.901E-03
3.050E-02	3.271E-01	1.062E-02	1.725E-01	1.279E-02	1.546E-01	1.002E-02
3.150E-02	3.319E-01	1.069E-02	1.751E-01	1.290E-02	1.567E-01	1.012E-02
3.250E-02	3.366E-01	1.077E-02	1.777E-01	1.300E-02	1.589E-01	1.022E-02
3.350E-02	3.412E-01	1.084E-02	1.803E-01	1.310E-02	1.609E-01	1.030E-02
3.450E-02	3.458E-01	1.092E-02	1.827E-01	1.319E-02	1.630E-01	1.037E-02
3.550E-02	3.502E-01	1.098E-02	1.851E-01	1.326E-02	1.650E-01	1.043E-02
3.650E-02	3.545E-01	1.104E-02	1.875E-01	1.332E-02	1.670E-01	1.047E-02
3.750E-02	3.588E-01	1.108E-02	1.897E-01	1.336E-02	1.690E-01	1.049E-02
3.850E-02	3.629E-01	1.111E-02	1.919E-01	1.337E-02	1.710E-01	1.050E-02
3.950E-02	3.670E-01	1.112E-02	1.940E-01	1.336E-02	1.730E-01	1.049E-02
4.050E-02	3.710E-01	1.111E-02	1.961E-01	1.333E-02	1.749E-01	1.047E-02
4.150E-02	3.750E-01	1.109E-02	1.982E-01	1.329E-02	1.768E-01	1.043E-02
4.250E-02	3.789E-01	1.105E-02	2.002E-01	1.323E-02	1.787E-01	1.038E-02
4.350E-02	3.828E-01	1.101E-02	2.021E-01	1.316E-02	1.806E-01	1.032E-02
4.450E-02	3.866E-01	1.096E-02	2.041E-01	1.308E-02	1.825E-01	1.026E-02
4.550E-02	3.903E-01	1.090E-02	2.060E-01	1.299E-02	1.843E-01	1.020E-02
4.650E-02	3.940E-01	1.084E-02	2.078E-01	1.291E-02	1.862E-01	1.015E-02
4.750E-02	3.976E-01	1.078E-02	2.096E-01	1.282E-02	1.880E-01	1.009E-02
4.850E-02	4.011E-01	1.071E-02	2.114E-01	1.273E-02	1.897E-01	1.004E-02
4.950E-02	4.046E-01	1.065E-02	2.131E-01	1.264E-02	1.915E-01	9.985E-03
5.050E-02	4.080E-01	1.058E-02	2.147E-01	1.255E-02	1.932E-01	9.940E-03
5.150E-02	4.113E-01	1.052E-02	2.163E-01	1.246E-02	1.950E-01	9.900E-03
5.250E-02	4.146E-01	1.046E-02	2.179E-01	1.238E-02	1.967E-01	9.864E-03
5.350E-02	4.178E-01	1.040E-02	2.194E-01	1.230E-02	1.983E-01	9.833E-03
5.450E-02	4.209E-01	1.034E-02	2.209E-01	1.222E-02	2.000E-01	9.806E-03
5.550E-02	4.240E-01	1.029E-02	2.223E-01	1.214E-02	2.016E-01	9.783E-03
5.650E-02	4.270E-01	1.023E-02	2.237E-01	1.207E-02	2.032E-01	9.763E-03
5.750E-02	4.299E-01	1.018E-02	2.251E-01	1.200E-02	2.048E-01	9.747E-03
5.850E-02	4.328E-01	1.013E-02	2.264E-01	1.193E-02	2.064E-01	9.732E-03
5.950E-02	4.356E-01	1.007E-02	2.277E-01	1.186E-02	2.080E-01	9.720E-03
6.050E-02	4.384E-01	1.002E-02	2.289E-01	1.179E-02	2.095E-01	9.711E-03
6.150E-02	4.412E-01	9.966E-03	2.302E-01	1.172E-02	2.110E-01	9.705E-03
6.250E-02	4.439E-01	9.913E-03	2.314E-01	1.166E-02	2.126E-01	9.702E-03
6.350E-02	4.466E-01	9.860E-03	2.325E-01	1.159E-02	2.141E-01	9.702E-03
6.450E-02	4.493E-01	9.809E-03	2.337E-01	1.153E-02	2.155E-01	9.706E-03
6.550E-02	4.519E-01	9.759E-03	2.348E-01	1.148E-02	2.170E-01	9.712E-03
6.650E-02	4.544E-01	9.710E-03	2.359E-01	1.142E-02	2.185E-01	9.723E-03
6.750E-02	4.569E-01	9.664E-03	2.370E-01	1.137E-02	2.199E-01	9.736E-03
6.850E-02	4.594E-01	9.618E-03	2.381E-01	1.132E-02	2.213E-01	9.752E-03
6.950E-02	4.618E-01	9.575E-03	2.391E-01	1.127E-02	2.228E-01	9.770E-03
7.050E-02	4.642E-01	9.533E-03	2.401E-01	1.123E-02	2.242E-01	9.791E-03
7.150E-02	4.666E-01	9.493E-03	2.411E-01	1.119E-02	2.255E-01	9.813E-03
7.250E-02	4.689E-01	9.455E-03	2.420E-01	1.115E-02	2.269E-01	9.837E-03
7.350E-02	4.712E-01	9.418E-03	2.429E-01	1.111E-02	2.283E-01	9.863E-03
7.450E-02	4.734E-01	9.382E-03	2.438E-01	1.108E-02	2.296E-01	9.889E-03
7.550E-02	4.757E-01	9.348E-03	2.447E-01	1.104E-02	2.309E-01	9.916E-03
7.650E-02	4.778E-01	9.315E-03	2.456E-01	1.101E-02	2.322E-01	9.944E-03
7.750E-02	4.799E-01	9.283E-03	2.464E-01	1.098E-02	2.335E-01	9.972E-03
7.850E-02	4.820E-01	9.252E-03	2.472E-01	1.095E-02	2.348E-01	9.999E-03
7.950E-02	4.841E-01	9.221E-03	2.480E-01	1.093E-02	2.361E-01	1.003E-02
8.050E-02	4.861E-01	9.191E-03	2.488E-01	1.090E-02	2.374E-01	1.005E-02
8.150E-02	4.881E-01	9.162E-03	2.495E-01	1.087E-02	2.386E-01	1.008E-02
8.250E-02	4.900E-01	9.133E-03	2.502E-01	1.084E-02	2.398E-01	1.011E-02
8.350E-02	4.920E-01	9.103E-03	2.509E-01	1.082E-02	2.411E-01	1.013E-02
8.450E-02	4.938E-01	9.073E-03	2.516E-01	1.079E-02	2.423E-01	1.015E-02
8.550E-02	4.957E-01	9.040E-03	2.522E-01	1.076E-02	2.435E-01	1.017E-02
8.650E-02	4.975E-01	9.006E-03	2.528E-01	1.073E-02	2.447E-01	1.019E-02
8.750E-02	4.993E-01	8.971E-03	2.534E-01	1.069E-02	2.459E-01	1.021E-02
8.850E-02	5.011E-01	8.935E-03	2.540E-01	1.066E-02	2.471E-01	1.022E-02
8.950E-02	5.028E-01	8.898E-03	2.545E-01	1.063E-02	2.483E-01	1.024E-02
9.050E-02	5.045E-01	8.861E-03	2.550E-01	1.059E-02	2.495E-01	1.026E-02
9.150E-02	5.062E-01	8.824E-03	2.555E-01	1.056E-02	2.506E-01	1.027E-02
9.250E-02	5.078E-01	8.788E-03	2.560E-01	1.053E-02	2.518E-01	1.029E-02
9.350E-02	5.094E-01	8.752E-03	2.565E-01	1.050E-02	2.529E-01	1.031E-02
9.450E-02	5.110E-01	8.717E-03	2.569E-01	1.047E-02	2.541E-01	1.033E-02
9.550E-02	5.125E-01	8.682E-03	2.573E-01	1.045E-02	2.552E-01	1.036E-02
9.650E-02	5.140E-01	8.649E-03	2.577E-01	1.042E-02	2.563E-01	1.038E-02
9.750E-02	5.155E-01	8.616E-03	2.581E-01	1.040E-02	2.574E-01	1.041E-02
9.850E-02	5.170E-01	8.585E-03	2.585E-01	1.038E-02	2.585E-01	1.043E-02
9.950E-02	5.184E-01	8.555E-03	2.588E-01	1.037E-02	2.596E-01	1.046E-02
1.005E-01	5.198E-01	8.527E-03	2.592E-01	1.035E-02	2.607E-01	1.049E-02
