MMHT2014nlo68cl	1.00 GeV^2
x  xs-  delta_xs-
1.644372E-04  -2.312534E-03  1.922885E-03
1.659587E-04  -2.317078E-03  1.926585E-03
1.674943E-04  -2.321629E-03  1.930289E-03
1.690441E-04  -2.326189E-03  1.933999E-03
1.706082E-04  -2.330756E-03  1.937713E-03
1.721869E-04  -2.335331E-03  1.941433E-03
1.737801E-04  -2.339915E-03  1.945157E-03
1.753881E-04  -2.344506E-03  1.948886E-03
1.770109E-04  -2.349105E-03  1.952620E-03
1.786488E-04  -2.353713E-03  1.956360E-03
1.803018E-04  -2.358329E-03  1.960104E-03
1.819701E-04  -2.362954E-03  1.963854E-03
1.836538E-04  -2.367587E-03  1.967608E-03
1.853532E-04  -2.372229E-03  1.971368E-03
1.870682E-04  -2.376880E-03  1.975133E-03
1.887991E-04  -2.381539E-03  1.978904E-03
1.905461E-04  -2.386207E-03  1.982679E-03
1.923092E-04  -2.390884E-03  1.986460E-03
1.940886E-04  -2.395571E-03  1.990247E-03
1.958845E-04  -2.400266E-03  1.994039E-03
1.976970E-04  -2.404971E-03  1.997836E-03
1.995262E-04  -2.409685E-03  2.001639E-03
2.013724E-04  -2.414408E-03  2.005448E-03
2.032357E-04  -2.419141E-03  2.009265E-03
2.051162E-04  -2.423885E-03  2.013088E-03
2.070141E-04  -2.428637E-03  2.016919E-03
2.089296E-04  -2.433399E-03  2.020758E-03
2.108628E-04  -2.438171E-03  2.024603E-03
2.128139E-04  -2.442952E-03  2.028455E-03
2.147830E-04  -2.447742E-03  2.032314E-03
2.167704E-04  -2.452541E-03  2.036179E-03
2.187762E-04  -2.457349E-03  2.040051E-03
2.208005E-04  -2.462166E-03  2.043930E-03
2.228435E-04  -2.466992E-03  2.047815E-03
2.249055E-04  -2.471826E-03  2.051706E-03
2.269865E-04  -2.476669E-03  2.055603E-03
2.290868E-04  -2.481520E-03  2.059506E-03
2.312065E-04  -2.486380E-03  2.063415E-03
2.333458E-04  -2.491248E-03  2.067330E-03
2.355049E-04  -2.496124E-03  2.071250E-03
2.376840E-04  -2.501008E-03  2.075176E-03
2.398833E-04  -2.505900E-03  2.079107E-03
2.421029E-04  -2.510800E-03  2.083043E-03
2.443431E-04  -2.515707E-03  2.086985E-03
2.466039E-04  -2.520622E-03  2.090931E-03
2.488857E-04  -2.525545E-03  2.094883E-03
2.511886E-04  -2.530475E-03  2.098839E-03
2.535129E-04  -2.535412E-03  2.102800E-03
2.558586E-04  -2.540356E-03  2.106765E-03
2.582260E-04  -2.545308E-03  2.110735E-03
2.606154E-04  -2.550266E-03  2.114709E-03
2.630268E-04  -2.555231E-03  2.118688E-03
2.654606E-04  -2.560203E-03  2.122670E-03
2.679168E-04  -2.565182E-03  2.126657E-03
2.703958E-04  -2.570167E-03  2.130647E-03
2.728978E-04  -2.575159E-03  2.134641E-03
2.754229E-04  -2.580157E-03  2.138639E-03
2.779713E-04  -2.585161E-03  2.142640E-03
2.805434E-04  -2.590171E-03  2.146645E-03
2.831392E-04  -2.595187E-03  2.150653E-03
2.857591E-04  -2.600210E-03  2.154664E-03
2.884032E-04  -2.605238E-03  2.158678E-03
2.910717E-04  -2.610271E-03  2.162695E-03
2.937650E-04  -2.615310E-03  2.166715E-03
2.964831E-04  -2.620355E-03  2.170737E-03
2.992265E-04  -2.625405E-03  2.174763E-03
3.019952E-04  -2.630460E-03  2.178790E-03
3.047895E-04  -2.635521E-03  2.182820E-03
3.076097E-04  -2.640586E-03  2.186852E-03
3.104560E-04  -2.645657E-03  2.190887E-03
3.133286E-04  -2.650732E-03  2.194923E-03
3.162278E-04  -2.655812E-03  2.198961E-03
3.191538E-04  -2.660897E-03  2.203001E-03
3.221069E-04  -2.665986E-03  2.207042E-03
3.250873E-04  -2.671079E-03  2.211086E-03
3.280953E-04  -2.676177E-03  2.215130E-03
3.311311E-04  -2.681279E-03  2.219176E-03
3.341950E-04  -2.686386E-03  2.223223E-03
3.372873E-04  -2.691496E-03  2.227271E-03
3.404082E-04  -2.696610E-03  2.231320E-03
3.435579E-04  -2.701728E-03  2.235370E-03
3.467369E-04  -2.706849E-03  2.239420E-03
3.499452E-04  -2.711974E-03  2.243472E-03
3.531832E-04  -2.717103E-03  2.247523E-03
3.564511E-04  -2.722235E-03  2.251575E-03
3.597493E-04  -2.727370E-03  2.255628E-03
3.630781E-04  -2.732508E-03  2.259680E-03
3.664376E-04  -2.737649E-03  2.263733E-03
3.698282E-04  -2.742793E-03  2.267785E-03
3.732502E-04  -2.747940E-03  2.271837E-03
3.767038E-04  -2.753090E-03  2.275889E-03
3.801894E-04  -2.758243E-03  2.279941E-03
3.837072E-04  -2.763397E-03  2.283992E-03
3.872576E-04  -2.768555E-03  2.288042E-03
3.908409E-04  -2.773714E-03  2.292092E-03
3.944573E-04  -2.778876E-03  2.296140E-03
3.981072E-04  -2.784040E-03  2.300188E-03
4.017908E-04  -2.789207E-03  2.304235E-03
4.055085E-04  -2.794385E-03  2.308289E-03
4.092607E-04  -2.799576E-03  2.312350E-03
4.130475E-04  -2.804779E-03  2.316418E-03
4.168694E-04  -2.809993E-03  2.320492E-03
4.207266E-04  -2.815219E-03  2.324572E-03
4.246196E-04  -2.820456E-03  2.328658E-03
4.285485E-04  -2.825704E-03  2.332750E-03
4.325138E-04  -2.830962E-03  2.336847E-03
4.365158E-04  -2.836230E-03  2.340949E-03
4.405549E-04  -2.841507E-03  2.345056E-03
4.446313E-04  -2.846794E-03  2.349167E-03
4.487454E-04  -2.852090E-03  2.353282E-03
4.528976E-04  -2.857394E-03  2.357400E-03
4.570882E-04  -2.862707E-03  2.361522E-03
4.613176E-04  -2.868027E-03  2.365647E-03
4.655861E-04  -2.873355E-03  2.369775E-03
4.698941E-04  -2.878690E-03  2.373905E-03
4.742420E-04  -2.884032E-03  2.378037E-03
4.786301E-04  -2.889381E-03  2.382172E-03
4.830588E-04  -2.894736E-03  2.386307E-03
4.875285E-04  -2.900096E-03  2.390444E-03
4.920395E-04  -2.905462E-03  2.394582E-03
4.965923E-04  -2.910833E-03  2.398720E-03
5.011872E-04  -2.916209E-03  2.402859E-03
5.058247E-04  -2.921589E-03  2.406997E-03
5.105050E-04  -2.926974E-03  2.411136E-03
5.152286E-04  -2.932362E-03  2.415273E-03
5.199960E-04  -2.937753E-03  2.419410E-03
5.248075E-04  -2.943148E-03  2.423545E-03
5.296634E-04  -2.948545E-03  2.427679E-03
5.345644E-04  -2.953945E-03  2.431811E-03
5.395106E-04  -2.959346E-03  2.435940E-03
5.445027E-04  -2.964750E-03  2.440068E-03
5.495409E-04  -2.970154E-03  2.444192E-03
5.546257E-04  -2.975560E-03  2.448313E-03
5.597576E-04  -2.980966E-03  2.452431E-03
5.649370E-04  -2.986372E-03  2.456545E-03
5.701643E-04  -2.991778E-03  2.460655E-03
5.754399E-04  -2.997184E-03  2.464760E-03
5.807644E-04  -3.002589E-03  2.468861E-03
5.861382E-04  -3.007993E-03  2.472957E-03
5.915616E-04  -3.013396E-03  2.477047E-03
5.970353E-04  -3.018796E-03  2.481132E-03
6.025596E-04  -3.024196E-03  2.485212E-03
6.081350E-04  -3.029603E-03  2.489293E-03
6.137620E-04  -3.035017E-03  2.493375E-03
6.194411E-04  -3.040439E-03  2.497458E-03
6.251727E-04  -3.045869E-03  2.501543E-03
6.309573E-04  -3.051304E-03  2.505627E-03
6.367955E-04  -3.056746E-03  2.509712E-03
6.426877E-04  -3.062194E-03  2.513796E-03
6.486344E-04  -3.067647E-03  2.517879E-03
6.546362E-04  -3.073105E-03  2.521961E-03
6.606934E-04  -3.078567E-03  2.526041E-03
