CJ15nlo	 5.0
x	 xf(uv)	 dxf(uv)	 xf(dv)	 dxf(dv)	 xf(uv-dv)	 dxf(uv-dv)
6.350E-01	7.935E-02	8.673E-05	1.276E-02	1.103E-04	6.659E-02	1.502E-04
6.450E-01	7.232E-02	8.206E-05	1.114E-02	1.034E-04	6.118E-02	1.413E-04
6.550E-01	6.569E-02	7.764E-05	9.689E-03	9.703E-05	5.601E-02	1.333E-04
6.650E-01	5.947E-02	7.341E-05	8.399E-03	9.104E-05	5.107E-02	1.258E-04
6.750E-01	5.363E-02	6.933E-05	7.252E-03	8.546E-05	4.638E-02	1.188E-04
6.850E-01	4.818E-02	6.539E-05	6.238E-03	8.023E-05	4.195E-02	1.123E-04
6.950E-01	4.311E-02	6.153E-05	5.347E-03	7.526E-05	3.776E-02	1.060E-04
7.050E-01	3.840E-02	5.776E-05	4.561E-03	7.053E-05	3.384E-02	1.000E-04
7.150E-01	3.404E-02	5.402E-05	3.880E-03	6.591E-05	3.016E-02	9.403E-05
7.250E-01	3.003E-02	5.036E-05	3.282E-03	6.144E-05	2.675E-02	8.815E-05
7.350E-01	2.635E-02	4.672E-05	2.768E-03	5.700E-05	2.358E-02	8.221E-05
7.450E-01	2.299E-02	4.315E-05	2.322E-03	5.263E-05	2.067E-02	7.631E-05
7.550E-01	1.993E-02	3.962E-05	1.940E-03	4.828E-05	1.799E-02	7.036E-05
7.650E-01	1.717E-02	3.616E-05	1.613E-03	4.397E-05	1.555E-02	6.441E-05
7.750E-01	1.468E-02	3.279E-05	1.333E-03	3.975E-05	1.334E-02	5.853E-05
7.850E-01	1.245E-02	2.950E-05	1.098E-03	3.557E-05	1.135E-02	5.269E-05
7.950E-01	1.047E-02	2.634E-05	8.956E-04	3.156E-05	9.573E-03	4.702E-05
8.050E-01	8.724E-03	2.329E-05	7.281E-04	2.765E-05	7.996E-03	4.147E-05
8.150E-01	7.188E-03	2.040E-05	5.858E-04	2.395E-05	6.602E-03	3.619E-05
8.250E-01	5.859E-03	1.767E-05	4.684E-04	2.046E-05	5.391E-03	3.117E-05
8.350E-01	4.713E-03	1.512E-05	3.709E-04	1.721E-05	4.342E-03	2.646E-05
8.450E-01	3.734E-03	1.276E-05	2.897E-04	1.426E-05	3.445E-03	2.214E-05
8.550E-01	2.915E-03	1.060E-05	2.244E-04	1.158E-05	2.691E-03	1.819E-05
8.650E-01	2.226E-03	8.656E-06	1.700E-04	9.216E-06	2.056E-03	1.467E-05
8.750E-01	1.671E-03	6.921E-06	1.273E-04	7.160E-06	1.543E-03	1.156E-05
8.850E-01	1.216E-03	5.405E-06	9.265E-05	5.409E-06	1.123E-03	8.882E-06
8.950E-01	8.632E-04	4.108E-06	6.595E-05	3.965E-06	7.972E-04	6.631E-06
9.050E-01	5.904E-04	3.016E-06	4.543E-05	2.792E-06	5.449E-04	4.770E-06
9.150E-01	3.841E-04	2.129E-06	2.980E-05	1.878E-06	3.543E-04	3.291E-06
9.250E-01	2.405E-04	1.430E-06	1.887E-05	1.201E-06	2.217E-04	2.161E-06
9.350E-01	1.353E-04	8.925E-07	1.079E-05	6.993E-07	1.246E-04	1.307E-06
9.450E-01	7.277E-05	5.185E-07	5.876E-06	3.828E-07	6.689E-05	7.401E-07
9.550E-01	3.126E-05	2.515E-07	2.582E-06	1.685E-07	2.868E-05	3.451E-07
9.650E-01	9.815E-06	9.242E-08	8.368E-07	5.529E-08	8.979E-06	1.216E-07
9.750E-01	1.098E-06	8.905E-09	9.085E-08	5.931E-09	1.008E-06	1.219E-08
9.850E-01	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
9.950E-01	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
