NNPDF30_nlo_as_0118	 5.0
x	 xf(uv)	 dxf(uv)	 xf(dv)	 dxf(dv)	 xf(uv-dv)	 dxf(uv-dv)
6.350E-01	7.155E-02	4.089E-03	1.692E-02	1.182E-02	5.463E-02	1.425E-02
6.450E-01	6.512E-02	3.976E-03	1.537E-02	1.166E-02	4.975E-02	1.405E-02
6.550E-01	5.911E-02	3.876E-03	1.389E-02	1.147E-02	4.523E-02	1.380E-02
6.650E-01	5.352E-02	3.787E-03	1.246E-02	1.126E-02	4.106E-02	1.351E-02
6.750E-01	4.830E-02	3.743E-03	1.111E-02	1.106E-02	3.719E-02	1.326E-02
6.850E-01	4.346E-02	3.747E-03	9.852E-03	1.088E-02	3.361E-02	1.306E-02
6.950E-01	3.896E-02	3.687E-03	8.741E-03	1.069E-02	3.022E-02	1.282E-02
7.050E-01	3.479E-02	3.559E-03	7.760E-03	1.045E-02	2.703E-02	1.251E-02
7.150E-01	3.092E-02	3.398E-03	6.896E-03	1.019E-02	2.403E-02	1.214E-02
7.250E-01	2.732E-02	3.224E-03	6.136E-03	9.901E-03	2.118E-02	1.172E-02
7.350E-01	2.390E-02	3.000E-03	5.471E-03	9.564E-03	1.843E-02	1.122E-02
7.450E-01	2.072E-02	2.761E-03	4.886E-03	9.194E-03	1.583E-02	1.067E-02
7.550E-01	1.775E-02	2.541E-03	4.378E-03	8.799E-03	1.337E-02	1.009E-02
7.650E-01	1.503E-02	2.379E-03	3.915E-03	8.394E-03	1.112E-02	9.496E-03
7.750E-01	1.258E-02	2.279E-03	3.489E-03	7.975E-03	9.095E-03	8.894E-03
7.850E-01	1.038E-02	2.277E-03	3.093E-03	7.564E-03	7.286E-03	8.341E-03
7.950E-01	8.413E-03	2.389E-03	2.723E-03	7.173E-03	5.691E-03	7.872E-03
8.050E-01	6.669E-03	2.498E-03	2.347E-03	6.800E-03	4.322E-03	7.410E-03
8.150E-01	5.143E-03	2.599E-03	1.973E-03	6.437E-03	3.170E-03	6.930E-03
8.250E-01	3.824E-03	2.724E-03	1.603E-03	6.094E-03	2.221E-03	6.451E-03
8.350E-01	2.716E-03	2.876E-03	1.249E-03	5.771E-03	1.467E-03	6.007E-03
8.450E-01	1.830E-03	2.958E-03	9.241E-04	5.423E-03	9.058E-04	5.529E-03
8.550E-01	1.138E-03	2.978E-03	6.315E-04	5.051E-03	5.061E-04	4.988E-03
8.650E-01	6.339E-04	2.948E-03	3.697E-04	4.659E-03	2.642E-04	4.354E-03
8.750E-01	2.648E-04	2.879E-03	1.672E-04	4.266E-03	9.763E-05	3.757E-03
8.850E-01	1.741E-05	2.722E-03	3.073E-05	3.841E-03	-1.332E-05	3.203E-03
8.950E-01	-1.320E-04	2.477E-03	-5.007E-05	3.378E-03	-8.195E-05	2.685E-03
9.050E-01	-1.916E-04	2.148E-03	-7.980E-05	2.877E-03	-1.118E-04	2.190E-03
9.150E-01	-2.221E-04	1.834E-03	-9.802E-05	2.408E-03	-1.241E-04	1.750E-03
9.250E-01	-2.228E-04	1.524E-03	-1.032E-04	1.962E-03	-1.197E-04	1.358E-03
9.350E-01	-2.072E-04	1.223E-03	-1.016E-04	1.545E-03	-1.056E-04	1.016E-03
9.450E-01	-1.781E-04	9.396E-04	-9.287E-05	1.165E-03	-8.525E-05	7.248E-04
9.550E-01	-1.425E-04	6.885E-04	-7.790E-05	8.373E-04	-6.456E-05	4.905E-04
9.650E-01	-1.040E-04	4.702E-04	-5.921E-05	5.611E-04	-4.478E-05	3.088E-04
9.750E-01	-6.490E-05	2.851E-04	-3.735E-05	3.372E-04	-2.755E-05	1.809E-04
9.850E-01	-3.284E-05	1.416E-04	-1.894E-05	1.666E-04	-1.389E-05	8.824E-05
9.950E-01	-1.073E-05	4.612E-05	-6.198E-06	5.422E-05	-4.534E-06	2.863E-05
