NNPDF30_nnlo_as_0118	 3.2
x	 x*uv	 dx*uv	 x*dv	 dx*dv	 x*(uv-dv)	 dx*(uv-dv)
6.350E-02	4.359E-01	1.156E-02	2.403E-01	1.571E-02	1.956E-01	1.261E-02
6.450E-02	4.390E-01	1.151E-02	2.418E-01	1.562E-02	1.972E-01	1.262E-02
6.550E-02	4.420E-01	1.147E-02	2.433E-01	1.554E-02	1.988E-01	1.264E-02
6.650E-02	4.451E-01	1.142E-02	2.447E-01	1.546E-02	2.004E-01	1.267E-02
6.750E-02	4.481E-01	1.138E-02	2.461E-01	1.539E-02	2.019E-01	1.269E-02
6.850E-02	4.510E-01	1.133E-02	2.475E-01	1.532E-02	2.035E-01	1.272E-02
6.950E-02	4.539E-01	1.129E-02	2.489E-01	1.525E-02	2.051E-01	1.274E-02
7.050E-02	4.568E-01	1.126E-02	2.502E-01	1.518E-02	2.066E-01	1.277E-02
7.150E-02	4.597E-01	1.122E-02	2.515E-01	1.512E-02	2.081E-01	1.280E-02
7.250E-02	4.625E-01	1.119E-02	2.528E-01	1.505E-02	2.097E-01	1.283E-02
7.350E-02	4.652E-01	1.116E-02	2.541E-01	1.499E-02	2.112E-01	1.286E-02
7.450E-02	4.680E-01	1.113E-02	2.553E-01	1.493E-02	2.127E-01	1.288E-02
7.550E-02	4.707E-01	1.110E-02	2.565E-01	1.487E-02	2.142E-01	1.291E-02
7.650E-02	4.733E-01	1.107E-02	2.576E-01	1.481E-02	2.157E-01	1.294E-02
7.750E-02	4.760E-01	1.104E-02	2.588E-01	1.475E-02	2.172E-01	1.296E-02
7.850E-02	4.786E-01	1.102E-02	2.599E-01	1.469E-02	2.187E-01	1.298E-02
7.950E-02	4.811E-01	1.099E-02	2.610E-01	1.462E-02	2.201E-01	1.300E-02
8.050E-02	4.837E-01	1.096E-02	2.621E-01	1.456E-02	2.216E-01	1.302E-02
8.150E-02	4.862E-01	1.093E-02	2.631E-01	1.449E-02	2.231E-01	1.304E-02
8.250E-02	4.886E-01	1.090E-02	2.641E-01	1.443E-02	2.245E-01	1.305E-02
8.350E-02	4.911E-01	1.087E-02	2.651E-01	1.436E-02	2.260E-01	1.306E-02
8.450E-02	4.935E-01	1.083E-02	2.660E-01	1.428E-02	2.274E-01	1.306E-02
8.550E-02	4.959E-01	1.080E-02	2.670E-01	1.421E-02	2.289E-01	1.306E-02
8.650E-02	4.982E-01	1.076E-02	2.679E-01	1.412E-02	2.303E-01	1.306E-02
8.750E-02	5.006E-01	1.071E-02	2.688E-01	1.403E-02	2.318E-01	1.305E-02
8.850E-02	5.029E-01	1.067E-02	2.696E-01	1.394E-02	2.333E-01	1.304E-02
8.950E-02	5.052E-01	1.062E-02	2.704E-01	1.385E-02	2.347E-01	1.303E-02
9.050E-02	5.075E-01	1.058E-02	2.713E-01	1.376E-02	2.362E-01	1.302E-02
9.150E-02	5.097E-01	1.053E-02	2.720E-01	1.366E-02	2.377E-01	1.300E-02
9.250E-02	5.119E-01	1.048E-02	2.728E-01	1.356E-02	2.391E-01	1.299E-02
9.350E-02	5.141E-01	1.043E-02	2.735E-01	1.347E-02	2.406E-01	1.297E-02
9.450E-02	5.163E-01	1.038E-02	2.743E-01	1.337E-02	2.421E-01	1.295E-02
9.550E-02	5.185E-01	1.033E-02	2.750E-01	1.327E-02	2.435E-01	1.294E-02
9.650E-02	5.206E-01	1.028E-02	2.756E-01	1.317E-02	2.450E-01	1.292E-02
9.750E-02	5.227E-01	1.024E-02	2.763E-01	1.308E-02	2.464E-01	1.291E-02
9.850E-02	5.248E-01	1.019E-02	2.769E-01	1.299E-02	2.478E-01	1.290E-02
9.950E-02	5.268E-01	1.014E-02	2.776E-01	1.290E-02	2.493E-01	1.289E-02
1.005E-01	5.289E-01	1.010E-02	2.782E-01	1.281E-02	2.507E-01	1.288E-02
1.015E-01	5.309E-01	1.006E-02	2.788E-01	1.272E-02	2.521E-01	1.287E-02
1.025E-01	5.329E-01	1.001E-02	2.793E-01	1.264E-02	2.536E-01	1.287E-02
1.035E-01	5.349E-01	9.974E-03	2.799E-01	1.256E-02	2.550E-01	1.288E-02
1.045E-01	5.369E-01	9.937E-03	2.804E-01	1.248E-02	2.565E-01	1.288E-02
1.055E-01	5.389E-01	9.903E-03	2.810E-01	1.241E-02	2.579E-01	1.289E-02
1.065E-01	5.408E-01	9.872E-03	2.815E-01	1.234E-02	2.593E-01	1.291E-02
1.075E-01	5.427E-01	9.846E-03	2.820E-01	1.228E-02	2.608E-01	1.293E-02
1.085E-01	5.447E-01	9.823E-03	2.825E-01	1.223E-02	2.622E-01	1.295E-02
1.095E-01	5.465E-01	9.804E-03	2.829E-01	1.218E-02	2.636E-01	1.298E-02
1.105E-01	5.484E-01	9.789E-03	2.834E-01	1.214E-02	2.650E-01	1.301E-02
1.115E-01	5.502E-01	9.777E-03	2.838E-01	1.211E-02	2.664E-01	1.305E-02
1.125E-01	5.520E-01	9.769E-03	2.842E-01	1.208E-02	2.678E-01	1.309E-02
1.135E-01	5.538E-01	9.764E-03	2.846E-01	1.206E-02	2.692E-01	1.312E-02
1.145E-01	5.556E-01	9.761E-03	2.850E-01	1.204E-02	2.706E-01	1.316E-02
1.155E-01	5.573E-01	9.759E-03	2.853E-01	1.203E-02	2.719E-01	1.320E-02
1.165E-01	5.590E-01	9.759E-03	2.857E-01	1.203E-02	2.733E-01	1.323E-02
1.175E-01	5.606E-01	9.760E-03	2.860E-01	1.202E-02	2.746E-01	1.327E-02
1.185E-01	5.622E-01	9.760E-03	2.863E-01	1.202E-02	2.759E-01	1.330E-02
1.195E-01	5.638E-01	9.762E-03	2.866E-01	1.202E-02	2.772E-01	1.333E-02
1.205E-01	5.654E-01	9.765E-03	2.869E-01	1.203E-02	2.785E-01	1.336E-02
1.215E-01	5.670E-01	9.769E-03	2.872E-01	1.204E-02	2.798E-01	1.340E-02
1.225E-01	5.685E-01	9.775E-03	2.874E-01	1.205E-02	2.810E-01	1.343E-02
1.235E-01	5.700E-01	9.782E-03	2.877E-01	1.207E-02	2.823E-01	1.347E-02
1.245E-01	5.715E-01	9.790E-03	2.879E-01	1.209E-02	2.836E-01	1.350E-02
1.255E-01	5.730E-01	9.798E-03	2.881E-01	1.211E-02	2.848E-01	1.354E-02
1.265E-01	5.744E-01	9.807E-03	2.883E-01	1.214E-02	2.861E-01	1.357E-02
1.275E-01	5.758E-01	9.816E-03	2.885E-01	1.216E-02	2.873E-01	1.360E-02
1.285E-01	5.772E-01	9.825E-03	2.887E-01	1.219E-02	2.885E-01	1.364E-02
1.295E-01	5.786E-01	9.834E-03	2.888E-01	1.222E-02	2.897E-01	1.367E-02
1.305E-01	5.799E-01	9.841E-03	2.890E-01	1.225E-02	2.909E-01	1.369E-02
1.315E-01	5.812E-01	9.848E-03	2.891E-01	1.228E-02	2.921E-01	1.372E-02
1.325E-01	5.825E-01	9.854E-03	2.892E-01	1.232E-02	2.933E-01	1.375E-02
1.335E-01	5.838E-01	9.858E-03	2.894E-01	1.235E-02	2.944E-01	1.377E-02
1.345E-01	5.850E-01	9.861E-03	2.895E-01	1.238E-02	2.956E-01	1.379E-02
1.355E-01	5.863E-01	9.862E-03	2.896E-01	1.240E-02	2.967E-01	1.380E-02
1.365E-01	5.874E-01	9.861E-03	2.896E-01	1.243E-02	2.978E-01	1.382E-02
1.375E-01	5.886E-01	9.857E-03	2.897E-01	1.245E-02	2.989E-01	1.383E-02
1.385E-01	5.898E-01	9.851E-03	2.898E-01	1.248E-02	3.000E-01	1.383E-02
1.395E-01	5.909E-01	9.843E-03	2.898E-01	1.250E-02	3.011E-01	1.384E-02
1.405E-01	5.920E-01	9.833E-03	2.898E-01	1.252E-02	3.022E-01	1.384E-02
1.415E-01	5.931E-01	9.823E-03	2.899E-01	1.254E-02	3.032E-01	1.385E-02
1.425E-01	5.942E-01	9.812E-03	2.899E-01	1.256E-02	3.043E-01	1.385E-02
1.435E-01	5.952E-01	9.802E-03	2.899E-01	1.258E-02	3.053E-01	1.386E-02
1.445E-01	5.962E-01	9.792E-03	2.899E-01	1.260E-02	3.064E-01	1.387E-02
1.455E-01	5.972E-01	9.783E-03	2.899E-01	1.262E-02	3.074E-01	1.388E-02
1.465E-01	5.982E-01	9.776E-03	2.898E-01	1.265E-02	3.084E-01	1.389E-02
1.475E-01	5.992E-01	9.770E-03	2.898E-01	1.267E-02	3.094E-01	1.391E-02
1.485E-01	6.001E-01	9.765E-03	2.897E-01	1.270E-02	3.104E-01	1.393E-02
1.495E-01	6.010E-01	9.762E-03	2.897E-01	1.273E-02	3.113E-01	1.394E-02
1.505E-01	6.019E-01	9.761E-03	2.896E-01	1.275E-02	3.123E-01	1.397E-02
1.515E-01	6.028E-01	9.761E-03	2.895E-01	1.278E-02	3.132E-01	1.399E-02
1.525E-01	6.036E-01	9.762E-03	2.895E-01	1.281E-02	3.141E-01	1.401E-02
1.535E-01	6.044E-01	9.765E-03	2.894E-01	1.284E-02	3.150E-01	1.404E-02
1.545E-01	6.052E-01	9.768E-03	2.893E-01	1.287E-02	3.159E-01	1.407E-02
1.555E-01	6.059E-01	9.772E-03	2.892E-01	1.290E-02	3.168E-01	1.409E-02
1.565E-01	6.067E-01	9.777E-03	2.890E-01	1.293E-02	3.176E-01	1.412E-02
1.575E-01	6.074E-01	9.782E-03	2.889E-01	1.295E-02	3.185E-01	1.415E-02
1.585E-01	6.081E-01	9.788E-03	2.888E-01	1.298E-02	3.193E-01	1.417E-02
1.595E-01	6.088E-01	9.795E-03	2.886E-01	1.301E-02	3.202E-01	1.421E-02
1.605E-01	6.094E-01	9.802E-03	2.885E-01	1.304E-02	3.210E-01	1.424E-02
1.615E-01	6.101E-01	9.810E-03	2.883E-01	1.307E-02	3.218E-01	1.427E-02
1.625E-01	6.107E-01	9.818E-03	2.881E-01	1.310E-02	3.226E-01	1.430E-02
1.635E-01	6.113E-01	9.827E-03	2.880E-01	1.313E-02	3.233E-01	1.434E-02
1.645E-01	6.119E-01	9.836E-03	2.878E-01	1.315E-02	3.241E-01	1.437E-02
1.655E-01	6.124E-01	9.846E-03	2.876E-01	1.318E-02	3.249E-01	1.440E-02
1.665E-01	6.129E-01	9.855E-03	2.874E-01	1.320E-02	3.256E-01	1.444E-02
1.675E-01	6.135E-01	9.864E-03	2.871E-01	1.323E-02	3.263E-01	1.447E-02
1.685E-01	6.139E-01	9.873E-03	2.869E-01	1.325E-02	3.270E-01	1.450E-02
1.695E-01	6.144E-01	9.882E-03	2.867E-01	1.327E-02	3.277E-01	1.453E-02
1.705E-01	6.148E-01	9.889E-03	2.865E-01	1.329E-02	3.284E-01	1.456E-02
1.715E-01	6.153E-01	9.896E-03	2.862E-01	1.331E-02	3.290E-01	1.458E-02
1.725E-01	6.157E-01	9.903E-03	2.860E-01	1.332E-02	3.297E-01	1.461E-02
1.735E-01	6.160E-01	9.908E-03	2.857E-01	1.333E-02	3.303E-01	1.463E-02
1.745E-01	6.164E-01	9.912E-03	2.855E-01	1.334E-02	3.309E-01	1.465E-02
1.755E-01	6.167E-01	9.915E-03	2.852E-01	1.335E-02	3.315E-01	1.467E-02
1.765E-01	6.170E-01	9.917E-03	2.849E-01	1.335E-02	3.321E-01	1.469E-02
1.775E-01	6.173E-01	9.918E-03	2.846E-01	1.335E-02	3.327E-01	1.470E-02
1.785E-01	6.176E-01	9.919E-03	2.843E-01	1.335E-02	3.332E-01	1.472E-02
1.795E-01	6.178E-01	9.920E-03	2.840E-01	1.335E-02	3.338E-01	1.473E-02
1.805E-01	6.181E-01	9.921E-03	2.837E-01	1.334E-02	3.343E-01	1.475E-02
