x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
2.035000E-07	1.278262E+02	1.261997E+02	1.295789E+02	1.306472E+02	1.226423E+02	1.288885E+02	1.265208E+02	1.288900E+02	1.270564E+02	1.287744E+02	1.266469E+02	1.299523E+02	1.266978E+02	1.299534E+02	1.262397E+02	1.261768E+02	1.291070E+02	1.281813E+02	1.276657E+02	1.282681E+02	1.274975E+02	1.270173E+02	1.292635E+02	1.276501E+02	1.282304E+02	1.278534E+02	1.277540E+02	1.417842E+02	1.184091E+02	1.301486E+02	1.262034E+02	1.251501E+02	1.294522E+02	1.469884E+02	8.331622E+01	1.036657E+02	1.477609E+02	5.618841E+01	2.122372E+02	1.306151E+02	1.312255E+02	1.114862E+02	1.437141E+02	1.111714E+02	1.546991E+02	1.820111E+02	7.429669E+01	1.288957E+02	1.273939E+02	1.195522E+02	1.429758E+02	
2.066629E-07	1.236763E+02	1.221086E+02	1.253656E+02	1.263952E+02	1.186794E+02	1.247002E+02	1.224181E+02	1.247017E+02	1.229344E+02	1.245903E+02	1.225396E+02	1.257254E+02	1.225887E+02	1.257265E+02	1.221472E+02	1.220865E+02	1.249108E+02	1.240186E+02	1.235216E+02	1.241008E+02	1.233595E+02	1.228967E+02	1.250606E+02	1.235066E+02	1.240659E+02	1.237026E+02	1.236068E+02	1.371282E+02	1.145961E+02	1.259230E+02	1.221066E+02	1.210898E+02	1.252477E+02	1.422311E+02	8.058606E+01	1.002976E+02	1.429660E+02	5.436873E+01	2.053268E+02	1.264044E+02	1.268847E+02	1.078647E+02	1.390496E+02	1.075908E+02	1.496010E+02	1.760899E+02	7.188727E+01	1.247071E+02	1.232572E+02	1.156726E+02	1.383287E+02	
2.098750E-07	1.196417E+02	1.181308E+02	1.212696E+02	1.222617E+02	1.148256E+02	1.206283E+02	1.184291E+02	1.206298E+02	1.189267E+02	1.205224E+02	1.185462E+02	1.216163E+02	1.185935E+02	1.216174E+02	1.181680E+02	1.181095E+02	1.208313E+02	1.199715E+02	1.194926E+02	1.200492E+02	1.193364E+02	1.188903E+02	1.209747E+02	1.194782E+02	1.200171E+02	1.196670E+02	1.195747E+02	1.326039E+02	1.108875E+02	1.218148E+02	1.181235E+02	1.171421E+02	1.211600E+02	1.376052E+02	7.793289E+01	9.702310E+01	1.383043E+02	5.259940E+01	1.986093E+02	1.223093E+02	1.226681E+02	1.043439E+02	1.345146E+02	1.041084E+02	1.446480E+02	1.703335E+02	6.954470E+01	1.206351E+02	1.192353E+02	1.119006E+02	1.338109E+02	
2.131370E-07	1.157194E+02	1.142635E+02	1.172879E+02	1.182438E+02	1.110783E+02	1.166700E+02	1.145509E+02	1.166714E+02	1.150304E+02	1.165680E+02	1.146638E+02	1.176220E+02	1.147094E+02	1.176230E+02	1.142993E+02	1.142430E+02	1.168656E+02	1.160372E+02	1.155757E+02	1.161106E+02	1.154252E+02	1.149954E+02	1.170027E+02	1.155618E+02	1.160811E+02	1.157437E+02	1.156548E+02	1.282080E+02	1.072807E+02	1.178209E+02	1.142512E+02	1.133041E+02	1.171861E+02	1.331074E+02	7.535471E+01	9.383988E+01	1.337721E+02	5.087913E+01	1.920797E+02	1.183268E+02	1.185725E+02	1.009212E+02	1.301058E+02	1.007216E+02	1.398362E+02	1.647378E+02	6.726725E+01	1.166765E+02	1.153253E+02	1.082336E+02	1.294190E+02	
2.164497E-07	1.119065E+02	1.105038E+02	1.134176E+02	1.143384E+02	1.074347E+02	1.128223E+02	1.107807E+02	1.128237E+02	1.112426E+02	1.127240E+02	1.108895E+02	1.137394E+02	1.109334E+02	1.137403E+02	1.105383E+02	1.104840E+02	1.130107E+02	1.122126E+02	1.117680E+02	1.122819E+02	1.116230E+02	1.112089E+02	1.131419E+02	1.117546E+02	1.122550E+02	1.119299E+02	1.118442E+02	1.239370E+02	1.037732E+02	1.139385E+02	1.104869E+02	1.095731E+02	1.133232E+02	1.287344E+02	7.284955E+01	9.074556E+01	1.293662E+02	4.920668E+01	1.857330E+02	1.144541E+02	1.145947E+02	9.759408E+01	1.258199E+02	9.742799E+01	1.351621E+02	1.592985E+02	6.505326E+01	1.128285E+02	1.115244E+02	1.046688E+02	1.251498E+02	
2.198139E-07	1.082001E+02	1.068489E+02	1.096557E+02	1.105426E+02	1.038921E+02	1.090823E+02	1.071157E+02	1.090836E+02	1.075607E+02	1.089876E+02	1.072205E+02	1.099656E+02	1.072627E+02	1.099666E+02	1.068822E+02	1.068299E+02	1.092638E+02	1.084950E+02	1.080668E+02	1.085604E+02	1.079271E+02	1.075282E+02	1.093891E+02	1.080539E+02	1.085358E+02	1.082227E+02	1.081402E+02	1.197877E+02	1.003623E+02	1.101647E+02	1.068278E+02	1.059463E+02	1.095683E+02	1.244830E+02	7.041550E+01	8.773784E+01	1.250834E+02	4.758080E+01	1.795646E+02	1.106883E+02	1.107315E+02	9.436008E+01	1.216537E+02	9.422522E+01	1.306219E+02	1.540116E+02	6.290109E+01	1.090883E+02	1.078297E+02	1.012036E+02	1.210002E+02	
2.232303E-07	1.045976E+02	1.032962E+02	1.059995E+02	1.068536E+02	1.004480E+02	1.054473E+02	1.035531E+02	1.054485E+02	1.039818E+02	1.053561E+02	1.036541E+02	1.062980E+02	1.036948E+02	1.062989E+02	1.033282E+02	1.032779E+02	1.056221E+02	1.048817E+02	1.044692E+02	1.049432E+02	1.043347E+02	1.039505E+02	1.057418E+02	1.044568E+02	1.049210E+02	1.046194E+02	1.045399E+02	1.157568E+02	9.704572E+01	1.064966E+02	1.032712E+02	1.024211E+02	1.059187E+02	1.203502E+02	6.805070E+01	8.481449E+01	1.209204E+02	4.600032E+01	1.735699E+02	1.070269E+02	1.069798E+02	9.121680E+01	1.176043E+02	9.111099E+01	1.262120E+02	1.488732E+02	6.080917E+01	1.054531E+02	1.042385E+02	9.783539E+01	1.169670E+02	
2.266999E-07	1.010963E+02	9.984303E+01	1.024462E+02	1.032686E+02	9.709987E+01	1.019145E+02	1.000904E+02	1.019157E+02	1.005032E+02	1.018267E+02	1.001876E+02	1.027336E+02	1.002269E+02	1.027345E+02	9.987388E+01	9.982535E+01	1.020828E+02	1.013698E+02	1.009726E+02	1.014278E+02	1.008431E+02	1.004731E+02	1.021971E+02	1.009607E+02	1.014077E+02	1.011173E+02	1.010407E+02	1.118413E+02	9.382098E+01	1.029315E+02	9.981450E+01	9.899471E+01	1.023717E+02	1.163328E+02	6.575333E+01	8.197334E+01	1.168742E+02	4.446405E+01	1.677442E+02	1.034670E+02	1.033368E+02	8.816191E+01	1.136685E+02	8.808305E+01	1.219291E+02	1.438794E+02	5.877592E+01	1.019201E+02	1.007482E+02	9.456171E+01	1.130473E+02	
2.302234E-07	9.769354E+01	9.648681E+01	9.899321E+01	9.978498E+01	9.384525E+01	9.848130E+01	9.672505E+01	9.848245E+01	9.712250E+01	9.839675E+01	9.681864E+01	9.926993E+01	9.685640E+01	9.927076E+01	9.651651E+01	9.646979E+01	9.864332E+01	9.795688E+01	9.757447E+01	9.801140E+01	9.744970E+01	9.709348E+01	9.875247E+01	9.756293E+01	9.799331E+01	9.771372E+01	9.764000E+01	1.080381E+02	9.068576E+01	9.946684E+01	9.645505E+01	9.566469E+01	9.892452E+01	1.124280E+02	6.352162E+01	7.921225E+01	1.129418E+02	4.297087E+01	1.620833E+02	1.000062E+02	9.979940E+01	8.519310E+01	1.098435E+02	8.513920E+01	1.177696E+02	1.390266E+02	5.679984E+01	9.848665E+01	9.735616E+01	9.138012E+01	1.092381E+02	
2.338017E-07	9.438677E+01	9.322505E+01	9.563789E+01	9.640004E+01	9.068175E+01	9.514511E+01	9.345441E+01	9.514622E+01	9.383704E+01	9.506372E+01	9.354451E+01	9.590426E+01	9.358087E+01	9.590506E+01	9.325365E+01	9.320866E+01	9.530107E+01	9.464029E+01	9.427215E+01	9.469149E+01	9.415204E+01	9.380910E+01	9.540520E+01	9.426104E+01	9.467536E+01	9.440621E+01	9.433524E+01	1.043442E+02	8.763780E+01	9.609995E+01	9.319036E+01	9.242853E+01	9.557469E+01	1.086327E+02	6.135384E+01	7.652916E+01	1.091202E+02	4.151967E+01	1.565829E+02	9.664194E+01	9.636488E+01	8.230816E+01	1.061264E+02	8.227730E+01	1.137305E+02	1.343110E+02	5.487946E+01	9.515026E+01	9.405978E+01	8.828824E+01	1.055366E+02	
