NNPDF30_nlo_as_0118	1.00 GeV^2
x  xs-  delta_xs-
3.191538E-04  -2.764982E-03  4.660415E-03
3.221069E-04  -2.772138E-03  4.664159E-03
3.250873E-04  -2.779295E-03  4.667987E-03
3.280953E-04  -2.786454E-03  4.671898E-03
3.311311E-04  -2.793616E-03  4.675895E-03
3.341950E-04  -2.800782E-03  4.679976E-03
3.372873E-04  -2.807953E-03  4.684142E-03
3.404082E-04  -2.815129E-03  4.688393E-03
3.435579E-04  -2.822312E-03  4.692729E-03
3.467369E-04  -2.829502E-03  4.697148E-03
3.499452E-04  -2.836701E-03  4.701652E-03
3.531832E-04  -2.843908E-03  4.706238E-03
3.564511E-04  -2.851126E-03  4.710905E-03
3.597493E-04  -2.858355E-03  4.715653E-03
3.630781E-04  -2.865596E-03  4.720480E-03
3.664376E-04  -2.872849E-03  4.725385E-03
3.698282E-04  -2.880116E-03  4.730366E-03
3.732502E-04  -2.887398E-03  4.735420E-03
3.767038E-04  -2.894695E-03  4.740546E-03
3.801894E-04  -2.902009E-03  4.745742E-03
3.837072E-04  -2.909340E-03  4.751004E-03
3.872576E-04  -2.916688E-03  4.756330E-03
3.908409E-04  -2.924056E-03  4.761718E-03
3.944573E-04  -2.931444E-03  4.767165E-03
3.981072E-04  -2.938853E-03  4.772666E-03
4.017908E-04  -2.946284E-03  4.778219E-03
4.055085E-04  -2.953737E-03  4.783821E-03
4.092607E-04  -2.961213E-03  4.789467E-03
4.130475E-04  -2.968715E-03  4.795154E-03
4.168694E-04  -2.976241E-03  4.800878E-03
4.207266E-04  -2.983793E-03  4.806635E-03
4.246196E-04  -2.991373E-03  4.812421E-03
4.285485E-04  -2.998981E-03  4.818231E-03
4.325138E-04  -3.006617E-03  4.824061E-03
4.365158E-04  -3.014284E-03  4.829907E-03
4.405549E-04  -3.021981E-03  4.835764E-03
4.446313E-04  -3.029709E-03  4.841626E-03
4.487454E-04  -3.037471E-03  4.847491E-03
4.528976E-04  -3.045265E-03  4.853351E-03
4.570882E-04  -3.053090E-03  4.859276E-03
4.613176E-04  -3.060938E-03  4.865376E-03
4.655861E-04  -3.068809E-03  4.871646E-03
4.698941E-04  -3.076704E-03  4.878075E-03
4.742420E-04  -3.084621E-03  4.884654E-03
4.786301E-04  -3.092562E-03  4.891373E-03
4.830588E-04  -3.100526E-03  4.898222E-03
4.875285E-04  -3.108513E-03  4.905193E-03
4.920395E-04  -3.116522E-03  4.912274E-03
4.965923E-04  -3.124554E-03  4.919457E-03
5.011872E-04  -3.132609E-03  4.926732E-03
5.058247E-04  -3.140686E-03  4.934089E-03
5.105050E-04  -3.148786E-03  4.941518E-03
5.152286E-04  -3.156908E-03  4.949009E-03
5.199960E-04  -3.165053E-03  4.956552E-03
5.248075E-04  -3.173219E-03  4.964139E-03
5.296634E-04  -3.181408E-03  4.971758E-03
5.345644E-04  -3.189619E-03  4.979401E-03
5.395106E-04  -3.197852E-03  4.987057E-03
5.445027E-04  -3.206107E-03  4.994717E-03
5.495409E-04  -3.214383E-03  5.002370E-03
5.546257E-04  -3.222682E-03  5.010009E-03
5.597576E-04  -3.231002E-03  5.017622E-03
5.649370E-04  -3.239343E-03  5.025200E-03
5.701643E-04  -3.247706E-03  5.032735E-03
5.754399E-04  -3.256090E-03  5.040216E-03
5.807644E-04  -3.264496E-03  5.047634E-03
5.861382E-04  -3.272923E-03  5.054981E-03
5.915616E-04  -3.281371E-03  5.062246E-03
5.970353E-04  -3.289840E-03  5.069422E-03
6.025596E-04  -3.298330E-03  5.076499E-03
6.081350E-04  -3.306841E-03  5.083469E-03
6.137620E-04  -3.315372E-03  5.090322E-03
6.194411E-04  -3.323925E-03  5.097052E-03
6.251727E-04  -3.332498E-03  5.103649E-03
6.309573E-04  -3.341091E-03  5.110105E-03
6.367955E-04  -3.349705E-03  5.116414E-03
6.426877E-04  -3.358340E-03  5.122566E-03
6.486344E-04  -3.366995E-03  5.128555E-03
6.546362E-04  -3.375670E-03  5.134373E-03
6.606934E-04  -3.384365E-03  5.140047E-03
6.668068E-04  -3.393077E-03  5.145797E-03
6.729767E-04  -3.401807E-03  5.151662E-03
6.792036E-04  -3.410556E-03  5.157630E-03
