x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
2.035000E-07	4.626812E+01	4.540389E+01	4.721651E+01	4.790762E+01	4.311903E+01	4.686614E+01	4.556785E+01	4.692602E+01	4.580700E+01	4.684213E+01	4.555936E+01	4.751813E+01	4.560965E+01	4.759099E+01	4.528608E+01	4.525600E+01	4.705529E+01	4.649598E+01	4.615961E+01	4.666275E+01	4.607907E+01	4.548319E+01	4.793466E+01	4.583222E+01	4.732695E+01	4.623699E+01	4.635328E+01	5.656629E+01	3.952521E+01	4.721654E+01	4.557638E+01	4.493792E+01	4.707930E+01	5.186734E+01	3.246919E+01	3.778024E+01	5.352170E+01	1.985463E+01	7.882617E+01	4.374055E+01	5.585993E+01	4.086392E+01	5.209459E+01	3.784586E+01	6.261288E+01	6.815785E+01	2.651248E+01	4.739660E+01	4.662926E+01	4.322002E+01	5.249626E+01	
2.066629E-07	4.483330E+01	4.399942E+01	4.574858E+01	4.641549E+01	4.179371E+01	4.541046E+01	4.415768E+01	4.546824E+01	4.438825E+01	4.538728E+01	4.414924E+01	4.603964E+01	4.419778E+01	4.610996E+01	4.388546E+01	4.385642E+01	4.559300E+01	4.505322E+01	4.472859E+01	4.521417E+01	4.465085E+01	4.407571E+01	4.644223E+01	4.441259E+01	4.585515E+01	4.480326E+01	4.491537E+01	5.476838E+01	3.832339E+01	4.575080E+01	4.416383E+01	4.354607E+01	4.561805E+01	5.027015E+01	3.144247E+01	3.660799E+01	5.186429E+01	1.924113E+01	7.636894E+01	4.240733E+01	5.405382E+01	3.959356E+01	5.047984E+01	3.669120E+01	6.061015E+01	6.603672E+01	2.569136E+01	4.592320E+01	4.518374E+01	4.188161E+01	5.086434E+01	
2.098750E-07	4.343610E+01	4.263161E+01	4.431928E+01	4.496275E+01	4.050261E+01	4.399302E+01	4.278434E+01	4.404878E+01	4.300661E+01	4.397066E+01	4.277595E+01	4.460012E+01	4.282279E+01	4.466797E+01	4.252138E+01	4.249336E+01	4.416916E+01	4.364831E+01	4.333504E+01	4.380362E+01	4.326003E+01	4.270499E+01	4.498918E+01	4.303010E+01	4.442211E+01	4.340710E+01	4.351517E+01	5.301953E+01	3.715203E+01	4.432354E+01	4.278826E+01	4.219061E+01	4.419515E+01	4.871435E+01	3.044354E+01	3.546651E+01	5.025024E+01	1.864360E+01	7.397672E+01	4.110804E+01	5.229830E+01	3.835664E+01	4.890738E+01	3.556596E+01	5.866260E+01	6.397151E+01	2.489173E+01	4.448860E+01	4.377610E+01	4.057822E+01	4.927536E+01	
2.131370E-07	4.207559E+01	4.129957E+01	4.292768E+01	4.354845E+01	3.924491E+01	4.261292E+01	4.144695E+01	4.266672E+01	4.166119E+01	4.259135E+01	4.143862E+01	4.319862E+01	4.148382E+01	4.326407E+01	4.119297E+01	4.116593E+01	4.278285E+01	4.228034E+01	4.197808E+01	4.243019E+01	4.190570E+01	4.137015E+01	4.357456E+01	4.168385E+01	4.302689E+01	4.204761E+01	4.215176E+01	5.131851E+01	3.601044E+01	4.293382E+01	4.144880E+01	4.087067E+01	4.280969E+01	4.719894E+01	2.947170E+01	3.435505E+01	4.867850E+01	1.806165E+01	7.164792E+01	3.984188E+01	5.059204E+01	3.715234E+01	4.737621E+01	3.446946E+01	5.676882E+01	6.196086E+01	2.411307E+01	4.309186E+01	4.240544E+01	3.930900E+01	4.772828E+01	
2.164497E-07	4.075089E+01	4.000245E+01	4.157287E+01	4.217165E+01	3.801983E+01	4.126924E+01	4.014465E+01	4.132114E+01	4.035110E+01	4.124843E+01	4.013637E+01	4.183422E+01	4.017998E+01	4.189735E+01	3.989937E+01	3.987328E+01	4.143317E+01	4.094841E+01	4.065683E+01	4.109297E+01	4.058700E+01	4.007031E+01	4.219743E+01	4.037297E+01	4.166857E+01	4.072390E+01	4.082425E+01	4.966411E+01	3.489790E+01	4.158074E+01	4.014455E+01	3.958540E+01	4.146074E+01	4.572297E+01	2.852627E+01	3.327290E+01	4.714804E+01	1.749491E+01	6.938100E+01	3.860807E+01	4.893378E+01	3.597987E+01	4.588532E+01	3.340102E+01	5.492745E+01	6.000345E+01	2.335488E+01	4.173205E+01	4.107087E+01	3.807314E+01	4.622209E+01	
2.198139E-07	3.946114E+01	3.873941E+01	4.025395E+01	4.083143E+01	3.682658E+01	3.996111E+01	3.887658E+01	4.001116E+01	3.907551E+01	3.994104E+01	3.886837E+01	4.050601E+01	3.891044E+01	4.056689E+01	3.863974E+01	3.861457E+01	4.011921E+01	3.965166E+01	3.937041E+01	3.979109E+01	3.930305E+01	3.880464E+01	4.085688E+01	3.909660E+01	4.034624E+01	3.943511E+01	3.953179E+01	4.805515E+01	3.381376E+01	4.026340E+01	3.887468E+01	3.833396E+01	4.014743E+01	4.428549E+01	2.760659E+01	3.221934E+01	4.565789E+01	1.694301E+01	6.717444E+01	3.740587E+01	4.732225E+01	3.483846E+01	4.443374E+01	3.235999E+01	5.313714E+01	5.809799E+01	2.261665E+01	4.040828E+01	3.977150E+01	3.686982E+01	4.475579E+01	
2.232303E-07	3.820548E+01	3.750962E+01	3.897005E+01	3.952690E+01	3.566442E+01	3.868765E+01	3.764192E+01	3.873592E+01	3.783356E+01	3.866829E+01	3.763378E+01	3.921310E+01	3.767436E+01	3.927181E+01	3.741327E+01	3.738899E+01	3.884011E+01	3.838922E+01	3.811798E+01	3.852369E+01	3.805302E+01	3.757232E+01	3.955202E+01	3.785391E+01	3.905905E+01	3.818038E+01	3.827351E+01	4.649047E+01	3.275734E+01	3.898094E+01	3.763836E+01	3.711554E+01	3.886889E+01	4.288559E+01	2.671202E+01	3.119367E+01	4.420705E+01	1.640561E+01	6.502676E+01	3.623452E+01	4.575623E+01	3.372736E+01	4.302053E+01	3.134573E+01	5.139659E+01	5.624319E+01	2.189792E+01	3.911968E+01	3.850649E+01	3.569826E+01	4.332841E+01	
2.266999E-07	3.698310E+01	3.631229E+01	3.772031E+01	3.825718E+01	3.453259E+01	3.744803E+01	3.643987E+01	3.749457E+01	3.662446E+01	3.742936E+01	3.643181E+01	3.795465E+01	3.647093E+01	3.801126E+01	3.621915E+01	3.619574E+01	3.759503E+01	3.716028E+01	3.689873E+01	3.728993E+01	3.683609E+01	3.637254E+01	3.828197E+01	3.664408E+01	3.780612E+01	3.695890E+01	3.704859E+01	4.496896E+01	3.172800E+01	3.773252E+01	3.643476E+01	3.592932E+01	3.762428E+01	4.152236E+01	2.584192E+01	3.019523E+01	4.279458E+01	1.588234E+01	6.293652E+01	3.509332E+01	4.423455E+01	3.264582E+01	4.164474E+01	3.035760E+01	4.970451E+01	5.443784E+01	2.119820E+01	3.786538E+01	3.727500E+01	3.455770E+01	4.193901E+01	
2.302234E-07	3.579319E+01	3.514663E+01	3.650391E+01	3.702144E+01	3.343038E+01	3.624141E+01	3.526964E+01	3.628628E+01	3.544741E+01	3.622342E+01	3.526166E+01	3.672981E+01	3.529938E+01	3.678438E+01	3.505661E+01	3.503404E+01	3.638313E+01	3.596400E+01	3.571184E+01	3.608900E+01	3.565145E+01	3.520451E+01	3.704588E+01	3.546632E+01	3.658663E+01	3.576985E+01	3.585621E+01	4.348951E+01	3.072510E+01	3.651730E+01	3.526310E+01	3.477455E+01	3.641277E+01	4.019493E+01	2.499567E+01	2.922334E+01	4.141956E+01	1.537288E+01	6.090232E+01	3.398155E+01	4.275604E+01	3.159313E+01	4.030548E+01	2.939499E+01	4.805966E+01	5.268072E+01	2.051704E+01	3.664455E+01	3.607623E+01	3.344737E+01	4.058666E+01	
2.338017E-07	3.463495E+01	3.401187E+01	3.532002E+01	3.581883E+01	3.235708E+01	3.506701E+01	3.413046E+01	3.511026E+01	3.430162E+01	3.504967E+01	3.412255E+01	3.553776E+01	3.415892E+01	3.559035E+01	3.392488E+01	3.390312E+01	3.520361E+01	3.479961E+01	3.455653E+01	3.492010E+01	3.449832E+01	3.406746E+01	3.584293E+01	3.431986E+01	3.539975E+01	3.461245E+01	3.469560E+01	4.205106E+01	2.974804E+01	3.533448E+01	3.412261E+01	3.365044E+01	3.523356E+01	3.890243E+01	2.417268E+01	2.827736E+01	4.008107E+01	1.487689E+01	5.892277E+01	3.289852E+01	4.131956E+01	3.056858E+01	3.900186E+01	2.845731E+01	4.646083E+01	5.097064E+01	1.985399E+01	3.545637E+01	3.490936E+01	3.236655E+01	3.927046E+01	
