x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	
2.035000E-07	3.495201E+07	3.228946E+07	3.828242E+07	4.960444E+07	1.594513E+07	2.209189E+07	2.427512E+07	1.456390E+07	3.351487E+07	6.389893E+07	2.089946E+07	3.824323E+07	4.782682E+07	3.503665E+07	2.584716E+07	3.167184E+07	5.429363E+07	2.038012E+07	2.900451E+07	1.262235E+07	4.743140E+07	3.765688E+07	4.527978E+07	2.248753E+07	3.280774E+07	1.807795E+07	1.358818E+07	1.473947E+07	1.201789E+07	3.844819E+07	1.935275E+07	3.411826E+07	1.361536E+07	1.642564E+07	2.605838E+07	3.755369E+07	2.822339E+07	4.390807E+07	3.741512E+07	4.165549E+07	4.647871E+07	3.313925E+07	3.854935E+07	4.756598E+07	4.186603E+07	1.677725E+07	1.910220E+08	7.258046E+07	1.739654E+07	3.615802E+07	1.852303E+07	3.128758E+07	1.501357E+07	1.059452E+07	2.882587E+07	2.992320E+07	2.792367E+07	1.761129E+07	1.682272E+07	3.125482E+07	3.255392E+07	4.211761E+07	3.652855E+07	4.124275E+07	2.244111E+07	2.813793E+07	1.230420E+08	2.995811E+07	4.944056E+07	1.668919E+07	7.040471E+07	4.635280E+07	1.702861E+07	2.181263E+07	4.367242E+07	2.490488E+07	2.081935E+07	2.639102E+07	1.454243E+07	2.034125E+07	2.747004E+07	5.502146E+07	2.128658E+07	7.925605E+07	2.340288E+07	3.288565E+07	1.847598E+07	1.894261E+07	1.641956E+08	1.069961E+07	2.481584E+07	1.627861E+07	6.905167E+07	1.642861E+07	1.491972E+07	3.576436E+07	1.453432E+07	1.748049E+07	9.629838E+07	1.695272E+07	3.215121E+07	
2.066629E-07	3.429059E+07	3.168361E+07	3.754109E+07	4.861506E+07	1.574203E+07	2.171755E+07	2.384505E+07	1.432876E+07	3.289615E+07	6.266636E+07	2.051138E+07	3.750922E+07	4.688753E+07	3.437566E+07	2.533603E+07	3.107503E+07	5.330777E+07	2.002069E+07	2.846682E+07	1.242141E+07	4.649268E+07	3.693287E+07	4.441493E+07	2.213589E+07	3.219483E+07	1.776722E+07	1.338035E+07	1.449571E+07	1.183332E+07	3.771554E+07	1.903207E+07	3.348042E+07	1.341079E+07	1.615630E+07	2.564573E+07	3.684104E+07	2.768611E+07	4.311912E+07	3.670318E+07	4.084695E+07	4.558697E+07	3.250741E+07	3.780749E+07	4.663682E+07	4.106931E+07	1.650262E+07	1.859534E+08	7.113559E+07	1.708167E+07	3.548064E+07	1.820993E+07	3.070579E+07	1.478408E+07	1.042335E+07	2.834512E+07	2.935878E+07	2.738080E+07	1.731582E+07	1.655828E+07	3.066433E+07	3.193466E+07	4.130165E+07	3.585426E+07	4.050357E+07	2.203629E+07	2.760776E+07	1.208152E+08	2.940012E+07	4.846063E+07	1.642503E+07	6.909235E+07	4.540474E+07	1.676730E+07	2.144966E+07	4.283865E+07	2.450144E+07	2.046470E+07	2.590337E+07	1.434292E+07	1.997571E+07	2.696316E+07	5.382328E+07	2.092677E+07	7.755117E+07	2.298617E+07	3.227100E+07	1.817908E+07	1.859664E+07	1.609060E+08	1.053285E+07	2.436119E+07	1.610129E+07	6.775091E+07	1.615223E+07	1.468566E+07	3.508279E+07	1.442144E+07	1.718573E+07	9.454682E+07	1.666633E+07	3.154841E+07	
2.098750E-07	3.364156E+07	3.108913E+07	3.681412E+07	4.764544E+07	1.554065E+07	2.134940E+07	2.342257E+07	1.409734E+07	3.228886E+07	6.145764E+07	2.013049E+07	3.678930E+07	4.596667E+07	3.372712E+07	2.483487E+07	3.048944E+07	5.233985E+07	1.966757E+07	2.793908E+07	1.222350E+07	4.557255E+07	3.622274E+07	4.356648E+07	2.178931E+07	3.159335E+07	1.746171E+07	1.317542E+07	1.425587E+07	1.165135E+07	3.699683E+07	1.871648E+07	3.285446E+07	1.320903E+07	1.589119E+07	2.523942E+07	3.614189E+07	2.715902E+07	4.234430E+07	3.600478E+07	4.005412E+07	4.471232E+07	3.188761E+07	3.707987E+07	4.572579E+07	4.028764E+07	1.623239E+07	1.810066E+08	6.971920E+07	1.677258E+07	3.481593E+07	1.790205E+07	3.013448E+07	1.455773E+07	1.025487E+07	2.787192E+07	2.880498E+07	2.684837E+07	1.702516E+07	1.629776E+07	3.008495E+07	3.132714E+07	4.050145E+07	3.519239E+07	3.977757E+07	2.163875E+07	2.708756E+07	1.186284E+08	2.885250E+07	4.750011E+07	1.616483E+07	6.780446E+07	4.447601E+07	1.650973E+07	2.109262E+07	4.202077E+07	2.410359E+07	2.011597E+07	2.542471E+07	1.414562E+07	1.961673E+07	2.646559E+07	5.265098E+07	2.057296E+07	7.587759E+07	2.257686E+07	3.166781E+07	1.788668E+07	1.825696E+07	1.576795E+08	1.036860E+07	2.391496E+07	1.592404E+07	6.647404E+07	1.588044E+07	1.445507E+07	3.441421E+07	1.430882E+07	1.689580E+07	9.282703E+07	1.638467E+07	3.095689E+07	
2.131370E-07	3.300467E+07	3.050579E+07	3.610121E+07	4.669518E+07	1.534099E+07	2.098734E+07	2.300755E+07	1.386956E+07	3.169278E+07	6.027229E+07	1.975665E+07	3.608319E+07	4.506390E+07	3.309079E+07	2.434350E+07	2.991484E+07	5.138955E+07	1.932063E+07	2.742111E+07	1.202859E+07	4.467062E+07	3.552621E+07	4.273412E+07	2.144774E+07	3.100309E+07	1.716134E+07	1.297336E+07	1.401987E+07	1.147196E+07	3.629178E+07	1.840591E+07	3.224018E+07	1.301005E+07	1.563026E+07	2.483933E+07	3.545597E+07	2.664191E+07	4.158337E+07	3.531967E+07	3.927668E+07	4.385441E+07	3.127961E+07	3.636622E+07	4.483252E+07	3.952075E+07	1.596647E+07	1.761787E+08	6.833071E+07	1.646916E+07	3.416365E+07	1.759930E+07	2.957347E+07	1.433449E+07	1.008902E+07	2.740618E+07	2.826160E+07	2.632618E+07	1.673925E+07	1.604111E+07	2.951648E+07	3.073114E+07	3.971672E+07	3.454270E+07	3.906452E+07	2.124837E+07	2.657713E+07	1.164810E+08	2.831507E+07	4.655862E+07	1.590855E+07	6.654057E+07	4.356622E+07	1.625586E+07	2.074144E+07	4.121846E+07	2.371132E+07	1.977307E+07	2.495487E+07	1.395053E+07	1.926420E+07	2.597717E+07	5.150398E+07	2.022505E+07	7.423469E+07	2.217481E+07	3.107587E+07	1.759871E+07	1.792347E+07	1.545147E+08	1.020683E+07	2.347699E+07	1.574698E+07	6.522063E+07	1.561317E+07	1.422790E+07	3.375838E+07	1.419629E+07	1.661064E+07	9.113842E+07	1.610766E+07	3.037643E+07	
2.164497E-07	3.237970E+07	2.993340E+07	3.540210E+07	4.576389E+07	1.514308E+07	2.063129E+07	2.259987E+07	1.364539E+07	3.110770E+07	5.910987E+07	1.938972E+07	3.539062E+07	4.417884E+07	3.246644E+07	2.386172E+07	2.935104E+07	5.045654E+07	1.897978E+07	2.691272E+07	1.183663E+07	4.378654E+07	3.484303E+07	4.191753E+07	2.111112E+07	3.042382E+07	1.686601E+07	1.277415E+07	1.378767E+07	1.129512E+07	3.560013E+07	1.810028E+07	3.163736E+07	1.281381E+07	1.537344E+07	2.444535E+07	3.478303E+07	2.613460E+07	4.083607E+07	3.464760E+07	3.851433E+07	4.301292E+07	3.068318E+07	3.566626E+07	4.395667E+07	3.876835E+07	1.570481E+07	1.714672E+08	6.696956E+07	1.617129E+07	3.352356E+07	1.730160E+07	2.902258E+07	1.411433E+07	9.925786E+06	2.694779E+07	2.772843E+07	2.581403E+07	1.645801E+07	1.578827E+07	2.895869E+07	3.014644E+07	3.894715E+07	3.390496E+07	3.836419E+07	2.086501E+07	2.607630E+07	1.143721E+08	2.778764E+07	4.563576E+07	1.565613E+07	6.530025E+07	4.267496E+07	1.600564E+07	2.039602E+07	4.043143E+07	2.332461E+07	1.943591E+07	2.449370E+07	1.375763E+07	1.891799E+07	2.549774E+07	5.038175E+07	1.988294E+07	7.262186E+07	2.177989E+07	3.049495E+07	1.731513E+07	1.759605E+07	1.514104E+08	1.004751E+07	2.304712E+07	1.557019E+07	6.399025E+07	1.535036E+07	1.400411E+07	3.311503E+07	1.408365E+07	1.633017E+07	8.948042E+07	1.583524E+07	2.980682E+07	
2.198139E-07	3.176642E+07	2.937173E+07	3.471650E+07	4.485117E+07	1.494693E+07	2.028115E+07	2.219938E+07	1.342476E+07	3.053341E+07	5.796990E+07	1.902958E+07	3.471133E+07	4.331113E+07	3.185384E+07	2.338936E+07	2.879782E+07	4.954050E+07	1.864489E+07	2.641373E+07	1.164759E+07	4.291993E+07	3.417294E+07	4.111642E+07	2.077939E+07	2.985536E+07	1.657566E+07	1.257775E+07	1.355920E+07	1.112079E+07	3.492162E+07	1.779953E+07	3.104577E+07	1.262028E+07	1.512069E+07	2.405738E+07	3.412283E+07	2.563690E+07	4.010216E+07	3.398830E+07	3.776678E+07	4.218755E+07	3.009811E+07	3.497972E+07	4.309788E+07	3.803017E+07	1.544734E+07	1.668694E+08	6.563522E+07	1.587888E+07	3.289543E+07	1.700887E+07	2.848164E+07	1.389722E+07	9.765114E+06	2.649665E+07	2.720530E+07	2.531173E+07	1.618137E+07	1.553920E+07	2.841140E+07	2.957281E+07	3.819245E+07	3.327896E+07	3.767634E+07	2.048855E+07	2.558487E+07	1.123012E+08	2.727001E+07	4.473117E+07	1.540753E+07	6.408304E+07	4.180185E+07	1.575903E+07	2.005625E+07	3.965939E+07	2.294344E+07	1.910438E+07	2.404101E+07	1.356693E+07	1.857800E+07	2.502712E+07	4.928377E+07	1.954654E+07	7.103850E+07	2.139198E+07	2.992486E+07	1.703586E+07	1.727458E+07	1.483652E+08	9.890600E+06	2.262520E+07	1.539378E+07	6.278247E+07	1.509191E+07	1.378365E+07	3.248394E+07	1.397072E+07	1.605431E+07	8.785247E+07	1.556732E+07	2.924786E+07	
2.232303E-07	3.116461E+07	2.882059E+07	3.404417E+07	4.395665E+07	1.475258E+07	1.993682E+07	2.180596E+07	1.320762E+07	2.996972E+07	5.685196E+07	1.867611E+07	3.404506E+07	4.246044E+07	3.125278E+07	2.292624E+07	2.825500E+07	4.864113E+07	1.831588E+07	2.592397E+07	1.146143E+07	4.207046E+07	3.351569E+07	4.033048E+07	2.045250E+07	2.929748E+07	1.629019E+07	1.238413E+07	1.333442E+07	1.094896E+07	3.425600E+07	1.750358E+07	3.046521E+07	1.242945E+07	1.487194E+07	2.367530E+07	3.347512E+07	2.514863E+07	3.938139E+07	3.334153E+07	3.703372E+07	4.137796E+07	2.952417E+07	3.430636E+07	4.225582E+07	3.730593E+07	1.519399E+07	1.623828E+08	6.432713E+07	1.559182E+07	3.227903E+07	1.672102E+07	2.795047E+07	1.368313E+07	9.606970E+06	2.605266E+07	2.669200E+07	2.481908E+07	1.590926E+07	1.529385E+07	2.787440E+07	2.901006E+07	3.745232E+07	3.266447E+07	3.700075E+07	2.011887E+07	2.510268E+07	1.102675E+08	2.676201E+07	4.384447E+07	1.516269E+07	6.288850E+07	4.094653E+07	1.551598E+07	1.972206E+07	3.890204E+07	2.256778E+07	1.877841E+07	2.359667E+07	1.337842E+07	1.824411E+07	2.456515E+07	4.820950E+07	1.921575E+07	6.948403E+07	2.101095E+07	2.936540E+07	1.676087E+07	1.695897E+07	1.453779E+08	9.736064E+06	2.221109E+07	1.521783E+07	6.159688E+07	1.483778E+07	1.356648E+07	3.186486E+07	1.385736E+07	1.578300E+07	8.625400E+07	1.530384E+07	2.869936E+07	
2.266999E-07	3.057406E+07	2.827977E+07	3.338482E+07	4.307995E+07	1.456002E+07	1.959821E+07	2.141949E+07	1.299391E+07	2.941643E+07	5.575561E+07	1.832918E+07	3.339156E+07	4.162642E+07	3.066302E+07	2.247217E+07	2.772236E+07	4.775810E+07	1.799264E+07	2.544327E+07	1.127810E+07	4.123777E+07	3.287102E+07	3.955943E+07	2.013040E+07	2.875001E+07	1.600954E+07	1.219327E+07	1.311326E+07	1.077959E+07	3.360303E+07	1.721236E+07	2.989546E+07	1.224128E+07	1.462713E+07	2.329902E+07	3.283966E+07	2.466962E+07	3.867354E+07	3.270706E+07	3.631488E+07	4.058387E+07	2.896115E+07	3.364590E+07	4.143016E+07	3.659538E+07	1.494470E+07	1.580048E+08	6.304478E+07	1.531001E+07	3.167416E+07	1.643798E+07	2.742890E+07	1.347204E+07	9.451316E+06	2.561573E+07	2.618834E+07	2.433590E+07	1.564161E+07	1.505218E+07	2.734750E+07	2.845797E+07	3.672648E+07	3.206128E+07	3.633721E+07	1.975583E+07	2.462955E+07	1.082703E+08	2.626345E+07	4.297530E+07	1.492156E+07	6.171622E+07	4.010861E+07	1.527645E+07	1.939335E+07	3.815910E+07	2.219762E+07	1.845790E+07	2.316052E+07	1.319208E+07	1.791621E+07	2.411167E+07	4.715845E+07	1.889049E+07	6.795788E+07	2.063668E+07	2.881635E+07	1.649008E+07	1.664909E+07	1.424473E+08	9.583869E+06	2.180463E+07	1.504243E+07	6.043307E+07	1.458787E+07	1.335257E+07	3.125756E+07	1.374340E+07	1.551616E+07	8.468449E+07	1.504473E+07	2.816111E+07	
2.302234E-07	2.999454E+07	2.774909E+07	3.273822E+07	4.222072E+07	1.436928E+07	1.926523E+07	2.103984E+07	1.278359E+07	2.887334E+07	5.468042E+07	1.798866E+07	3.275059E+07	4.080875E+07	3.008436E+07	2.202698E+07	2.719973E+07	4.689114E+07	1.767506E+07	2.497145E+07	1.109757E+07	4.042153E+07	3.223869E+07	3.880297E+07	1.981303E+07	2.821273E+07	1.573362E+07	1.200512E+07	1.289567E+07	1.061266E+07	3.296245E+07	1.692581E+07	2.933634E+07	1.205574E+07	1.438621E+07	2.292844E+07	3.221623E+07	2.419967E+07	3.797836E+07	3.208463E+07	3.560998E+07	3.980496E+07	2.840884E+07	3.299811E+07	4.062056E+07	3.589825E+07	1.469942E+07	1.537329E+08	6.178765E+07	1.503335E+07	3.108058E+07	1.615965E+07	2.691678E+07	1.326392E+07	9.298116E+06	2.518575E+07	2.569416E+07	2.386200E+07	1.537834E+07	1.481413E+07	2.683050E+07	2.791633E+07	3.601465E+07	3.146918E+07	3.568550E+07	1.939933E+07	2.416531E+07	1.063090E+08	2.577416E+07	4.212331E+07	1.468409E+07	6.056577E+07	3.928775E+07	1.504039E+07	1.907004E+07	3.743029E+07	2.183292E+07	1.814276E+07	2.273240E+07	1.300792E+07	1.759419E+07	2.366653E+07	4.613012E+07	1.857065E+07	6.645949E+07	2.026906E+07	2.827754E+07	1.622345E+07	1.634485E+07	1.395723E+08	9.433980E+06	2.140568E+07	1.486766E+07	5.929065E+07	1.434214E+07	1.314186E+07	3.066182E+07	1.362871E+07	1.525373E+07	8.314340E+07	1.478992E+07	2.763292E+07	
2.338017E-07	2.942585E+07	2.722835E+07	3.210410E+07	4.137859E+07	1.418037E+07	1.893779E+07	2.066689E+07	1.257661E+07	2.834027E+07	5.362598E+07	1.765444E+07	3.212189E+07	4.000708E+07	2.951659E+07	2.159051E+07	2.668691E+07	4.603993E+07	1.736305E+07	2.450836E+07	1.091981E+07	3.962140E+07	3.161847E+07	3.806083E+07	1.950033E+07	2.768546E+07	1.546236E+07	1.181967E+07	1.268160E+07	1.044813E+07	3.233404E+07	1.664386E+07	2.878763E+07	1.187280E+07	1.414912E+07	2.256346E+07	3.160458E+07	2.373863E+07	3.729562E+07	3.147404E+07	3.491873E+07	3.904095E+07	2.786703E+07	3.236274E+07	3.982672E+07	3.521428E+07	1.445807E+07	1.495649E+08	6.055523E+07	1.476174E+07	3.049809E+07	1.588596E+07	2.641392E+07	1.305873E+07	9.147333E+06	2.476264E+07	2.520926E+07	2.339721E+07	1.511940E+07	1.457966E+07	2.632323E+07	2.738496E+07	3.531656E+07	3.088797E+07	3.504540E+07	1.904924E+07	2.370978E+07	1.043830E+08	2.529396E+07	4.128816E+07	1.445024E+07	5.943673E+07	3.848357E+07	1.480778E+07	1.875203E+07	3.671536E+07	2.147366E+07	1.783290E+07	2.231217E+07	1.282592E+07	1.727795E+07	2.322957E+07	4.512402E+07	1.825617E+07	6.498832E+07	1.990796E+07	2.774876E+07	1.596093E+07	1.604615E+07	1.367516E+08	9.286365E+06	2.101410E+07	1.469358E+07	5.816921E+07	1.410050E+07	1.293433E+07	3.007741E+07	1.351315E+07	1.499563E+07	8.163020E+07	1.453934E+07	2.711460E+07	
