MMHT2014 NLO Q2 = 4.0 GeV^2
id	chi2	alpha	As	Asbar	Bs	Bsbar
0	6.29	8.50E-01	1.88E+02	2.01E+02	0.00E+00	0.00E+00
1	6.29	8.50E-01	1.87E+02	2.00E+02	0.00E+00	0.00E+00
2	6.29	8.50E-01	1.88E+02	2.01E+02	0.00E+00	0.00E+00
3	6.29	8.50E-01	1.87E+02	2.00E+02	0.00E+00	0.00E+00
4	6.29	8.50E-01	1.88E+02	2.01E+02	0.00E+00	0.00E+00
5	6.29	8.50E-01	1.88E+02	2.01E+02	0.00E+00	0.00E+00
6	6.29	8.50E-01	1.87E+02	2.00E+02	0.00E+00	0.00E+00
7	6.21	8.50E-01	1.89E+02	2.02E+02	0.00E+00	0.00E+00
8	6.42	8.50E-01	1.85E+02	1.98E+02	0.00E+00	0.00E+00
9	6.96	8.92E-01	1.85E+02	1.99E+02	0.00E+00	0.00E+00
10	6.03	8.50E-01	2.00E+02	2.12E+02	0.00E+00	0.00E+00
11	6.07	8.50E-01	2.04E+02	2.16E+02	0.00E+00	0.00E+00
12	8.44	9.50E-01	1.81E+02	1.96E+02	0.00E+00	0.00E+00
13	6.04	8.50E-01	1.96E+02	2.08E+02	0.00E+00	0.00E+00
14	7.03	9.00E-01	1.85E+02	1.99E+02	0.00E+00	0.00E+00
15	6.06	8.50E-01	2.02E+02	2.15E+02	0.00E+00	0.00E+00
16	6.90	8.87E-01	1.85E+02	1.98E+02	0.00E+00	0.00E+00
17	6.71	8.62E-01	1.87E+02	2.01E+02	0.00E+00	0.00E+00
18	6.01	8.50E-01	1.91E+02	2.03E+02	0.00E+00	0.00E+00
19	7.18	8.86E-01	2.01E+02	2.18E+02	0.00E+00	0.00E+00
20	5.86	8.50E-01	1.85E+02	1.96E+02	0.00E+00	0.00E+00
21	6.02	8.50E-01	1.96E+02	2.08E+02	0.00E+00	0.00E+00
22	6.93	8.88E-01	1.86E+02	2.00E+02	0.00E+00	0.00E+00
23	6.03	8.50E-01	1.93E+02	2.06E+02	0.00E+00	0.00E+00
24	6.78	8.72E-01	1.86E+02	2.00E+02	0.00E+00	0.00E+00
25	6.51	8.50E-01	1.86E+02	2.00E+02	0.00E+00	0.00E+00
26	6.09	8.50E-01	1.90E+02	2.02E+02	0.00E+00	0.00E+00
27	6.48	8.50E-01	1.86E+02	1.99E+02	0.00E+00	0.00E+00
28	6.16	8.50E-01	1.89E+02	2.01E+02	0.00E+00	0.00E+00
29	6.03	8.50E-01	1.93E+02	2.05E+02	0.00E+00	0.00E+00
30	6.83	8.77E-01	1.86E+02	2.00E+02	0.00E+00	0.00E+00
31	6.28	8.50E-01	1.84E+02	1.97E+02	0.00E+00	0.00E+00
32	6.30	8.50E-01	1.90E+02	2.03E+02	0.00E+00	0.00E+00
33	6.10	8.50E-01	1.91E+02	2.03E+02	0.00E+00	0.00E+00
34	6.67	8.61E-01	1.85E+02	1.99E+02	0.00E+00	0.00E+00
35	6.26	8.50E-01	1.88E+02	2.01E+02	0.00E+00	0.00E+00
36	6.37	8.50E-01	1.87E+02	2.00E+02	0.00E+00	0.00E+00
37	6.33	8.50E-01	1.87E+02	2.00E+02	0.00E+00	0.00E+00
38	6.26	8.50E-01	1.88E+02	2.01E+02	0.00E+00	0.00E+00
39	7.14	9.02E-01	1.91E+02	2.06E+02	0.00E+00	0.00E+00
40	5.96	8.50E-01	1.93E+02	2.05E+02	0.00E+00	0.00E+00
41	8.80	9.50E-01	1.80E+02	1.93E+02	0.00E+00	0.00E+00
42	8.28	8.50E-01	2.45E+02	2.58E+02	0.00E+00	0.00E+00
43	5.90	8.50E-01	1.79E+02	1.92E+02	0.00E+00	0.00E+00
44	6.97	8.88E-01	1.96E+02	2.09E+02	0.00E+00	0.00E+00
45	5.65	8.50E-01	1.43E+02	1.52E+02	0.00E+00	0.00E+00
46	8.31	8.97E-01	3.55E+02	3.86E+02	0.00E+00	0.00E+00
47	6.32	8.50E-01	1.96E+02	2.10E+02	0.00E+00	0.00E+00
48	6.27	8.50E-01	1.75E+02	1.86E+02	0.00E+00	0.00E+00
49	6.20	8.50E-01	1.85E+02	1.98E+02	0.00E+00	0.00E+00
50	6.34	8.50E-01	1.89E+02	2.02E+02	0.00E+00	0.00E+00
