x	s-sbar	delta
1.0000E-04	-5.3136E-01	2.6969E-01
1.0093E-04	-5.2913E-01	2.6843E-01
1.0186E-04	-5.2691E-01	2.6717E-01
1.0280E-04	-5.2469E-01	2.6592E-01
1.0375E-04	-5.2249E-01	2.6468E-01
1.0471E-04	-5.2030E-01	2.6344E-01
1.0568E-04	-5.1811E-01	2.6221E-01
1.0666E-04	-5.1593E-01	2.6098E-01
1.0765E-04	-5.1377E-01	2.5976E-01
1.0864E-04	-5.1161E-01	2.5854E-01
1.0965E-04	-5.0946E-01	2.5733E-01
1.1066E-04	-5.0732E-01	2.5613E-01
1.1169E-04	-5.0519E-01	2.5493E-01
1.1272E-04	-5.0306E-01	2.5373E-01
1.1376E-04	-5.0095E-01	2.5254E-01
1.1482E-04	-4.9885E-01	2.5136E-01
1.1588E-04	-4.9675E-01	2.5018E-01
1.1695E-04	-4.9466E-01	2.4901E-01
1.1803E-04	-4.9259E-01	2.4785E-01
1.1912E-04	-4.9052E-01	2.4669E-01
1.2023E-04	-4.8846E-01	2.4553E-01
1.2134E-04	-4.8641E-01	2.4438E-01
1.2246E-04	-4.8436E-01	2.4324E-01
1.2359E-04	-4.8233E-01	2.4210E-01
1.2474E-04	-4.8030E-01	2.4096E-01
1.2589E-04	-4.7828E-01	2.3983E-01
1.2706E-04	-4.7628E-01	2.3871E-01
1.2823E-04	-4.7428E-01	2.3759E-01
1.2942E-04	-4.7228E-01	2.3648E-01
1.3062E-04	-4.7030E-01	2.3537E-01
1.3183E-04	-4.6832E-01	2.3426E-01
1.3305E-04	-4.6636E-01	2.3317E-01
1.3428E-04	-4.6440E-01	2.3207E-01
1.3552E-04	-4.6245E-01	2.3099E-01
1.3677E-04	-4.6051E-01	2.2990E-01
1.3804E-04	-4.5857E-01	2.2883E-01
1.3932E-04	-4.5665E-01	2.2775E-01
1.4060E-04	-4.5473E-01	2.2668E-01
1.4191E-04	-4.5282E-01	2.2562E-01
1.4322E-04	-4.5092E-01	2.2456E-01
1.4454E-04	-4.4902E-01	2.2351E-01
1.4588E-04	-4.4714E-01	2.2246E-01
1.4723E-04	-4.4526E-01	2.2142E-01
1.4859E-04	-4.4339E-01	2.2038E-01
1.4997E-04	-4.4153E-01	2.1935E-01
1.5136E-04	-4.3967E-01	2.1832E-01
1.5276E-04	-4.3783E-01	2.1729E-01
1.5417E-04	-4.3599E-01	2.1627E-01
1.5560E-04	-4.3416E-01	2.1526E-01
1.5704E-04	-4.3233E-01	2.1425E-01
1.5849E-04	-4.3052E-01	2.1324E-01
1.5996E-04	-4.2871E-01	2.1224E-01
1.6144E-04	-4.2691E-01	2.1125E-01
1.6293E-04	-4.2512E-01	2.1026E-01
1.6444E-04	-4.2333E-01	2.0927E-01
1.6596E-04	-4.2156E-01	2.0829E-01
1.6749E-04	-4.1979E-01	2.0731E-01
1.6904E-04	-4.1802E-01	2.0634E-01
1.7061E-04	-4.1627E-01	2.0537E-01
1.7219E-04	-4.1452E-01	2.0440E-01
1.7378E-04	-4.1278E-01	2.0344E-01
1.7539E-04	-4.1105E-01	2.0249E-01
1.7701E-04	-4.0932E-01	2.0154E-01
1.7865E-04	-4.0760E-01	2.0059E-01
1.8030E-04	-4.0589E-01	1.9965E-01
1.8197E-04	-4.0419E-01	1.9871E-01
1.8365E-04	-4.0249E-01	1.9778E-01
1.8535E-04	-4.0080E-01	1.9685E-01
1.8707E-04	-3.9912E-01	1.9593E-01
1.8880E-04	-3.9744E-01	1.9501E-01
1.9055E-04	-3.9577E-01	1.9409E-01
1.9231E-04	-3.9411E-01	1.9318E-01
1.9409E-04	-3.9246E-01	1.9227E-01
1.9588E-04	-3.9081E-01	1.9137E-01
1.9770E-04	-3.8917E-01	1.9047E-01
1.9953E-04	-3.8754E-01	1.8957E-01
2.0137E-04	-3.8591E-01	1.8868E-01
2.0324E-04	-3.8429E-01	1.8780E-01
2.0512E-04	-3.8268E-01	1.8691E-01
2.0701E-04	-3.8107E-01	1.8603E-01
2.0893E-04	-3.7947E-01	1.8516E-01
2.1086E-04	-3.7788E-01	1.8429E-01
2.1281E-04	-3.7629E-01	1.8342E-01
2.1478E-04	-3.7471E-01	1.8256E-01
2.1677E-04	-3.7314E-01	1.8170E-01
