x	s-sbar	delta
3.2211E-04	-3.6603E-01	1.3436E-01
3.2509E-04	-3.6435E-01	1.3374E-01
3.2810E-04	-3.6269E-01	1.3313E-01
3.3113E-04	-3.6102E-01	1.3252E-01
3.3420E-04	-3.5937E-01	1.3191E-01
3.3729E-04	-3.5772E-01	1.3131E-01
3.4041E-04	-3.5608E-01	1.3071E-01
3.4356E-04	-3.5445E-01	1.3011E-01
3.4674E-04	-3.5283E-01	1.2951E-01
3.4995E-04	-3.5121E-01	1.2892E-01
3.5318E-04	-3.4960E-01	1.2833E-01
3.5645E-04	-3.4800E-01	1.2774E-01
3.5975E-04	-3.4640E-01	1.2716E-01
3.6308E-04	-3.4482E-01	1.2657E-01
3.6644E-04	-3.4324E-01	1.2599E-01
3.6983E-04	-3.4166E-01	1.2542E-01
3.7325E-04	-3.4010E-01	1.2484E-01
3.7670E-04	-3.3854E-01	1.2427E-01
3.8019E-04	-3.3699E-01	1.2370E-01
3.8371E-04	-3.3545E-01	1.2313E-01
3.8726E-04	-3.3391E-01	1.2257E-01
3.9084E-04	-3.3238E-01	1.2201E-01
3.9446E-04	-3.3086E-01	1.2145E-01
3.9811E-04	-3.2934E-01	1.2089E-01
4.0179E-04	-3.2783E-01	1.2034E-01
4.0551E-04	-3.2633E-01	1.1979E-01
4.0926E-04	-3.2484E-01	1.1924E-01
4.1305E-04	-3.2335E-01	1.1869E-01
4.1687E-04	-3.2187E-01	1.1815E-01
4.2073E-04	-3.2039E-01	1.1761E-01
4.2462E-04	-3.1893E-01	1.1707E-01
4.2855E-04	-3.1746E-01	1.1653E-01
4.3251E-04	-3.1601E-01	1.1600E-01
4.3652E-04	-3.1456E-01	1.1547E-01
4.4055E-04	-3.1312E-01	1.1494E-01
4.4463E-04	-3.1169E-01	1.1441E-01
4.4875E-04	-3.1026E-01	1.1389E-01
4.5290E-04	-3.0884E-01	1.1337E-01
4.5709E-04	-3.0742E-01	1.1285E-01
4.6132E-04	-3.0602E-01	1.1233E-01
4.6559E-04	-3.0461E-01	1.1182E-01
4.6989E-04	-3.0322E-01	1.1130E-01
4.7424E-04	-3.0183E-01	1.1079E-01
4.7863E-04	-3.0045E-01	1.1029E-01
4.8306E-04	-2.9907E-01	1.0978E-01
4.8753E-04	-2.9770E-01	1.0928E-01
4.9204E-04	-2.9634E-01	1.0878E-01
4.9659E-04	-2.9498E-01	1.0828E-01
5.0119E-04	-2.9363E-01	1.0778E-01
5.0582E-04	-2.9229E-01	1.0729E-01
5.1050E-04	-2.9095E-01	1.0680E-01
5.1523E-04	-2.8962E-01	1.0631E-01
