Q2	Fs	dFs
0.0000E+00	0.0000E+00	0.0000E+00
1.0000E-02	8.1050E-05	9.9365E-06
2.0000E-02	1.5906E-04	1.9403E-05
3.0000E-02	2.3413E-04	2.8579E-05
4.0000E-02	3.0635E-04	3.7620E-05
5.0000E-02	3.7581E-04	4.6657E-05
6.0000E-02	4.4259E-04	5.5794E-05
7.0000E-02	5.0679E-04	6.5113E-05
8.0000E-02	5.6848E-04	7.4673E-05
9.0000E-02	6.2775E-04	8.4513E-05
1.0000E-01	6.8466E-04	9.4657E-05
1.1000E-01	7.3930E-04	1.0512E-04
1.2000E-01	7.9174E-04	1.1589E-04
1.3000E-01	8.4204E-04	1.2697E-04
1.4000E-01	8.9028E-04	1.3833E-04
1.5000E-01	9.3652E-04	1.4997E-04
1.6000E-01	9.8082E-04	1.6186E-04
1.7000E-01	1.0232E-03	1.7397E-04
1.8000E-01	1.0639E-03	1.8629E-04
1.9000E-01	1.1027E-03	1.9878E-04
2.0000E-01	1.1399E-03	2.1141E-04
2.1000E-01	1.1754E-03	2.2417E-04
2.2000E-01	1.2093E-03	2.3704E-04
2.3000E-01	1.2417E-03	2.4997E-04
2.4000E-01	1.2726E-03	2.6296E-04
2.5000E-01	1.3020E-03	2.7599E-04
2.6000E-01	1.3300E-03	2.8902E-04
2.7000E-01	1.3567E-03	3.0205E-04
2.8000E-01	1.3821E-03	3.1506E-04
2.9000E-01	1.4062E-03	3.2802E-04
3.0000E-01	1.4291E-03	3.4093E-04
3.1000E-01	1.4508E-03	3.5376E-04
3.2000E-01	1.4713E-03	3.6651E-04
3.3000E-01	1.4908E-03	3.7917E-04
3.4000E-01	1.5091E-03	3.9171E-04
3.5000E-01	1.5265E-03	4.0414E-04
3.6000E-01	1.5428E-03	4.1644E-04
3.7000E-01	1.5582E-03	4.2860E-04
3.8000E-01	1.5726E-03	4.4062E-04
3.9000E-01	1.5861E-03	4.5248E-04
4.0000E-01	1.5987E-03	4.6418E-04
4.1000E-01	1.6105E-03	4.7572E-04
4.2000E-01	1.6215E-03	4.8709E-04
4.3000E-01	1.6316E-03	4.9829E-04
4.4000E-01	1.6410E-03	5.0930E-04
4.5000E-01	1.6497E-03	5.2013E-04
4.6000E-01	1.6577E-03	5.3078E-04
4.7000E-01	1.6649E-03	5.4123E-04
4.8000E-01	1.6715E-03	5.5150E-04
4.9000E-01	1.6775E-03	5.6157E-04
5.0000E-01	1.6828E-03	5.7145E-04
5.1000E-01	1.6875E-03	5.8113E-04
5.2000E-01	1.6917E-03	5.9061E-04
5.3000E-01	1.6953E-03	5.9990E-04
5.4000E-01	1.6983E-03	6.0899E-04
5.5000E-01	1.7009E-03	6.1788E-04
5.6000E-01	1.7029E-03	6.2657E-04
5.7000E-01	1.7045E-03	6.3506E-04
5.8000E-01	1.7055E-03	6.4336E-04
5.9000E-01	1.7062E-03	6.5146E-04
6.0000E-01	1.7064E-03	6.5937E-04
6.1000E-01	1.7061E-03	6.6708E-04
6.2000E-01	1.7055E-03	6.7459E-04
6.3000E-01	1.7045E-03	6.8192E-04
6.4000E-01	1.7031E-03	6.8905E-04
6.5000E-01	1.7014E-03	6.9600E-04
6.6000E-01	1.6993E-03	7.0276E-04
6.7000E-01	1.6969E-03	7.0933E-04
6.8000E-01	1.6941E-03	7.1572E-04
6.9000E-01	1.6911E-03	7.2193E-04
7.0000E-01	1.6877E-03	7.2796E-04
7.1000E-01	1.6841E-03	7.3381E-04
7.2000E-01	1.6802E-03	7.3948E-04
7.3000E-01	1.6760E-03	7.4498E-04
7.4000E-01	1.6716E-03	7.5032E-04
7.5000E-01	1.6670E-03	7.5548E-04
7.6000E-01	1.6621E-03	7.6047E-04
7.7000E-01	1.6570E-03	7.6530E-04
7.8000E-01	1.6516E-03	7.6997E-04
7.9000E-01	1.6461E-03	7.7448E-04
8.0000E-01	1.6404E-03	7.7883E-04
8.1000E-01	1.6345E-03	7.8303E-04
8.2000E-01	1.6284E-03	7.8708E-04
8.3000E-01	1.6221E-03	7.9097E-04
8.4000E-01	1.6157E-03	7.9472E-04
8.5000E-01	1.6091E-03	7.9832E-04
8.6000E-01	1.6024E-03	8.0178E-04
8.7000E-01	1.5955E-03	8.0510E-04
8.8000E-01	1.5885E-03	8.0828E-04
8.9000E-01	1.5814E-03	8.1132E-04
9.0000E-01	1.5741E-03	8.1423E-04
9.1000E-01	1.5668E-03	8.1701E-04
9.2000E-01	1.5593E-03	8.1966E-04
9.3000E-01	1.5517E-03	8.2218E-04
9.4000E-01	1.5440E-03	8.2458E-04
9.5000E-01	1.5363E-03	8.2684E-04
9.6000E-01	1.5284E-03	8.2900E-04
9.7000E-01	1.5205E-03	8.3104E-04
9.8000E-01	1.5125E-03	8.3298E-04
9.9000E-01	1.5044E-03	8.3479E-04
