x	s-sbar	delta
1.0000E-04	-1.3845E-01	2.0965E-01
1.0093E-04	-1.3884E-01	2.0979E-01
1.0186E-04	-1.3923E-01	2.0992E-01
1.0280E-04	-1.3961E-01	2.1005E-01
1.0375E-04	-1.4000E-01	2.1018E-01
1.0471E-04	-1.4039E-01	2.1030E-01
1.0568E-04	-1.4078E-01	2.1043E-01
1.0666E-04	-1.4117E-01	2.1056E-01
1.0765E-04	-1.4156E-01	2.1068E-01
1.0864E-04	-1.4195E-01	2.1081E-01
1.0965E-04	-1.4235E-01	2.1093E-01
1.1066E-04	-1.4274E-01	2.1105E-01
1.1169E-04	-1.4313E-01	2.1118E-01
1.1272E-04	-1.4353E-01	2.1130E-01
1.1376E-04	-1.4392E-01	2.1142E-01
1.1482E-04	-1.4431E-01	2.1154E-01
1.1588E-04	-1.4471E-01	2.1166E-01
1.1695E-04	-1.4510E-01	2.1177E-01
1.1803E-04	-1.4550E-01	2.1189E-01
1.1912E-04	-1.4590E-01	2.1201E-01
1.2023E-04	-1.4629E-01	2.1212E-01
1.2134E-04	-1.4669E-01	2.1223E-01
1.2246E-04	-1.4709E-01	2.1235E-01
1.2359E-04	-1.4749E-01	2.1246E-01
1.2474E-04	-1.4788E-01	2.1257E-01
1.2589E-04	-1.4828E-01	2.1268E-01
1.2706E-04	-1.4868E-01	2.1279E-01
1.2823E-04	-1.4908E-01	2.1290E-01
1.2942E-04	-1.4948E-01	2.1300E-01
1.3062E-04	-1.4988E-01	2.1311E-01
1.3183E-04	-1.5029E-01	2.1322E-01
1.3305E-04	-1.5069E-01	2.1332E-01
1.3428E-04	-1.5109E-01	2.1342E-01
1.3552E-04	-1.5149E-01	2.1352E-01
1.3677E-04	-1.5189E-01	2.1363E-01
1.3804E-04	-1.5230E-01	2.1373E-01
1.3932E-04	-1.5270E-01	2.1382E-01
1.4060E-04	-1.5311E-01	2.1392E-01
1.4191E-04	-1.5351E-01	2.1402E-01
1.4322E-04	-1.5392E-01	2.1412E-01
1.4454E-04	-1.5432E-01	2.1421E-01
1.4588E-04	-1.5473E-01	2.1430E-01
1.4723E-04	-1.5513E-01	2.1440E-01
1.4859E-04	-1.5554E-01	2.1449E-01
1.4997E-04	-1.5595E-01	2.1458E-01
1.5136E-04	-1.5635E-01	2.1467E-01
1.5276E-04	-1.5676E-01	2.1476E-01
1.5417E-04	-1.5717E-01	2.1484E-01
1.5560E-04	-1.5758E-01	2.1493E-01
1.5704E-04	-1.5798E-01	2.1502E-01
1.5849E-04	-1.5839E-01	2.1510E-01
1.5996E-04	-1.5880E-01	2.1518E-01
1.6144E-04	-1.5921E-01	2.1526E-01
1.6293E-04	-1.5962E-01	2.1535E-01
1.6444E-04	-1.6003E-01	2.1543E-01
1.6596E-04	-1.6044E-01	2.1550E-01
1.6749E-04	-1.6085E-01	2.1558E-01
1.6904E-04	-1.6126E-01	2.1566E-01
1.7061E-04	-1.6167E-01	2.1573E-01
1.7219E-04	-1.6209E-01	2.1581E-01
1.7378E-04	-1.6250E-01	2.1588E-01
1.7539E-04	-1.6291E-01	2.1595E-01
1.7701E-04	-1.6332E-01	2.1602E-01
1.7865E-04	-1.6373E-01	2.1609E-01
1.8030E-04	-1.6415E-01	2.1616E-01
1.8197E-04	-1.6456E-01	2.1622E-01
1.8365E-04	-1.6497E-01	2.1629E-01
1.8535E-04	-1.6539E-01	2.1635E-01
1.8707E-04	-1.6580E-01	2.1642E-01
1.8880E-04	-1.6621E-01	2.1648E-01
1.9055E-04	-1.6663E-01	2.1654E-01
1.9231E-04	-1.6704E-01	2.1660E-01
1.9409E-04	-1.6746E-01	2.1666E-01
1.9588E-04	-1.6787E-01	2.1671E-01
1.9770E-04	-1.6829E-01	2.1677E-01
1.9953E-04	-1.6870E-01	2.1682E-01
2.0137E-04	-1.6912E-01	2.1688E-01
