x	s-sbar	delta
3.2211E-04	-6.2038E-02	1.1460E-01
3.2509E-04	-6.1785E-02	1.1412E-01
3.2810E-04	-6.1532E-02	1.1365E-01
3.3113E-04	-6.1281E-02	1.1317E-01
3.3420E-04	-6.1031E-02	1.1270E-01
3.3729E-04	-6.0782E-02	1.1224E-01
3.4041E-04	-6.0534E-02	1.1177E-01
3.4356E-04	-6.0287E-02	1.1131E-01
3.4674E-04	-6.0041E-02	1.1084E-01
3.4995E-04	-5.9795E-02	1.1038E-01
3.5318E-04	-5.9551E-02	1.0992E-01
3.5645E-04	-5.9308E-02	1.0947E-01
3.5975E-04	-5.9066E-02	1.0901E-01
3.6308E-04	-5.8825E-02	1.0856E-01
3.6644E-04	-5.8585E-02	1.0811E-01
3.6983E-04	-5.8346E-02	1.0766E-01
3.7325E-04	-5.8108E-02	1.0721E-01
3.7670E-04	-5.7871E-02	1.0677E-01
3.8019E-04	-5.7634E-02	1.0632E-01
3.8371E-04	-5.7399E-02	1.0588E-01
3.8726E-04	-5.7165E-02	1.0544E-01
3.9084E-04	-5.6931E-02	1.0500E-01
3.9446E-04	-5.6699E-02	1.0457E-01
3.9811E-04	-5.6468E-02	1.0413E-01
4.0179E-04	-5.6237E-02	1.0370E-01
4.0551E-04	-5.6008E-02	1.0327E-01
4.0926E-04	-5.5779E-02	1.0284E-01
4.1305E-04	-5.5552E-02	1.0242E-01
4.1687E-04	-5.5325E-02	1.0199E-01
4.2073E-04	-5.5099E-02	1.0157E-01
4.2462E-04	-5.4874E-02	1.0115E-01
4.2855E-04	-5.4650E-02	1.0073E-01
4.3251E-04	-5.4427E-02	1.0031E-01
4.3652E-04	-5.4205E-02	9.9893E-02
4.4055E-04	-5.3984E-02	9.9478E-02
4.4463E-04	-5.3764E-02	9.9065E-02
4.4875E-04	-5.3544E-02	9.8654E-02
4.5290E-04	-5.3326E-02	9.8245E-02
4.5709E-04	-5.3108E-02	9.7837E-02
4.6132E-04	-5.2892E-02	9.7432E-02
4.6559E-04	-5.2676E-02	9.7027E-02
