x	s-sbar	delta
3.2211E-04	-4.0754E-29	1.4175E-16
3.2509E-04	-5.3334E-29	1.6452E-16
3.2810E-04	-6.9691E-29	1.9085E-16
3.3113E-04	-9.0936E-29	2.2129E-16
3.3420E-04	-1.1851E-28	2.5648E-16
3.3729E-04	-1.5427E-28	2.9714E-16
3.4041E-04	-2.0062E-28	3.4412E-16
3.4356E-04	-2.6070E-28	3.9839E-16
3.4674E-04	-3.3855E-28	4.6109E-16
3.4995E-04	-4.3948E-28	5.3350E-16
3.5318E-04	-5.7035E-28	6.1715E-16
3.5645E-04	-7.4018E-28	7.1375E-16
3.5975E-04	-9.6075E-28	8.2530E-16
3.6308E-04	-1.2475E-27	9.5413E-16
3.6644E-04	-1.6209E-27	1.1029E-15
3.6983E-04	-2.1076E-27	1.2747E-15
3.7325E-04	-2.7431E-27	1.4730E-15
3.7670E-04	-3.5744E-27	1.7020E-15
3.8019E-04	-4.6637E-27	1.9664E-15
3.8371E-04	-6.0937E-27	2.2716E-15
3.8726E-04	-7.9745E-27	2.6239E-15
3.9084E-04	-1.0453E-26	3.0305E-15
3.9446E-04	-1.3723E-26	3.4997E-15
3.9811E-04	-1.8048E-26	4.0410E-15
4.0179E-04	-2.3774E-26	4.6655E-15
4.0551E-04	-3.1366E-26	5.3856E-15
4.0926E-04	-4.1444E-26	6.2159E-15
4.1305E-04	-5.4835E-26	7.1730E-15
4.1687E-04	-7.2642E-26	8.2759E-15
4.2073E-04	-9.6335E-26	9.5463E-15
4.2462E-04	-1.2787E-25	1.1009E-14
4.2855E-04	-1.6984E-25	1.2693E-14
4.3251E-04	-2.2570E-25	1.4630E-14
4.3652E-04	-3.0003E-25	1.6859E-14
4.4055E-04	-3.9887E-25	1.9420E-14
4.4463E-04	-5.3022E-25	2.2362E-14
4.4875E-04	-7.0464E-25	2.5741E-14
4.5290E-04	-9.3599E-25	2.9620E-14
4.5709E-04	-1.2425E-24	3.4068E-14
4.6132E-04	-1.6481E-24	3.9167E-14
4.6559E-04	-2.1840E-24	4.5009E-14
4.6989E-04	-2.8912E-24	5.1698E-14
4.7424E-04	-3.8226E-24	5.9351E-14
4.7863E-04	-5.0476E-24	6.8101E-14
4.8306E-04	-6.6557E-24	7.8099E-14
4.8753E-04	-8.7629E-24	8.9516E-14
4.9204E-04	-1.1519E-23	1.0254E-13
4.9659E-04	-1.5117E-23	1.1740E-13
5.0119E-04	-1.9806E-23	1.3432E-13
5.0582E-04	-2.5902E-23	1.5359E-13
5.1050E-04	-3.3814E-23	1.7551E-13
5.1523E-04	-4.4061E-23	2.0044E-13
5.2000E-04	-5.7306E-23	2.2875E-13
5.2481E-04	-7.4390E-23	2.6089E-13
5.2966E-04	-9.6382E-23	2.9735E-13
5.3456E-04	-1.2463E-22	3.3868E-13
5.3951E-04	-1.6085E-22	3.8549E-13
5.4450E-04	-2.0719E-22	4.3846E-13
5.4954E-04	-2.6635E-22	4.9837E-13
5.5463E-04	-3.4172E-22	5.6608E-13
5.5976E-04	-4.3758E-22	6.4253E-13
5.6494E-04	-5.5921E-22	7.2881E-13
5.7016E-04	-7.1327E-22	8.2609E-13
5.7544E-04	-9.0799E-22	9.3570E-13
5.8076E-04	-1.1536E-21	1.0591E-12
5.8614E-04	-1.4629E-21	1.1980E-12
5.9156E-04	-1.8516E-21	1.3541E-12
5.9704E-04	-2.3391E-21	1.5295E-12
6.0256E-04	-2.9495E-21	1.7265E-12
6.0814E-04	-3.7122E-21	1.9475E-12
6.1376E-04	-4.6635E-21	2.1952E-12
6.1944E-04	-5.8480E-21	2.4729E-12
6.2517E-04	-7.3202E-21	2.7838E-12
6.3096E-04	-9.1469E-21	3.1316E-12
6.3680E-04	-1.1409E-20	3.5207E-12
6.4269E-04	-1.4207E-20	3.9059E-12
6.4863E-04	-1.7661E-20	4.3839E-12
6.5464E-04	-2.1918E-20	4.9140E-12
6.6069E-04	-2.7157E-20	5.5053E-12
6.6681E-04	-3.3594E-20	6.1646E-12
6.7298E-04	-4.1491E-20	6.8994E-12
6.7920E-04	-5.1166E-20	7.7178E-12
6.8549E-04	-6.3001E-20	8.6289E-12
6.9183E-04	-7.7458E-20	9.6427E-12
6.9823E-04	-9.5097E-20	1.0770E-11
7.0469E-04	-1.1659E-19	1.2024E-11
7.1121E-04	-1.4274E-19	1.3416E-11
7.1779E-04	-1.7452E-19	1.4962E-11
7.2444E-04	-2.1310E-19	1.6679E-11
7.3114E-04	-2.5987E-19	1.8583E-11
7.3790E-04	-3.1653E-19	2.0694E-11
7.4473E-04	-3.8508E-19	2.3034E-11
7.5162E-04	-4.6793E-19	2.5626E-11
7.5858E-04	-5.6798E-19	2.8496E-11
7.6560E-04	-6.8867E-19	3.1673E-11
7.7268E-04	-8.3414E-19	3.5187E-11
7.7983E-04	-1.0093E-18	3.9072E-11
7.8705E-04	-1.2201E-18	4.3365E-11
7.9433E-04	-1.4736E-18	4.8107E-11
8.0168E-04	-1.7782E-18	5.3343E-11
8.0910E-04	-2.1438E-18	5.9122E-11
8.1658E-04	-2.5825E-18	6.5496E-11
8.2414E-04	-3.1086E-18	7.2523E-11
8.3176E-04	-3.7389E-18	8.0267E-11
8.3946E-04	-4.4939E-18	8.8798E-11
8.4723E-04	-5.3976E-18	9.8191E-11
8.5507E-04	-6.4787E-18	1.0853E-10
8.6298E-04	-7.7714E-18	1.1990E-10
8.7096E-04	-9.3163E-18	1.3240E-10
8.7902E-04	-1.1162E-17	1.4614E-10
8.8716E-04	-1.3365E-17	1.6124E-10
8.9536E-04	-1.5995E-17	1.7781E-10
9.0365E-04	-1.9131E-17	1.9600E-10
9.1201E-04	-2.2871E-17	2.1596E-10
9.2045E-04	-2.7328E-17	2.3785E-10
9.2897E-04	-3.2637E-17	2.6184E-10
9.3756E-04	-3.8959E-17	2.8812E-10
9.4624E-04	-4.6483E-17	3.1691E-10
9.5499E-04	-5.5432E-17	3.4842E-10
9.6383E-04	-6.6073E-17	3.8290E-10
9.7275E-04	-7.8718E-17	4.2062E-10
9.8175E-04	-9.3739E-17	4.6185E-10
9.9083E-04	-1.1157E-16	5.0692E-10
1.0000E-03	-1.3273E-16	5.5614E-10
1.0093E-03	-1.5782E-16	6.0989E-10
1.0186E-03	-1.8756E-16	6.6856E-10
1.0280E-03	-2.2278E-16	7.3257E-10
1.0375E-03	-2.6449E-16	8.0237E-10
1.0471E-03	-3.1382E-16	8.7847E-10
1.0568E-03	-3.7216E-16	9.6139E-10
1.0666E-03	-4.4109E-16	1.0517E-09
1.0765E-03	-5.2248E-16	1.1500E-09
1.0864E-03	-6.1853E-16	1.2571E-09
1.0965E-03	-7.3179E-16	1.3735E-09
1.1066E-03	-8.6526E-16	1.5001E-09
1.1169E-03	-1.0224E-15	1.6377E-09
1.1272E-03	-1.2073E-15	1.7873E-09
1.1376E-03	-1.4248E-15	1.9497E-09
1.1482E-03	-1.6803E-15	2.1261E-09
1.1588E-03	-1.9802E-15	2.3175E-09
1.1695E-03	-2.3321E-15	2.5252E-09
1.1803E-03	-2.7446E-15	2.7504E-09
1.1912E-03	-3.2277E-15	2.9946E-09
1.2023E-03	-3.7932E-15	3.2591E-09
1.2134E-03	-4.4545E-15	3.5457E-09
1.2246E-03	-5.2273E-15	3.8560E-09
1.2359E-03	-6.1296E-15	4.1919E-09
1.2474E-03	-7.1823E-15	4.5554E-09
1.2589E-03	-8.4095E-15	4.9485E-09
1.2706E-03	-9.8389E-15	5.3735E-09
1.2823E-03	-1.1503E-14	5.8328E-09
1.2942E-03	-1.3437E-14	6.3291E-09
1.3062E-03	-1.5686E-14	6.8650E-09
1.3183E-03	-1.8296E-14	7.4437E-09
1.3305E-03	-2.1325E-14	8.0681E-09
1.3428E-03	-2.4836E-14	8.7418E-09
1.3552E-03	-2.8903E-14	9.4682E-09
1.3677E-03	-3.3611E-14	1.0251E-08
1.3804E-03	-3.9056E-14	1.1095E-08
1.3932E-03	-4.5349E-14	1.2004E-08
1.4060E-03	-5.2615E-14	1.2984E-08
1.4191E-03	-6.1001E-14	1.4037E-08
1.4322E-03	-7.0670E-14	1.5172E-08
1.4454E-03	-8.1811E-14	1.6392E-08
1.4588E-03	-9.4639E-14	1.7704E-08
1.4723E-03	-1.0940E-13	1.9114E-08
1.4859E-03	-1.2637E-13	2.0629E-08
1.4997E-03	-1.4586E-13	2.2257E-08
1.5136E-03	-1.6825E-13	2.4006E-08
1.5276E-03	-1.9392E-13	2.5883E-08
1.5417E-03	-2.2337E-13	2.7897E-08
1.5560E-03	-2.5710E-13	3.0057E-08
1.5704E-03	-2.9572E-13	3.2374E-08
1.5849E-03	-3.3990E-13	3.4859E-08
1.5996E-03	-3.9042E-13	3.7521E-08
1.6144E-03	-4.4815E-13	4.0373E-08
1.6293E-03	-5.1408E-13	4.3427E-08
1.6444E-03	-5.8930E-13	4.6698E-08
1.6596E-03	-6.7509E-13	5.0198E-08
1.6749E-03	-7.7287E-13	5.3943E-08
1.6904E-03	-8.8424E-13	5.7948E-08
1.7061E-03	-1.0110E-12	6.2231E-08
1.7219E-03	-1.1552E-12	6.6809E-08
1.7378E-03	-1.3191E-12	7.1701E-08
1.7539E-03	-1.5054E-12	7.6926E-08
1.7701E-03	-1.7169E-12	8.2506E-08
1.7865E-03	-1.9569E-12	8.8463E-08
1.8030E-03	-2.2291E-12	9.4820E-08
1.8197E-03	-2.5377E-12	1.0160E-07
1.8365E-03	-2.8872E-12	1.0884E-07
1.8535E-03	-3.2829E-12	1.1655E-07
1.8707E-03	-3.7306E-12	1.2477E-07
1.8880E-03	-4.2369E-12	1.3353E-07
1.9055E-03	-4.8091E-12	1.4286E-07
1.9231E-03	-5.4554E-12	1.5279E-07
1.9409E-03	-6.1645E-12	1.6337E-07
1.9588E-03	-6.9864E-12	1.7463E-07
1.9770E-03	-7.9132E-12	1.8660E-07
1.9953E-03	-8.9580E-12	1.9934E-07
2.0137E-03	-1.0135E-11	2.1289E-07
2.0324E-03	-1.1460E-11	2.2728E-07
2.0512E-03	-1.2951E-11	2.4258E-07
2.0701E-03	-1.4628E-11	2.5884E-07
2.0893E-03	-1.6512E-11	2.7610E-07
2.1086E-03	-1.8630E-11	2.9442E-07
2.1281E-03	-2.1007E-11	3.1388E-07
2.1478E-03	-2.3674E-11	3.3452E-07
2.1677E-03	-2.6665E-11	3.5642E-07
2.1878E-03	-3.0018E-11	3.7964E-07
2.2080E-03	-3.3775E-11	4.0426E-07
2.2284E-03	-3.7981E-11	4.3035E-07
2.2491E-03	-4.2687E-11	4.5800E-07
2.2699E-03	-4.7952E-11	4.8729E-07
2.2909E-03	-5.3836E-11	5.1830E-07
2.3121E-03	-6.0412E-11	5.5114E-07
2.3335E-03	-6.7754E-11	5.8590E-07
2.3550E-03	-7.5949E-11	6.2267E-07
2.3768E-03	-8.5090E-11	6.6158E-07
2.3988E-03	-9.5282E-11	7.0272E-07
2.4210E-03	-1.0664E-10	7.4621E-07
2.4434E-03	-1.1929E-10	7.9219E-07
2.4660E-03	-1.3337E-10	8.4077E-07
2.4889E-03	-1.4904E-10	8.9209E-07
2.5119E-03	-1.6646E-10	9.4629E-07
2.5351E-03	-1.8583E-10	1.0035E-06
2.5586E-03	-2.0734E-10	1.0639E-06
2.5823E-03	-2.3123E-10	1.1277E-06
2.6062E-03	-2.5775E-10	1.1949E-06
2.6303E-03	-2.8716E-10	1.2658E-06
2.6546E-03	-3.1977E-10	1.3406E-06
2.6792E-03	-3.5590E-10	1.4195E-06
2.7040E-03	-3.9593E-10	1.5026E-06
2.7290E-03	-4.4024E-10	1.5901E-06
