NNPDF3.0 NLO Q2 = 4.0 GeV^2
id	chi2	alpha	As	Asbar	Bs	Bsbar
76	4.63	8.50E-01	1.21E+02	1.32E+02	0.00E+00	0.00E+00
77	6.06	8.50E-01	6.88E+01	7.63E+01	0.00E+00	0.00E+00
78	23.63	9.50E-01	1.34E+02	1.63E+02	0.00E+00	0.00E+00
79	4.54	8.50E-01	7.49E+01	8.19E+01	0.00E+00	0.00E+00
80	1481.66	9.50E-01	1.36E+02	2.01E+02	0.00E+00	0.00E+00
81	4.33	8.50E-01	7.94E+01	8.67E+01	0.00E+00	0.00E+00
82	6.90	8.50E-01	6.06E+00	1.04E+00	0.00E+00	0.00E+00
83	5.03	8.50E-01	9.34E+01	1.03E+02	0.00E+00	0.00E+00
84	12.43	9.50E-01	1.39E+02	1.62E+02	0.00E+00	0.00E+00
85	18.37	9.50E-01	2.73E+02	2.97E+02	0.00E+00	0.00E+00
86	13.11	9.50E-01	2.23E+02	2.26E+02	0.00E+00	0.00E+00
87	5.08	8.67E-01	1.35E+02	1.43E+02	0.00E+00	0.00E+00
88	6.45	8.50E-01	2.08E+02	2.26E+02	0.00E+00	0.00E+00
89	19.25	9.50E-01	1.90E+02	2.04E+02	0.00E+00	0.00E+00
90	4.56	8.50E-01	1.21E+02	1.33E+02	0.00E+00	0.00E+00
91	7.00	9.44E-01	1.51E+02	1.65E+02	0.00E+00	0.00E+00
92	11.85	9.50E-01	2.08E+02	2.27E+02	0.00E+00	0.00E+00
93	4.55	8.50E-01	9.05E+01	1.03E+02	0.00E+00	0.00E+00
94	12.84	9.26E-01	3.11E+02	3.10E+02	0.00E+00	0.00E+00
95	429.07	9.50E-01	8.94E+01	1.16E+02	0.00E+00	0.00E+00
96	27.66	9.50E-01	1.03E+02	1.20E+02	0.00E+00	0.00E+00
97	4.01	9.26E-01	9.10E+01	1.09E+02	0.00E+00	0.00E+00
98	9.41	8.70E-01	2.06E+02	2.21E+02	0.00E+00	0.00E+00
99	8.03	8.50E-01	9.13E+01	1.00E+02	0.00E+00	0.00E+00
100	417.85	9.50E-01	7.42E+02	1.21E+03	0.00E+00	0.00E+00
