Q2	Fs	dFs
1.3200E+00	2.5233E-04	5.1996E-04
1.3300E+00	2.5077E-04	5.1853E-04
1.3400E+00	2.4921E-04	5.1709E-04
1.3500E+00	2.4766E-04	5.1564E-04
1.3600E+00	2.4612E-04	5.1419E-04
1.3700E+00	2.4459E-04	5.1274E-04
1.3800E+00	2.4306E-04	5.1128E-04
1.3900E+00	2.4154E-04	5.0982E-04
1.4000E+00	2.4003E-04	5.0835E-04
1.4100E+00	2.3852E-04	5.0688E-04
1.4200E+00	2.3703E-04	5.0541E-04
1.4300E+00	2.3554E-04	5.0393E-04
1.4400E+00	2.3406E-04	5.0245E-04
1.4500E+00	2.3259E-04	5.0097E-04
1.4600E+00	2.3112E-04	4.9948E-04
1.4700E+00	2.2966E-04	4.9799E-04
1.4800E+00	2.2821E-04	4.9650E-04
1.4900E+00	2.2677E-04	4.9501E-04
1.5000E+00	2.2534E-04	4.9351E-04
1.5100E+00	2.2392E-04	4.9202E-04
1.5200E+00	2.2250E-04	4.9052E-04
1.5300E+00	2.2109E-04	4.8902E-04
1.5400E+00	2.1969E-04	4.8752E-04
1.5500E+00	2.1830E-04	4.8602E-04
1.5600E+00	2.1691E-04	4.8451E-04
1.5700E+00	2.1554E-04	4.8301E-04
1.5800E+00	2.1417E-04	4.8151E-04
1.5900E+00	2.1281E-04	4.8000E-04
1.6000E+00	2.1146E-04	4.7850E-04
1.6100E+00	2.1012E-04	4.7699E-04
1.6200E+00	2.0879E-04	4.7549E-04
1.6300E+00	2.0746E-04	4.7398E-04
1.6400E+00	2.0614E-04	4.7248E-04
1.6500E+00	2.0483E-04	4.7098E-04
1.6600E+00	2.0353E-04	4.6947E-04
1.6700E+00	2.0224E-04	4.6797E-04
1.6800E+00	2.0095E-04	4.6647E-04
1.6900E+00	1.9968E-04	4.6497E-04
1.7000E+00	1.9841E-04	4.6347E-04
1.7100E+00	1.9715E-04	4.6197E-04
1.7200E+00	1.9590E-04	4.6047E-04
1.7300E+00	1.9465E-04	4.5897E-04
1.7400E+00	1.9342E-04	4.5748E-04
1.7500E+00	1.9219E-04	4.5598E-04
1.7600E+00	1.9097E-04	4.5449E-04
1.7700E+00	1.8976E-04	4.5300E-04
1.7800E+00	1.8855E-04	4.5151E-04
1.7900E+00	1.8736E-04	4.5002E-04
1.8000E+00	1.8617E-04	4.4854E-04
1.8100E+00	1.8499E-04	4.4705E-04
1.8200E+00	1.8382E-04	4.4557E-04
1.8300E+00	1.8265E-04	4.4409E-04
1.8400E+00	1.8150E-04	4.4262E-04
1.8500E+00	1.8035E-04	4.4114E-04
1.8600E+00	1.7921E-04	4.3967E-04
1.8700E+00	1.7807E-04	4.3820E-04
1.8800E+00	1.7695E-04	4.3673E-04
1.8900E+00	1.7583E-04	4.3526E-04
1.9000E+00	1.7472E-04	4.3380E-04
1.9100E+00	1.7362E-04	4.3234E-04
1.9200E+00	1.7252E-04	4.3088E-04
1.9300E+00	1.7143E-04	4.2943E-04
1.9400E+00	1.7035E-04	4.2798E-04
1.9500E+00	1.6928E-04	4.2653E-04
1.9600E+00	1.6822E-04	4.2508E-04
1.9700E+00	1.6716E-04	4.2364E-04
1.9800E+00	1.6611E-04	4.2220E-04
1.9900E+00	1.6506E-04	4.2076E-04
2.0000E+00	1.6403E-04	4.1933E-04
2.0100E+00	1.6300E-04	4.1790E-04
2.0200E+00	1.6198E-04	4.1647E-04
2.0300E+00	1.6096E-04	4.1504E-04
2.0400E+00	1.5995E-04	4.1362E-04
2.0500E+00	1.5895E-04	4.1220E-04
2.0600E+00	1.5796E-04	4.1079E-04
2.0700E+00	1.5697E-04	4.0938E-04
2.0800E+00	1.5599E-04	4.0797E-04
2.0900E+00	1.5502E-04	4.0657E-04
2.1000E+00	1.5405E-04	4.0517E-04
2.1100E+00	1.5310E-04	4.0377E-04
2.1200E+00	1.5214E-04	4.0238E-04
2.1300E+00	1.5120E-04	4.0099E-04
2.1400E+00	1.5026E-04	3.9960E-04
2.1500E+00	1.4932E-04	3.9822E-04
2.1600E+00	1.4840E-04	3.9684E-04
2.1700E+00	1.4748E-04	3.9546E-04
2.1800E+00	1.4657E-04	3.9409E-04
2.1900E+00	1.4566E-04	3.9272E-04
2.2000E+00	1.4476E-04	3.9136E-04
2.2100E+00	1.4387E-04	3.9000E-04
