Q2	Fs	dFs
0.0000E+00	0.0000E+00	0.0000E+00
1.0000E-02	8.3641E-05	2.8234E-05
2.0000E-02	1.6373E-04	5.2143E-05
3.0000E-02	2.4043E-04	7.2189E-05
4.0000E-02	3.1386E-04	8.8795E-05
5.0000E-02	3.8418E-04	1.0235E-04
6.0000E-02	4.5150E-04	1.1320E-04
7.0000E-02	5.1595E-04	1.2168E-04
8.0000E-02	5.7764E-04	1.2809E-04
9.0000E-02	6.3670E-04	1.3273E-04
1.0000E-01	6.9322E-04	1.3588E-04
1.1000E-01	7.4731E-04	1.3779E-04
1.2000E-01	7.9907E-04	1.3874E-04
1.3000E-01	8.4859E-04	1.3896E-04
1.4000E-01	8.9596E-04	1.3871E-04
1.5000E-01	9.4126E-04	1.3824E-04
1.6000E-01	9.8457E-04	1.3778E-04
1.7000E-01	1.0260E-03	1.3758E-04
1.8000E-01	1.0656E-03	1.3785E-04
1.9000E-01	1.1034E-03	1.3879E-04
2.0000E-01	1.1395E-03	1.4056E-04
2.1000E-01	1.1740E-03	1.4328E-04
2.2000E-01	1.2069E-03	1.4704E-04
2.3000E-01	1.2384E-03	1.5186E-04
2.4000E-01	1.2684E-03	1.5775E-04
2.5000E-01	1.2970E-03	1.6464E-04
2.6000E-01	1.3242E-03	1.7249E-04
2.7000E-01	1.3502E-03	1.8119E-04
2.8000E-01	1.3749E-03	1.9067E-04
2.9000E-01	1.3985E-03	2.0083E-04
3.0000E-01	1.4209E-03	2.1157E-04
3.1000E-01	1.4422E-03	2.2282E-04
3.2000E-01	1.4624E-03	2.3449E-04
3.3000E-01	1.4816E-03	2.4651E-04
3.4000E-01	1.4999E-03	2.5882E-04
3.5000E-01	1.5171E-03	2.7137E-04
3.6000E-01	1.5335E-03	2.8409E-04
3.7000E-01	1.5490E-03	2.9696E-04
3.8000E-01	1.5636E-03	3.0992E-04
3.9000E-01	1.5775E-03	3.2295E-04
4.0000E-01	1.5905E-03	3.3601E-04
4.1000E-01	1.6028E-03	3.4908E-04
4.2000E-01	1.6144E-03	3.6213E-04
4.3000E-01	1.6252E-03	3.7515E-04
4.4000E-01	1.6354E-03	3.8810E-04
4.5000E-01	1.6450E-03	4.0099E-04
4.6000E-01	1.6539E-03	4.1378E-04
4.7000E-01	1.6622E-03	4.2647E-04
4.8000E-01	1.6699E-03	4.3906E-04
4.9000E-01	1.6771E-03	4.5152E-04
5.0000E-01	1.6837E-03	4.6385E-04
5.1000E-01	1.6898E-03	4.7604E-04
5.2000E-01	1.6954E-03	4.8808E-04
5.3000E-01	1.7005E-03	4.9997E-04
5.4000E-01	1.7051E-03	5.1171E-04
5.5000E-01	1.7093E-03	5.2329E-04
5.6000E-01	1.7131E-03	5.3470E-04
5.7000E-01	1.7165E-03	5.4594E-04
5.8000E-01	1.7194E-03	5.5702E-04
5.9000E-01	1.7220E-03	5.6792E-04
6.0000E-01	1.7242E-03	5.7865E-04
6.1000E-01	1.7260E-03	5.8920E-04
6.2000E-01	1.7275E-03	5.9958E-04
6.3000E-01	1.7286E-03	6.0977E-04
6.4000E-01	1.7295E-03	6.1979E-04
6.5000E-01	1.7300E-03	6.2964E-04
6.6000E-01	1.7302E-03	6.3930E-04
6.7000E-01	1.7302E-03	6.4879E-04
6.8000E-01	1.7298E-03	6.5810E-04
6.9000E-01	1.7292E-03	6.6723E-04
7.0000E-01	1.7284E-03	6.7619E-04
7.1000E-01	1.7273E-03	6.8497E-04
7.2000E-01	1.7259E-03	6.9358E-04
7.3000E-01	1.7244E-03	7.0202E-04
7.4000E-01	1.7226E-03	7.1028E-04
7.5000E-01	1.7206E-03	7.1838E-04
7.6000E-01	1.7184E-03	7.2631E-04
7.7000E-01	1.7160E-03	7.3407E-04
7.8000E-01	1.7134E-03	7.4166E-04
7.9000E-01	1.7106E-03	7.4910E-04
8.0000E-01	1.7077E-03	7.5637E-04
8.1000E-01	1.7046E-03	7.6348E-04
8.2000E-01	1.7013E-03	7.7043E-04
8.3000E-01	1.6979E-03	7.7723E-04
8.4000E-01	1.6944E-03	7.8387E-04
8.5000E-01	1.6907E-03	7.9036E-04
8.6000E-01	1.6868E-03	7.9670E-04
8.7000E-01	1.6829E-03	8.0289E-04
8.8000E-01	1.6788E-03	8.0893E-04
8.9000E-01	1.6745E-03	8.1483E-04
9.0000E-01	1.6702E-03	8.2059E-04
9.1000E-01	1.6658E-03	8.2620E-04
9.2000E-01	1.6612E-03	8.3168E-04
9.3000E-01	1.6566E-03	8.3702E-04
9.4000E-01	1.6518E-03	8.4222E-04
9.5000E-01	1.6470E-03	8.4729E-04
9.6000E-01	1.6421E-03	8.5223E-04
9.7000E-01	1.6371E-03	8.5705E-04
9.8000E-01	1.6320E-03	8.6173E-04
9.9000E-01	1.6268E-03	8.6629E-04
1.0000E+00	1.6216E-03	8.7073E-04
1.0100E+00	1.6163E-03	8.7504E-04
1.0200E+00	1.6109E-03	8.7924E-04
1.0300E+00	1.6054E-03	8.8332E-04
1.0400E+00	1.6000E-03	8.8728E-04
1.0500E+00	1.5944E-03	8.9113E-04
1.0600E+00	1.5888E-03	8.9487E-04
1.0700E+00	1.5831E-03	8.9850E-04
1.0800E+00	1.5774E-03	9.0202E-04
1.0900E+00	1.5717E-03	9.0543E-04
1.1000E+00	1.5659E-03	9.0874E-04
1.1100E+00	1.5600E-03	9.1194E-04
1.1200E+00	1.5541E-03	9.1505E-04
1.1300E+00	1.5482E-03	9.1805E-04
1.1400E+00	1.5423E-03	9.2095E-04
1.1500E+00	1.5363E-03	9.2376E-04
1.1600E+00	1.5303E-03	9.2648E-04
1.1700E+00	1.5242E-03	9.2910E-04
1.1800E+00	1.5182E-03	9.3163E-04
1.1900E+00	1.5121E-03	9.3407E-04
1.2000E+00	1.5060E-03	9.3642E-04
1.2100E+00	1.4999E-03	9.3869E-04
1.2200E+00	1.4937E-03	9.4086E-04
1.2300E+00	1.4875E-03	9.4296E-04
1.2400E+00	1.4814E-03	9.4497E-04
1.2500E+00	1.4752E-03	9.4690E-04
1.2600E+00	1.4690E-03	9.4876E-04
1.2700E+00	1.4627E-03	9.5053E-04
1.2800E+00	1.4565E-03	9.5223E-04
1.2900E+00	1.4503E-03	9.5385E-04
1.3000E+00	1.4440E-03	9.5540E-04
1.3100E+00	1.4378E-03	9.5688E-04
1.3200E+00	1.4315E-03	9.5828E-04
1.3300E+00	1.4253E-03	9.5961E-04
1.3400E+00	1.4190E-03	9.6088E-04
1.3500E+00	1.4128E-03	9.6207E-04
1.3600E+00	1.4065E-03	9.6320E-04
1.3700E+00	1.4002E-03	9.6427E-04
1.3800E+00	1.3940E-03	9.6527E-04
1.3900E+00	1.3877E-03	9.6621E-04
1.4000E+00	1.3815E-03	9.6708E-04
1.4100E+00	1.3752E-03	9.6790E-04
1.4200E+00	1.3690E-03	9.6866E-04
1.4300E+00	1.3628E-03	9.6935E-04
1.4400E+00	1.3565E-03	9.6999E-04
1.4500E+00	1.3503E-03	9.7058E-04
1.4600E+00	1.3441E-03	9.7111E-04
1.4700E+00	1.3379E-03	9.7158E-04
1.4800E+00	1.3317E-03	9.7200E-04
1.4900E+00	1.3256E-03	9.7237E-04
1.5000E+00	1.3194E-03	9.7269E-04
1.5100E+00	1.3132E-03	9.7296E-04
1.5200E+00	1.3071E-03	9.7318E-04
1.5300E+00	1.3010E-03	9.7335E-04
1.5400E+00	1.2949E-03	9.7347E-04
1.5500E+00	1.2888E-03	9.7355E-04
1.5600E+00	1.2827E-03	9.7358E-04
1.5700E+00	1.2766E-03	9.7356E-04
1.5800E+00	1.2706E-03	9.7350E-04
1.5900E+00	1.2645E-03	9.7340E-04
1.6000E+00	1.2585E-03	9.7326E-04
1.6100E+00	1.2525E-03	9.7307E-04
1.6200E+00	1.2465E-03	9.7284E-04
1.6300E+00	1.2405E-03	9.7258E-04
1.6400E+00	1.2346E-03	9.7227E-04
1.6500E+00	1.2287E-03	9.7193E-04
1.6600E+00	1.2228E-03	9.7155E-04
1.6700E+00	1.2169E-03	9.7113E-04
1.6800E+00	1.2110E-03	9.7067E-04
1.6900E+00	1.2051E-03	9.7018E-04
1.7000E+00	1.1993E-03	9.6966E-04
1.7100E+00	1.1935E-03	9.6910E-04
1.7200E+00	1.1877E-03	9.6851E-04
1.7300E+00	1.1819E-03	9.6788E-04
1.7400E+00	1.1762E-03	9.6722E-04
1.7500E+00	1.1704E-03	9.6653E-04
1.7600E+00	1.1647E-03	9.6581E-04
1.7700E+00	1.1591E-03	9.6506E-04
1.7800E+00	1.1534E-03	9.6428E-04
1.7900E+00	1.1477E-03	9.6348E-04
1.8000E+00	1.1421E-03	9.6264E-04
1.8100E+00	1.1365E-03	9.6177E-04
