Q2	Fs	dFs
0.0000E+00	0.0000E+00	0.0000E+00
1.0000E-02	8.1686E-05	2.3369E-05
2.0000E-02	1.6019E-04	4.3411E-05
3.0000E-02	2.3562E-04	6.0426E-05
4.0000E-02	3.0808E-04	7.4697E-05
5.0000E-02	3.7769E-04	8.6500E-05
6.0000E-02	4.4454E-04	9.6096E-05
7.0000E-02	5.0872E-04	1.0374E-04
8.0000E-02	5.7033E-04	1.0968E-04
9.0000E-02	6.2947E-04	1.1418E-04
1.0000E-01	6.8621E-04	1.1746E-04
1.1000E-01	7.4063E-04	1.1979E-04
1.2000E-01	7.9283E-04	1.2142E-04
1.3000E-01	8.4287E-04	1.2261E-04
1.4000E-01	8.9083E-04	1.2361E-04
1.5000E-01	9.3679E-04	1.2467E-04
1.6000E-01	9.8080E-04	1.2606E-04
1.7000E-01	1.0229E-03	1.2798E-04
1.8000E-01	1.0633E-03	1.3066E-04
1.9000E-01	1.1019E-03	1.3423E-04
2.0000E-01	1.1388E-03	1.3883E-04
2.1000E-01	1.1740E-03	1.4450E-04
2.2000E-01	1.2077E-03	1.5125E-04
2.3000E-01	1.2399E-03	1.5908E-04
2.4000E-01	1.2706E-03	1.6790E-04
2.5000E-01	1.2999E-03	1.7766E-04
2.6000E-01	1.3279E-03	1.8825E-04
2.7000E-01	1.3545E-03	1.9958E-04
2.8000E-01	1.3798E-03	2.1157E-04
2.9000E-01	1.4039E-03	2.2412E-04
3.0000E-01	1.4268E-03	2.3715E-04
3.1000E-01	1.4485E-03	2.5058E-04
3.2000E-01	1.4692E-03	2.6436E-04
3.3000E-01	1.4888E-03	2.7841E-04
3.4000E-01	1.5073E-03	2.9268E-04
3.5000E-01	1.5248E-03	3.0712E-04
3.6000E-01	1.5414E-03	3.2168E-04
3.7000E-01	1.5570E-03	3.3634E-04
3.8000E-01	1.5717E-03	3.5105E-04
3.9000E-01	1.5856E-03	3.6577E-04
4.0000E-01	1.5986E-03	3.8049E-04
4.1000E-01	1.6108E-03	3.9518E-04
4.2000E-01	1.6222E-03	4.0981E-04
4.3000E-01	1.6328E-03	4.2436E-04
4.4000E-01	1.6428E-03	4.3882E-04
4.5000E-01	1.6520E-03	4.5317E-04
4.6000E-01	1.6605E-03	4.6739E-04
4.7000E-01	1.6684E-03	4.8147E-04
4.8000E-01	1.6756E-03	4.9540E-04
4.9000E-01	1.6822E-03	5.0918E-04
5.0000E-01	1.6883E-03	5.2278E-04
5.1000E-01	1.6937E-03	5.3621E-04
5.2000E-01	1.6986E-03	5.4945E-04
5.3000E-01	1.7030E-03	5.6250E-04
5.4000E-01	1.7068E-03	5.7535E-04
5.5000E-01	1.7102E-03	5.8800E-04
5.6000E-01	1.7131E-03	6.0045E-04
5.7000E-01	1.7155E-03	6.1269E-04
5.8000E-01	1.7175E-03	6.2472E-04
5.9000E-01	1.7190E-03	6.3653E-04
6.0000E-01	1.7202E-03	6.4813E-04
6.1000E-01	1.7209E-03	6.5951E-04
6.2000E-01	1.7212E-03	6.7068E-04
6.3000E-01	1.7212E-03	6.8162E-04
6.4000E-01	1.7208E-03	6.9235E-04
6.5000E-01	1.7201E-03	7.0285E-04
6.6000E-01	1.7191E-03	7.1314E-04
6.7000E-01	1.7177E-03	7.2321E-04
6.8000E-01	1.7160E-03	7.3306E-04
6.9000E-01	1.7140E-03	7.4270E-04
7.0000E-01	1.7118E-03	7.5212E-04
7.1000E-01	1.7092E-03	7.6132E-04
7.2000E-01	1.7064E-03	7.7031E-04
7.3000E-01	1.7034E-03	7.7909E-04
7.4000E-01	1.7001E-03	7.8766E-04
7.5000E-01	1.6965E-03	7.9603E-04
7.6000E-01	1.6928E-03	8.0419E-04
7.7000E-01	1.6888E-03	8.1214E-04
7.8000E-01	1.6846E-03	8.1989E-04
7.9000E-01	1.6802E-03	8.2745E-04
8.0000E-01	1.6757E-03	8.3480E-04
8.1000E-01	1.6709E-03	8.4197E-04
8.2000E-01	1.6660E-03	8.4894E-04
8.3000E-01	1.6609E-03	8.5572E-04
8.4000E-01	1.6556E-03	8.6231E-04
8.5000E-01	1.6502E-03	8.6872E-04
8.6000E-01	1.6446E-03	8.7495E-04
8.7000E-01	1.6389E-03	8.8099E-04
8.8000E-01	1.6331E-03	8.8686E-04
8.9000E-01	1.6271E-03	8.9256E-04
9.0000E-01	1.6210E-03	8.9808E-04
9.1000E-01	1.6148E-03	9.0344E-04
9.2000E-01	1.6085E-03	9.0863E-04
9.3000E-01	1.6020E-03	9.1365E-04
9.4000E-01	1.5955E-03	9.1851E-04
9.5000E-01	1.5889E-03	9.2322E-04
9.6000E-01	1.5822E-03	9.2777E-04
9.7000E-01	1.5753E-03	9.3216E-04
9.8000E-01	1.5684E-03	9.3641E-04
9.9000E-01	1.5615E-03	9.4050E-04
