Q2	Fs	dFs
1.3200E+00	1.6886E-03	4.2064E-15
1.3300E+00	1.6808E-03	4.1871E-15
1.3400E+00	1.6730E-03	4.1677E-15
1.3500E+00	1.6652E-03	4.1482E-15
1.3600E+00	1.6573E-03	4.1288E-15
1.3700E+00	1.6494E-03	4.1093E-15
1.3800E+00	1.6416E-03	4.0898E-15
1.3900E+00	1.6337E-03	4.0703E-15
1.4000E+00	1.6258E-03	4.0506E-15
1.4100E+00	1.6179E-03	4.0311E-15
1.4200E+00	1.6100E-03	4.0115E-15
1.4300E+00	1.6021E-03	3.9919E-15
1.4400E+00	1.5942E-03	3.9723E-15
1.4500E+00	1.5863E-03	3.9526E-15
1.4600E+00	1.5784E-03	3.9331E-15
1.4700E+00	1.5704E-03	3.9135E-15
1.4800E+00	1.5625E-03	3.8939E-15
1.4900E+00	1.5546E-03	3.8743E-15
1.5000E+00	1.5467E-03	3.8546E-15
1.5100E+00	1.5388E-03	3.8352E-15
1.5200E+00	1.5309E-03	3.8157E-15
1.5300E+00	1.5231E-03	3.7961E-15
1.5400E+00	1.5152E-03	3.7766E-15
1.5500E+00	1.5073E-03	3.7571E-15
1.5600E+00	1.4995E-03	3.7377E-15
1.5700E+00	1.4916E-03	3.7182E-15
1.5800E+00	1.4838E-03	3.6988E-15
1.5900E+00	1.4760E-03	3.6794E-15
1.6000E+00	1.4682E-03	3.6601E-15
1.6100E+00	1.4604E-03	3.6409E-15
1.6200E+00	1.4527E-03	3.6216E-15
1.6300E+00	1.4449E-03	3.6024E-15
1.6400E+00	1.4372E-03	3.5833E-15
1.6500E+00	1.4295E-03	3.5641E-15
1.6600E+00	1.4218E-03	3.5450E-15
1.6700E+00	1.4141E-03	3.5260E-15
1.6800E+00	1.4064E-03	3.5070E-15
1.6900E+00	1.3988E-03	3.4881E-15
1.7000E+00	1.3911E-03	3.4693E-15
1.7100E+00	1.3835E-03	3.4504E-15
1.7200E+00	1.3760E-03	3.4316E-15
1.7300E+00	1.3684E-03	3.4129E-15
1.7400E+00	1.3609E-03	3.3943E-15
1.7500E+00	1.3534E-03	3.3756E-15
1.7600E+00	1.3459E-03	3.3571E-15
1.7700E+00	1.3384E-03	3.3385E-15
1.7800E+00	1.3310E-03	3.3202E-15
