Q2	Fs
1.9900E+00	1.5383E-04
2.0000E+00	1.5285E-04
2.0100E+00	1.5187E-04
2.0200E+00	1.5089E-04
2.0300E+00	1.4993E-04
2.0400E+00	1.4897E-04
2.0500E+00	1.4802E-04
2.0600E+00	1.4707E-04
2.0700E+00	1.4613E-04
2.0800E+00	1.4520E-04
2.0900E+00	1.4428E-04
2.1000E+00	1.4336E-04
2.1100E+00	1.4245E-04
2.1200E+00	1.4155E-04
2.1300E+00	1.4065E-04
2.1400E+00	1.3976E-04
2.1500E+00	1.3887E-04
2.1600E+00	1.3799E-04
2.1700E+00	1.3712E-04
2.1800E+00	1.3625E-04
2.1900E+00	1.3540E-04
2.2000E+00	1.3454E-04
2.2100E+00	1.3370E-04
2.2200E+00	1.3285E-04
2.2300E+00	1.3202E-04
2.2400E+00	1.3119E-04
2.2500E+00	1.3037E-04
2.2600E+00	1.2955E-04
2.2700E+00	1.2874E-04
2.2800E+00	1.2794E-04
2.2900E+00	1.2714E-04
2.3000E+00	1.2634E-04
2.3100E+00	1.2556E-04
2.3200E+00	1.2477E-04
2.3300E+00	1.2400E-04
2.3400E+00	1.2323E-04
2.3500E+00	1.2246E-04
2.3600E+00	1.2170E-04
2.3700E+00	1.2095E-04
2.3800E+00	1.2020E-04
2.3900E+00	1.1946E-04
2.4000E+00	1.1872E-04
2.4100E+00	1.1799E-04
2.4200E+00	1.1726E-04
2.4300E+00	1.1654E-04
2.4400E+00	1.1583E-04
2.4500E+00	1.1511E-04
2.4600E+00	1.1441E-04
2.4700E+00	1.1371E-04
2.4800E+00	1.1301E-04
2.4900E+00	1.1232E-04
2.5000E+00	1.1164E-04
2.5100E+00	1.1095E-04
2.5200E+00	1.1028E-04
2.5300E+00	1.0961E-04
2.5400E+00	1.0894E-04
2.5500E+00	1.0828E-04
2.5600E+00	1.0762E-04
2.5700E+00	1.0697E-04
2.5800E+00	1.0632E-04
2.5900E+00	1.0568E-04
2.6000E+00	1.0504E-04
2.6100E+00	1.0441E-04
2.6200E+00	1.0378E-04
2.6300E+00	1.0316E-04
2.6400E+00	1.0254E-04
2.6500E+00	1.0192E-04
2.6600E+00	1.0131E-04
2.6700E+00	1.0071E-04
2.6800E+00	1.0010E-04
2.6900E+00	9.9506E-05
2.7000E+00	9.8912E-05
2.7100E+00	9.8323E-05
2.7200E+00	9.7737E-05
2.7300E+00	9.7156E-05
2.7400E+00	9.6580E-05
2.7500E+00	9.6007E-05
2.7600E+00	9.5438E-05
2.7700E+00	9.4874E-05
2.7800E+00	9.4313E-05
2.7900E+00	9.3756E-05
2.8000E+00	9.3204E-05
2.8100E+00	9.2655E-05
2.8200E+00	9.2110E-05
2.8300E+00	9.1569E-05
2.8400E+00	9.1032E-05
2.8500E+00	9.0498E-05
2.8600E+00	8.9968E-05
2.8700E+00	8.9443E-05
2.8800E+00	8.8920E-05
2.8900E+00	8.8402E-05
2.9000E+00	8.7887E-05
2.9100E+00	8.7376E-05
2.9200E+00	8.6868E-05
2.9300E+00	8.6364E-05
2.9400E+00	8.5863E-05
2.9500E+00	8.5366E-05
2.9600E+00	8.4872E-05
2.9700E+00	8.4382E-05
2.9800E+00	8.3895E-05
2.9900E+00	8.3412E-05
3.0000E+00	8.2932E-05
3.0100E+00	8.2455E-05
3.0200E+00	8.1982E-05
3.0300E+00	8.1512E-05
3.0400E+00	8.1045E-05
3.0500E+00	8.0582E-05
3.0600E+00	8.0122E-05
3.0700E+00	7.9664E-05
3.0800E+00	7.9210E-05
3.0900E+00	7.8760E-05
3.1000E+00	7.8312E-05
3.1100E+00	7.7867E-05
3.1200E+00	7.7426E-05
3.1300E+00	7.6987E-05
3.1400E+00	7.6552E-05
3.1500E+00	7.6119E-05
3.1600E+00	7.5690E-05
3.1700E+00	7.5263E-05
3.1800E+00	7.4839E-05
3.1900E+00	7.4419E-05
3.2000E+00	7.4001E-05
3.2100E+00	7.3586E-05
3.2200E+00	7.3174E-05
3.2300E+00	7.2764E-05
3.2400E+00	7.2358E-05
3.2500E+00	7.1954E-05
3.2600E+00	7.1553E-05
3.2700E+00	7.1154E-05
3.2800E+00	7.0759E-05
3.2900E+00	7.0366E-05
3.3000E+00	6.9975E-05
3.3100E+00	6.9588E-05
3.3200E+00	6.9203E-05
3.3300E+00	6.8820E-05
3.3400E+00	6.8440E-05
3.3500E+00	6.8063E-05
3.3600E+00	6.7688E-05
3.3700E+00	6.7316E-05
3.3800E+00	6.6946E-05
3.3900E+00	6.6579E-05
3.4000E+00	6.6214E-05
3.4100E+00	6.5852E-05
3.4200E+00	6.5492E-05
3.4300E+00	6.5134E-05
