Q2	Fs
7.1600E+00	1.2333E-05
7.1700E+00	1.2288E-05
7.1800E+00	1.2243E-05
7.1900E+00	1.2198E-05
7.2000E+00	1.2154E-05
7.2100E+00	1.2109E-05
7.2200E+00	1.2065E-05
7.2300E+00	1.2021E-05
7.2400E+00	1.1978E-05
7.2500E+00	1.1934E-05
7.2600E+00	1.1891E-05
7.2700E+00	1.1848E-05
7.2800E+00	1.1805E-05
7.2900E+00	1.1762E-05
7.3000E+00	1.1720E-05
7.3100E+00	1.1677E-05
7.3200E+00	1.1635E-05
7.3300E+00	1.1593E-05
7.3400E+00	1.1551E-05
7.3500E+00	1.1510E-05
7.3600E+00	1.1468E-05
7.3700E+00	1.1427E-05
7.3800E+00	1.1386E-05
7.3900E+00	1.1345E-05
7.4000E+00	1.1305E-05
7.4100E+00	1.1264E-05
7.4200E+00	1.1224E-05
7.4300E+00	1.1184E-05
7.4400E+00	1.1144E-05
7.4500E+00	1.1104E-05
7.4600E+00	1.1065E-05
7.4700E+00	1.1025E-05
7.4800E+00	1.0986E-05
7.4900E+00	1.0947E-05
7.5000E+00	1.0908E-05
7.5100E+00	1.0869E-05
7.5200E+00	1.0831E-05
7.5300E+00	1.0792E-05
7.5400E+00	1.0754E-05
7.5500E+00	1.0716E-05
7.5600E+00	1.0678E-05
7.5700E+00	1.0641E-05
7.5800E+00	1.0603E-05
7.5900E+00	1.0566E-05
7.6000E+00	1.0529E-05
7.6100E+00	1.0491E-05
7.6200E+00	1.0455E-05
7.6300E+00	1.0418E-05
7.6400E+00	1.0381E-05
7.6500E+00	1.0345E-05
7.6600E+00	1.0309E-05
7.6700E+00	1.0273E-05
7.6800E+00	1.0237E-05
7.6900E+00	1.0201E-05
7.7000E+00	1.0165E-05
7.7100E+00	1.0130E-05
7.7200E+00	1.0095E-05
7.7300E+00	1.0059E-05
7.7400E+00	1.0024E-05
7.7500E+00	9.9896E-06
7.7600E+00	9.9549E-06
7.7700E+00	9.9204E-06
7.7800E+00	9.8860E-06
7.7900E+00	9.8518E-06
7.8000E+00	9.8177E-06
7.8100E+00	9.7837E-06
7.8200E+00	9.7499E-06
7.8300E+00	9.7163E-06
