Q2	Fs	dFs
1.3200E+00	1.4456E-03	9.5709E-04
1.3300E+00	1.4395E-03	9.5847E-04
1.3400E+00	1.4333E-03	9.5979E-04
1.3500E+00	1.4272E-03	9.6104E-04
1.3600E+00	1.4211E-03	9.6223E-04
1.3700E+00	1.4149E-03	9.6335E-04
1.3800E+00	1.4088E-03	9.6441E-04
1.3900E+00	1.4026E-03	9.6541E-04
1.4000E+00	1.3965E-03	9.6634E-04
1.4100E+00	1.3904E-03	9.6722E-04
1.4200E+00	1.3842E-03	9.6803E-04
1.4300E+00	1.3781E-03	9.6879E-04
1.4400E+00	1.3720E-03	9.6949E-04
1.4500E+00	1.3659E-03	9.7014E-04
1.4600E+00	1.3598E-03	9.7073E-04
1.4700E+00	1.3537E-03	9.7126E-04
1.4800E+00	1.3476E-03	9.7175E-04
1.4900E+00	1.3415E-03	9.7218E-04
1.5000E+00	1.3354E-03	9.7256E-04
1.5100E+00	1.3294E-03	9.7289E-04
1.5200E+00	1.3233E-03	9.7317E-04
1.5300E+00	1.3173E-03	9.7340E-04
1.5400E+00	1.3113E-03	9.7359E-04
1.5500E+00	1.3053E-03	9.7373E-04
1.5600E+00	1.2993E-03	9.7382E-04
1.5700E+00	1.2933E-03	9.7387E-04
1.5800E+00	1.2873E-03	9.7388E-04
1.5900E+00	1.2813E-03	9.7384E-04
1.6000E+00	1.2754E-03	9.7376E-04
1.6100E+00	1.2695E-03	9.7364E-04
1.6200E+00	1.2636E-03	9.7348E-04
1.6300E+00	1.2577E-03	9.7328E-04
1.6400E+00	1.2518E-03	9.7304E-04
1.6500E+00	1.2459E-03	9.7276E-04
1.6600E+00	1.2401E-03	9.7245E-04
1.6700E+00	1.2343E-03	9.7210E-04
1.6800E+00	1.2285E-03	9.7171E-04
1.6900E+00	1.2227E-03	9.7128E-04
1.7000E+00	1.2169E-03	9.7082E-04
1.7100E+00	1.2112E-03	9.7033E-04
1.7200E+00	1.2054E-03	9.6980E-04
1.7300E+00	1.1997E-03	9.6924E-04
1.7400E+00	1.1941E-03	9.6865E-04
1.7500E+00	1.1884E-03	9.6803E-04
1.7600E+00	1.1827E-03	9.6737E-04
1.7700E+00	1.1771E-03	9.6669E-04
1.7800E+00	1.1715E-03	9.6598E-04
1.7900E+00	1.1659E-03	9.6523E-04
1.8000E+00	1.1603E-03	9.6446E-04
1.8100E+00	1.1548E-03	9.6366E-04
1.8200E+00	1.1493E-03	9.6283E-04
1.8300E+00	1.1438E-03	9.6198E-04
1.8400E+00	1.1383E-03	9.6110E-04
1.8500E+00	1.1328E-03	9.6019E-04
1.8600E+00	1.1274E-03	9.5926E-04
1.8700E+00	1.1220E-03	9.5831E-04
1.8800E+00	1.1166E-03	9.5733E-04
1.8900E+00	1.1112E-03	9.5632E-04
1.9000E+00	1.1059E-03	9.5530E-04
1.9100E+00	1.1005E-03	9.5425E-04
1.9200E+00	1.0952E-03	9.5317E-04
1.9300E+00	1.0900E-03	9.5208E-04
1.9400E+00	1.0847E-03	9.5097E-04
1.9500E+00	1.0795E-03	9.4983E-04
1.9600E+00	1.0742E-03	9.4867E-04
1.9700E+00	1.0691E-03	9.4750E-04
1.9800E+00	1.0639E-03	9.4630E-04
1.9900E+00	1.0587E-03	9.4508E-04
2.0000E+00	1.0536E-03	9.4385E-04
2.0100E+00	1.0485E-03	9.4260E-04
2.0200E+00	1.0435E-03	9.4133E-04
2.0300E+00	1.0384E-03	9.4004E-04
2.0400E+00	1.0334E-03	9.3873E-04
2.0500E+00	1.0284E-03	9.3741E-04
2.0600E+00	1.0234E-03	9.3607E-04
2.0700E+00	1.0184E-03	9.3472E-04
2.0800E+00	1.0135E-03	9.3335E-04
2.0900E+00	1.0086E-03	9.3196E-04
2.1000E+00	1.0037E-03	9.3056E-04
2.1100E+00	9.9882E-04	9.2915E-04
2.1200E+00	9.9398E-04	9.2772E-04
2.1300E+00	9.8915E-04	9.2628E-04
2.1400E+00	9.8436E-04	9.2482E-04
2.1500E+00	9.7958E-04	9.2335E-04
2.1600E+00	9.7483E-04	9.2186E-04
2.1700E+00	9.7010E-04	9.2037E-04
2.1800E+00	9.6540E-04	9.1886E-04
2.1900E+00	9.6072E-04	9.1734E-04
2.2000E+00	9.5606E-04	9.1581E-04
2.2100E+00	9.5142E-04	9.1426E-04
2.2200E+00	9.4681E-04	9.1271E-04
2.2300E+00	9.4222E-04	9.1114E-04
2.2400E+00	9.3765E-04	9.0956E-04
2.2500E+00	9.3311E-04	9.0798E-04
2.2600E+00	9.2858E-04	9.0638E-04
2.2700E+00	9.2408E-04	9.0477E-04
2.2800E+00	9.1961E-04	9.0316E-04
2.2900E+00	9.1515E-04	9.0153E-04
2.3000E+00	9.1072E-04	8.9989E-04
2.3100E+00	9.0631E-04	8.9825E-04
