x	s-sbar	delta
1.0000E-04	-1.8404E-58	2.4877E-34
1.0093E-04	-2.9423E-58	3.2335E-34
1.0186E-04	-4.6850E-58	4.1955E-34
1.0280E-04	-7.4304E-58	5.4349E-34
1.0375E-04	-1.1739E-57	7.0300E-34
1.0471E-04	-1.8475E-57	9.0813E-34
1.0568E-04	-2.8971E-57	1.1718E-33
1.0666E-04	-4.5266E-57	1.5108E-33
1.0765E-04	-7.0490E-57	1.9465E-33
1.0864E-04	-1.0942E-56	2.5072E-33
1.0965E-04	-1.6939E-56	3.2297E-33
1.1066E-04	-2.6159E-56	4.1621E-33
1.1169E-04	-4.0327E-56	5.3686E-33
1.1272E-04	-6.2112E-56	6.9345E-33
1.1376E-04	-9.5684E-56	8.9745E-33
1.1482E-04	-1.4765E-55	1.1644E-32
1.1588E-04	-2.2868E-55	1.5153E-32
1.1695E-04	-3.5635E-55	1.9793E-32
1.1803E-04	-5.6038E-55	2.5964E-32
1.1912E-04	-8.9236E-55	3.4222E-32
1.2023E-04	-1.4442E-54	4.5342E-32
1.2134E-04	-2.3836E-54	6.0413E-32
1.2246E-04	-4.0227E-54	8.0964E-32
1.2359E-04	-6.9516E-54	1.0915E-31
1.2474E-04	-1.2300E-53	1.4802E-31
1.2589E-04	-2.2244E-53	2.0187E-31
1.2706E-04	-4.0997E-53	2.7680E-31
1.2823E-04	-7.6730E-53	3.8141E-31
1.2942E-04	-1.4527E-52	5.2789E-31
1.3062E-04	-2.7725E-52	7.3342E-31
1.3183E-04	-5.3170E-52	1.0223E-30
1.3305E-04	-1.0220E-51	1.4286E-30
1.3428E-04	-1.9649E-51	2.0004E-30
1.3552E-04	-3.7729E-51	2.8050E-30
1.3677E-04	-7.2265E-51	3.9367E-30
1.3804E-04	-1.3795E-50	5.5270E-30
1.3932E-04	-2.6230E-50	7.7590E-30
1.4060E-04	-4.9655E-50	1.0887E-29
1.4191E-04	-9.3556E-50	1.5265E-29
1.4322E-04	-1.7540E-49	2.1378E-29
1.4454E-04	-3.2718E-49	2.9898E-29
1.4588E-04	-6.0713E-49	4.1748E-29
1.4723E-04	-1.1207E-48	5.8191E-29
1.4859E-04	-2.0580E-48	8.0952E-29
1.4997E-04	-3.7592E-48	1.1238E-28
1.5136E-04	-6.8307E-48	1.5568E-28
1.5276E-04	-1.2347E-47	2.1518E-28
1.5417E-04	-2.2201E-47	2.9672E-28
1.5560E-04	-3.9715E-47	4.0819E-28
1.5704E-04	-7.0679E-47	5.6017E-28
1.5849E-04	-1.2514E-46	7.6684E-28
1.5996E-04	-2.2046E-46	1.0472E-27
1.6144E-04	-3.8642E-46	1.4264E-27
1.6293E-04	-6.7396E-46	1.9381E-27
1.6444E-04	-1.1696E-45	2.6267E-27
1.6596E-04	-2.0200E-45	3.5510E-27
1.6749E-04	-3.4717E-45	4.7885E-27
1.6904E-04	-5.9380E-45	6.4411E-27
1.7061E-04	-1.0108E-44	8.6423E-27
