x 	 NNPDF3 	 MMHT14 	 CJ15 	 CT14
3.332710E-07 	 -2.697068E+03 	 1.518087E+01 	 0.000000E+00 	 0.000000E+00
3.358496E-07 	 -2.682321E+03 	 1.488231E+01 	 0.000000E+00 	 0.000000E+00
3.384482E-07 	 -2.667624E+03 	 1.458803E+01 	 0.000000E+00 	 0.000000E+00
3.410670E-07 	 -2.652980E+03 	 1.429798E+01 	 0.000000E+00 	 0.000000E+00
3.437059E-07 	 -2.638390E+03 	 1.401210E+01 	 0.000000E+00 	 0.000000E+00
3.463653E-07 	 -2.623857E+03 	 1.373036E+01 	 0.000000E+00 	 0.000000E+00
3.490453E-07 	 -2.609381E+03 	 1.345268E+01 	 0.000000E+00 	 0.000000E+00
3.517460E-07 	 -2.594966E+03 	 1.317902E+01 	 0.000000E+00 	 0.000000E+00
3.544676E-07 	 -2.580611E+03 	 1.290934E+01 	 0.000000E+00 	 0.000000E+00
3.572103E-07 	 -2.566320E+03 	 1.264357E+01 	 0.000000E+00 	 0.000000E+00
3.599742E-07 	 -2.552092E+03 	 1.238167E+01 	 0.000000E+00 	 0.000000E+00
3.627595E-07 	 -2.537930E+03 	 1.212358E+01 	 0.000000E+00 	 0.000000E+00
3.655663E-07 	 -2.523836E+03 	 1.186927E+01 	 0.000000E+00 	 0.000000E+00
3.683949E-07 	 -2.509810E+03 	 1.161868E+01 	 0.000000E+00 	 0.000000E+00
3.712453E-07 	 -2.495854E+03 	 1.137177E+01 	 0.000000E+00 	 0.000000E+00
3.741178E-07 	 -2.481968E+03 	 1.112848E+01 	 0.000000E+00 	 0.000000E+00
3.770125E-07 	 -2.468155E+03 	 1.088877E+01 	 0.000000E+00 	 0.000000E+00
3.799296E-07 	 -2.454415E+03 	 1.065260E+01 	 0.000000E+00 	 0.000000E+00
3.828693E-07 	 -2.440750E+03 	 1.041992E+01 	 0.000000E+00 	 0.000000E+00
3.858317E-07 	 -2.427159E+03 	 1.019068E+01 	 0.000000E+00 	 0.000000E+00
3.888170E-07 	 -2.413603E+03 	 9.964847E+00 	 0.000000E+00 	 0.000000E+00
3.918255E-07 	 -2.400060E+03 	 9.742367E+00 	 0.000000E+00 	 0.000000E+00
3.948572E-07 	 -2.386535E+03 	 9.523200E+00 	 0.000000E+00 	 0.000000E+00
3.979124E-07 	 -2.373030E+03 	 9.307304E+00 	 0.000000E+00 	 0.000000E+00
4.009912E-07 	 -2.359550E+03 	 9.094637E+00 	 0.000000E+00 	 0.000000E+00
4.040939E-07 	 -2.346098E+03 	 8.885156E+00 	 0.000000E+00 	 0.000000E+00
4.072205E-07 	 -2.332677E+03 	 8.678820E+00 	 0.000000E+00 	 0.000000E+00
4.103714E-07 	 -2.319289E+03 	 8.475590E+00 	 0.000000E+00 	 0.000000E+00
4.135466E-07 	 -2.305939E+03 	 8.275423E+00 	 0.000000E+00 	 0.000000E+00
4.167464E-07 	 -2.292628E+03 	 8.078282E+00 	 0.000000E+00 	 0.000000E+00
4.199709E-07 	 -2.279361E+03 	 7.884126E+00 	 0.000000E+00 	 0.000000E+00
4.232204E-07 	 -2.266139E+03 	 7.692917E+00 	 0.000000E+00 	 0.000000E+00
4.264951E-07 	 -2.252965E+03 	 7.504616E+00 	 0.000000E+00 	 0.000000E+00
4.297950E-07 	 -2.239842E+03 	 7.319185E+00 	 0.000000E+00 	 0.000000E+00
4.331205E-07 	 -2.226772E+03 	 7.136587E+00 	 0.000000E+00 	 0.000000E+00
4.364718E-07 	 -2.213758E+03 	 6.956786E+00 	 0.000000E+00 	 0.000000E+00
4.398490E-07 	 -2.200802E+03 	 6.779744E+00 	 0.000000E+00 	 0.000000E+00
4.432523E-07 	 -2.187907E+03 	 6.605426E+00 	 0.000000E+00 	 0.000000E+00
4.466819E-07 	 -2.175074E+03 	 6.433795E+00 	 0.000000E+00 	 0.000000E+00
4.501381E-07 	 -2.162307E+03 	 6.264817E+00 	 0.000000E+00 	 0.000000E+00
4.536210E-07 	 -2.149606E+03 	 6.098456E+00 	 0.000000E+00 	 0.000000E+00
4.571308E-07 	 -2.136973E+03 	 5.934680E+00 	 0.000000E+00 	 0.000000E+00
4.606679E-07 	 -2.124412E+03 	 5.773452E+00 	 0.000000E+00 	 0.000000E+00
4.642322E-07 	 -2.111923E+03 	 5.614741E+00 	 0.000000E+00 	 0.000000E+00
4.678242E-07 	 -2.099509E+03 	 5.458512E+00 	 0.000000E+00 	 0.000000E+00
4.714440E-07 	 -2.087171E+03 	 5.304733E+00 	 0.000000E+00 	 0.000000E+00
4.750917E-07 	 -2.074910E+03 	 5.153372E+00 	 0.000000E+00 	 0.000000E+00
4.787677E-07 	 -2.062729E+03 	 5.004397E+00 	 0.000000E+00 	 0.000000E+00
4.824722E-07 	 -2.050629E+03 	 4.857775E+00 	 0.000000E+00 	 0.000000E+00
4.862053E-07 	 -2.038612E+03 	 4.713477E+00 	 0.000000E+00 	 0.000000E+00
4.899672E-07 	 -2.026678E+03 	 4.571471E+00 	 0.000000E+00 	 0.000000E+00
4.937583E-07 	 -2.014829E+03 	 4.431727E+00 	 0.000000E+00 	 0.000000E+00
4.975788E-07 	 -2.003067E+03 	 4.294215E+00 	 0.000000E+00 	 0.000000E+00
5.014287E-07 	 -1.991392E+03 	 4.158904E+00 	 0.000000E+00 	 0.000000E+00
5.053085E-07 	 -1.979807E+03 	 4.025767E+00 	 0.000000E+00 	 0.000000E+00
5.092183E-07 	 -1.968311E+03 	 3.894773E+00 	 0.000000E+00 	 0.000000E+00
5.131583E-07 	 -1.956907E+03 	 3.765894E+00 	 0.000000E+00 	 0.000000E+00
5.171289E-07 	 -1.945595E+03 	 3.639102E+00 	 0.000000E+00 	 0.000000E+00
5.211301E-07 	 -1.934376E+03 	 3.514369E+00 	 0.000000E+00 	 0.000000E+00
5.251623E-07 	 -1.923251E+03 	 3.391667E+00 	 0.000000E+00 	 0.000000E+00
5.292257E-07 	 -1.912221E+03 	 3.270969E+00 	 0.000000E+00 	 0.000000E+00
5.333206E-07 	 -1.901287E+03 	 3.152249E+00 	 0.000000E+00 	 0.000000E+00
5.374471E-07 	 -1.890449E+03 	 3.035479E+00 	 0.000000E+00 	 0.000000E+00
5.416056E-07 	 -1.879709E+03 	 2.920633E+00 	 0.000000E+00 	 0.000000E+00
5.457962E-07 	 -1.869067E+03 	 2.807686E+00 	 0.000000E+00 	 0.000000E+00
5.500193E-07 	 -1.858524E+03 	 2.696612E+00 	 0.000000E+00 	 0.000000E+00
5.542750E-07 	 -1.848080E+03 	 2.587385E+00 	 0.000000E+00 	 0.000000E+00
5.585637E-07 	 -1.837736E+03 	 2.479981E+00 	 0.000000E+00 	 0.000000E+00
5.628855E-07 	 -1.827486E+03 	 2.374375E+00 	 0.000000E+00 	 0.000000E+00
5.672408E-07 	 -1.817317E+03 	 2.270542E+00 	 0.000000E+00 	 0.000000E+00
5.716298E-07 	 -1.807229E+03 	 2.168458E+00 	 0.000000E+00 	 0.000000E+00
5.760528E-07 	 -1.797220E+03 	 2.068101E+00 	 0.000000E+00 	 0.000000E+00
5.805099E-07 	 -1.787288E+03 	 1.969445E+00 	 0.000000E+00 	 0.000000E+00
5.850016E-07 	 -1.777431E+03 	 1.872468E+00 	 0.000000E+00 	 0.000000E+00
5.895280E-07 	 -1.767649E+03 	 1.777147E+00 	 0.000000E+00 	 0.000000E+00
5.940894E-07 	 -1.757939E+03 	 1.683460E+00 	 0.000000E+00 	 0.000000E+00
5.986862E-07 	 -1.748299E+03 	 1.591383E+00 	 0.000000E+00 	 0.000000E+00
6.033185E-07 	 -1.738730E+03 	 1.500896E+00 	 0.000000E+00 	 0.000000E+00
6.079866E-07 	 -1.729228E+03 	 1.411976E+00 	 0.000000E+00 	 0.000000E+00
6.126909E-07 	 -1.719793E+03 	 1.324601E+00 	 0.000000E+00 	 0.000000E+00
6.174315E-07 	 -1.710423E+03 	 1.238751E+00 	 0.000000E+00 	 0.000000E+00
6.222088E-07 	 -1.701118E+03 	 1.154404E+00 	 0.000000E+00 	 0.000000E+00
6.270231E-07 	 -1.691875E+03 	 1.071539E+00 	 0.000000E+00 	 0.000000E+00
6.318747E-07 	 -1.682694E+03 	 9.901372E-01 	 0.000000E+00 	 0.000000E+00
6.367638E-07 	 -1.673572E+03 	 9.101770E-01 	 0.000000E+00 	 0.000000E+00
6.416907E-07 	 -1.664510E+03 	 8.316387E-01 	 0.000000E+00 	 0.000000E+00
6.466557E-07 	 -1.655506E+03 	 7.545026E-01 	 0.000000E+00 	 0.000000E+00
6.516592E-07 	 -1.646558E+03 	 6.787493E-01 	 0.000000E+00 	 0.000000E+00
6.567014E-07 	 -1.637666E+03 	 6.043595E-01 	 0.000000E+00 	 0.000000E+00
6.617825E-07 	 -1.628828E+03 	 5.313141E-01 	 0.000000E+00 	 0.000000E+00
6.669030E-07 	 -1.620043E+03 	 4.595946E-01 	 0.000000E+00 	 0.000000E+00
6.720632E-07 	 -1.611311E+03 	 3.891822E-01 	 0.000000E+00 	 0.000000E+00
6.772632E-07 	 -1.602630E+03 	 3.200588E-01 	 0.000000E+00 	 0.000000E+00
6.825035E-07 	 -1.593999E+03 	 2.522062E-01 	 0.000000E+00 	 0.000000E+00
6.877843E-07 	 -1.585417E+03 	 1.856067E-01 	 0.000000E+00 	 0.000000E+00
6.931060E-07 	 -1.576883E+03 	 1.202426E-01 	 0.000000E+00 	 0.000000E+00
6.984689E-07 	 -1.568397E+03 	 5.609646E-02 	 0.000000E+00 	 0.000000E+00
7.038732E-07 	 -1.559957E+03 	 -6.848816E-03 	 0.000000E+00 	 0.000000E+00
7.093194E-07 	 -1.551562E+03 	 -6.861021E-02 	 0.000000E+00 	 0.000000E+00
7.148077E-07 	 -1.543212E+03 	 -1.292045E-01 	 0.000000E+00 	 0.000000E+00
7.203385E-07 	 -1.534906E+03 	 -1.886481E-01 	 0.000000E+00 	 0.000000E+00
7.259121E-07 	 -1.526642E+03 	 -2.469575E-01 	 0.000000E+00 	 0.000000E+00
7.315288E-07 	 -1.518421E+03 	 -3.041488E-01 	 0.000000E+00 	 0.000000E+00
7.371889E-07 	 -1.510240E+03 	 -3.602378E-01 	 0.000000E+00 	 0.000000E+00
7.428929E-07 	 -1.502101E+03 	 -4.152403E-01 	 0.000000E+00 	 0.000000E+00
7.486409E-07 	 -1.494001E+03 	 -4.691719E-01 	 0.000000E+00 	 0.000000E+00
7.544335E-07 	 -1.485939E+03 	 -5.220477E-01 	 0.000000E+00 	 0.000000E+00
7.602709E-07 	 -1.477916E+03 	 -5.738831E-01 	 0.000000E+00 	 0.000000E+00
7.661534E-07 	 -1.469931E+03 	 -6.246928E-01 	 0.000000E+00 	 0.000000E+00
7.720815E-07 	 -1.461982E+03 	 -6.744917E-01 	 0.000000E+00 	 0.000000E+00
7.780554E-07 	 -1.454070E+03 	 -7.232942E-01 	 0.000000E+00 	 0.000000E+00
7.840756E-07 	 -1.446193E+03 	 -7.711149E-01 	 0.000000E+00 	 0.000000E+00
7.901423E-07 	 -1.438351E+03 	 -8.179678E-01 	 0.000000E+00 	 0.000000E+00
7.962560E-07 	 -1.430543E+03 	 -8.638671E-01 	 0.000000E+00 	 0.000000E+00
8.024170E-07 	 -1.422769E+03 	 -9.088264E-01 	 0.000000E+00 	 0.000000E+00
8.086256E-07 	 -1.415028E+03 	 -9.528596E-01 	 0.000000E+00 	 0.000000E+00
8.148823E-07 	 -1.407324E+03 	 -9.959800E-01 	 0.000000E+00 	 0.000000E+00
8.211874E-07 	 -1.399679E+03 	 -1.038201E+00 	 0.000000E+00 	 0.000000E+00
8.275413E-07 	 -1.392093E+03 	 -1.079536E+00 	 0.000000E+00 	 0.000000E+00
8.339443E-07 	 -1.384564E+03 	 -1.119997E+00 	 0.000000E+00 	 0.000000E+00
8.403969E-07 	 -1.377090E+03 	 -1.159598E+00 	 0.000000E+00 	 0.000000E+00
8.468994E-07 	 -1.369670E+03 	 -1.198351E+00 	 0.000000E+00 	 0.000000E+00
8.534523E-07 	 -1.362301E+03 	 -1.236269E+00 	 0.000000E+00 	 0.000000E+00
8.600558E-07 	 -1.354982E+03 	 -1.273363E+00 	 0.000000E+00 	 0.000000E+00
8.667104E-07 	 -1.347710E+03 	 -1.309647E+00 	 0.000000E+00 	 0.000000E+00
8.734165E-07 	 -1.340486E+03 	 -1.345132E+00 	 0.000000E+00 	 0.000000E+00
8.801745E-07 	 -1.333306E+03 	 -1.379830E+00 	 0.000000E+00 	 0.000000E+00
8.869848E-07 	 -1.326170E+03 	 -1.413753E+00 	 0.000000E+00 	 0.000000E+00
8.938478E-07 	 -1.319075E+03 	 -1.446911E+00 	 0.000000E+00 	 0.000000E+00
9.007639E-07 	 -1.312021E+03 	 -1.479318E+00 	 0.000000E+00 	 0.000000E+00
9.077335E-07 	 -1.305005E+03 	 -1.510983E+00 	 0.000000E+00 	 0.000000E+00
9.147570E-07 	 -1.298027E+03 	 -1.541918E+00 	 0.000000E+00 	 0.000000E+00
9.218349E-07 	 -1.291085E+03 	 -1.572134E+00 	 0.000000E+00 	 0.000000E+00
9.289675E-07 	 -1.284178E+03 	 -1.601642E+00 	 0.000000E+00 	 0.000000E+00
9.361554E-07 	 -1.277304E+03 	 -1.630453E+00 	 0.000000E+00 	 0.000000E+00
9.433988E-07 	 -1.270462E+03 	 -1.658576E+00 	 0.000000E+00 	 0.000000E+00
9.506983E-07 	 -1.263652E+03 	 -1.686023E+00 	 0.000000E+00 	 0.000000E+00
9.580543E-07 	 -1.256871E+03 	 -1.712804E+00 	 0.000000E+00 	 0.000000E+00
9.654671E-07 	 -1.250118E+03 	 -1.738928E+00 	 0.000000E+00 	 0.000000E+00
9.729374E-07 	 -1.243393E+03 	 -1.764406E+00 	 0.000000E+00 	 0.000000E+00
9.804654E-07 	 -1.236695E+03 	 -1.789248E+00 	 0.000000E+00 	 0.000000E+00
9.880517E-07 	 -1.230022E+03 	 -1.813463E+00 	 0.000000E+00 	 0.000000E+00
9.956967E-07 	 -1.223373E+03 	 -1.837062E+00 	 0.000000E+00 	 0.000000E+00
1.003401E-06 	 -1.216747E+03 	 -1.857493E+00 	 0.000000E+00 	 0.000000E+00
1.011165E-06 	 -1.210144E+03 	 -1.873868E+00 	 0.000000E+00 	 0.000000E+00
1.018988E-06 	 -1.203562E+03 	 -1.889386E+00 	 0.000000E+00 	 0.000000E+00
1.026873E-06 	 -1.197001E+03 	 -1.904080E+00 	 0.000000E+00 	 0.000000E+00
1.034818E-06 	 -1.190459E+03 	 -1.917983E+00 	 0.000000E+00 	 0.000000E+00
1.042825E-06 	 -1.183936E+03 	 -1.931127E+00 	 0.000000E+00 	 0.000000E+00
1.050894E-06 	 -1.177431E+03 	 -1.943543E+00 	 0.000000E+00 	 0.000000E+00
1.059025E-06 	 -1.170943E+03 	 -1.955261E+00 	 0.000000E+00 	 0.000000E+00
1.067219E-06 	 -1.164471E+03 	 -1.966310E+00 	 0.000000E+00 	 0.000000E+00
1.075477E-06 	 -1.158015E+03 	 -1.976720E+00 	 0.000000E+00 	 0.000000E+00
1.083798E-06 	 -1.151574E+03 	 -1.986519E+00 	 0.000000E+00 	 0.000000E+00
1.092184E-06 	 -1.145147E+03 	 -1.995734E+00 	 0.000000E+00 	 0.000000E+00
1.100635E-06 	 -1.138733E+03 	 -2.004392E+00 	 0.000000E+00 	 0.000000E+00
1.109151E-06 	 -1.132332E+03 	 -2.012520E+00 	 0.000000E+00 	 0.000000E+00
1.117733E-06 	 -1.125944E+03 	 -2.020143E+00 	 0.000000E+00 	 0.000000E+00
1.126381E-06 	 -1.119567E+03 	 -2.027286E+00 	 0.000000E+00 	 0.000000E+00
1.135096E-06 	 -1.113201E+03 	 -2.033973E+00 	 0.000000E+00 	 0.000000E+00
1.143879E-06 	 -1.106845E+03 	 -2.040229E+00 	 0.000000E+00 	 0.000000E+00
1.152730E-06 	 -1.100499E+03 	 -2.046076E+00 	 0.000000E+00 	 0.000000E+00
1.161649E-06 	 -1.094163E+03 	 -2.051538E+00 	 0.000000E+00 	 0.000000E+00
1.170637E-06 	 -1.087835E+03 	 -2.056635E+00 	 0.000000E+00 	 0.000000E+00
1.179695E-06 	 -1.081517E+03 	 -2.061391E+00 	 0.000000E+00 	 0.000000E+00
1.188823E-06 	 -1.075221E+03 	 -2.065824E+00 	 0.000000E+00 	 0.000000E+00
1.198021E-06 	 -1.068951E+03 	 -2.069957E+00 	 0.000000E+00 	 0.000000E+00
1.207291E-06 	 -1.062707E+03 	 -2.073809E+00 	 0.000000E+00 	 0.000000E+00
1.216632E-06 	 -1.056489E+03 	 -2.077399E+00 	 0.000000E+00 	 0.000000E+00
1.226046E-06 	 -1.050297E+03 	 -2.080746E+00 	 0.000000E+00 	 0.000000E+00
1.235532E-06 	 -1.044129E+03 	 -2.083869E+00 	 0.000000E+00 	 0.000000E+00
1.245092E-06 	 -1.037987E+03 	 -2.086785E+00 	 0.000000E+00 	 0.000000E+00
1.254726E-06 	 -1.031870E+03 	 -2.089511E+00 	 0.000000E+00 	 0.000000E+00
1.264434E-06 	 -1.025778E+03 	 -2.092066E+00 	 0.000000E+00 	 0.000000E+00
1.274218E-06 	 -1.019710E+03 	 -2.094464E+00 	 0.000000E+00 	 0.000000E+00
1.284077E-06 	 -1.013667E+03 	 -2.096722E+00 	 0.000000E+00 	 0.000000E+00
1.294012E-06 	 -1.007648E+03 	 -2.098856E+00 	 0.000000E+00 	 0.000000E+00
1.304025E-06 	 -1.001653E+03 	 -2.100881E+00 	 0.000000E+00 	 0.000000E+00
1.314114E-06 	 -9.956819E+02 	 -2.102811E+00 	 0.000000E+00 	 0.000000E+00
1.324282E-06 	 -9.897347E+02 	 -2.104660E+00 	 0.000000E+00 	 0.000000E+00
1.334529E-06 	 -9.838111E+02 	 -2.106443E+00 	 0.000000E+00 	 0.000000E+00
1.344855E-06 	 -9.779109E+02 	 -2.108172E+00 	 0.000000E+00 	 0.000000E+00
1.355260E-06 	 -9.720340E+02 	 -2.109862E+00 	 0.000000E+00 	 0.000000E+00
1.365747E-06 	 -9.661803E+02 	 -2.111524E+00 	 0.000000E+00 	 0.000000E+00
1.376314E-06 	 -9.603497E+02 	 -2.113170E+00 	 0.000000E+00 	 0.000000E+00
1.386963E-06 	 -9.545419E+02 	 -2.114813E+00 	 0.000000E+00 	 0.000000E+00
1.397695E-06 	 -9.487568E+02 	 -2.116465E+00 	 0.000000E+00 	 0.000000E+00
1.408509E-06 	 -9.429943E+02 	 -2.118135E+00 	 0.000000E+00 	 0.000000E+00
1.419407E-06 	 -9.372544E+02 	 -2.119835E+00 	 0.000000E+00 	 0.000000E+00
1.430390E-06 	 -9.315368E+02 	 -2.121576E+00 	 0.000000E+00 	 0.000000E+00
1.441458E-06 	 -9.258414E+02 	 -2.123368E+00 	 0.000000E+00 	 0.000000E+00
1.452611E-06 	 -9.201681E+02 	 -2.125219E+00 	 0.000000E+00 	 0.000000E+00
1.463850E-06 	 -9.145168E+02 	 -2.127140E+00 	 0.000000E+00 	 0.000000E+00
1.475177E-06 	 -9.088874E+02 	 -2.129141E+00 	 0.000000E+00 	 0.000000E+00
1.486591E-06 	 -9.032798E+02 	 -2.131228E+00 	 0.000000E+00 	 0.000000E+00
1.498093E-06 	 -8.976938E+02 	 -2.133412E+00 	 0.000000E+00 	 0.000000E+00
1.509685E-06 	 -8.921294E+02 	 -2.135700E+00 	 0.000000E+00 	 0.000000E+00
1.521366E-06 	 -8.865865E+02 	 -2.138100E+00 	 0.000000E+00 	 0.000000E+00
1.533137E-06 	 -8.810649E+02 	 -2.140620E+00 	 0.000000E+00 	 0.000000E+00
1.545000E-06 	 -8.755645E+02 	 -2.143267E+00 	 0.000000E+00 	 0.000000E+00
1.556954E-06 	 -8.700853E+02 	 -2.146048E+00 	 0.000000E+00 	 0.000000E+00
1.569001E-06 	 -8.646272E+02 	 -2.148970E+00 	 0.000000E+00 	 0.000000E+00
1.581141E-06 	 -8.591900E+02 	 -2.152039E+00 	 0.000000E+00 	 0.000000E+00
1.593375E-06 	 -8.537737E+02 	 -2.155262E+00 	 0.000000E+00 	 0.000000E+00
1.605703E-06 	 -8.483782E+02 	 -2.158644E+00 	 0.000000E+00 	 0.000000E+00
1.618127E-06 	 -8.430035E+02 	 -2.162192E+00 	 0.000000E+00 	 0.000000E+00
1.630648E-06 	 -8.376493E+02 	 -2.165910E+00 	 0.000000E+00 	 0.000000E+00
1.643265E-06 	 -8.323157E+02 	 -2.169804E+00 	 0.000000E+00 	 0.000000E+00
1.655979E-06 	 -8.270026E+02 	 -2.173879E+00 	 0.000000E+00 	 0.000000E+00
1.668792E-06 	 -8.217098E+02 	 -2.178140E+00 	 0.000000E+00 	 0.000000E+00
1.681704E-06 	 -8.164374E+02 	 -2.182591E+00 	 0.000000E+00 	 0.000000E+00
1.694717E-06 	 -8.111852E+02 	 -2.187237E+00 	 0.000000E+00 	 0.000000E+00
1.707829E-06 	 -8.059532E+02 	 -2.192082E+00 	 0.000000E+00 	 0.000000E+00
1.721044E-06 	 -8.007399E+02 	 -2.197129E+00 	 0.000000E+00 	 0.000000E+00
1.734360E-06 	 -7.955446E+02 	 -2.202382E+00 	 0.000000E+00 	 0.000000E+00
1.747779E-06 	 -7.903678E+02 	 -2.207846E+00 	 0.000000E+00 	 0.000000E+00
